,Taxon,2006,2016,2022_2023
0,Acetes americanus,0.03,0.0,0.0
1,Achirus lineatus,0.0,0.038,0.0
2,Alpheus heterochaelis,0.03,0.025,0.071
3,Anchoa mitchilli,0.0,0.175,0.107
4,Archosargus probatocephalus,0.061,0.0,0.009
5,Ariopsis felis,0.0,0.012,0.0
6,Armases americanum,0.0,0.025,0.0
7,Armases benedicti,0.0,0.025,0.0
8,Armases cinereum,0.061,0.138,0.286
9,Bagre marinus,0.0,0.0,0.009
10,Bairdiella chrysoura,0.03,0.0,0.0
11,Bathygobius soporator,0.0,0.0,0.018
12,Callinectes sapidus,0.939,0.938,0.652
13,Callinectes similis,0.0,0.1,0.0
14,Citharichthys spilopterus,0.0,0.062,0.027
15,Clibanarius vittatus,0.121,0.138,0.196
16,Crassostrea virginica,0.0,0.0,0.018
17,Ctenogobius boleosoma,0.848,0.75,0.786
18,Ctenogobius shufeldti,0.0,0.0,0.009
19,Cynoscion arenarius,0.03,0.012,0.0
20,Cynoscion nebulosus,0.0,0.1,0.027
21,Cyprinodon variegatus,0.03,0.062,0.009
22,Dormitator maculatus,0.0,0.012,0.0
23,Eleotris amblyopsis,0.0,0.038,0.0
24,Eucinostomus argenteus,0.0,0.038,0.0
25,Eucinostomus melanopterus,0.0,0.012,0.018
26,Eurytium limosum,0.0,0.012,0.0
27,Evorthodus lyricus,0.0,0.112,0.089
28,Fundulus grandis,0.03,0.488,0.33
29,Fundulus jenkinsi,0.03,0.025,0.036
30,Fundulus pulvereus,0.03,0.0,0.0
31,Fundulus similis,0.0,0.0,0.009
32,Fundulus xenicus,0.03,0.1,0.036
33,Gobionellus oceanicus,0.0,0.038,0.036
34,Gobiosoma bosc,0.273,0.225,0.071
35,Lagodon rhomboides,0.0,0.138,0.027
36,Leiostomus xanthurus,0.0,0.012,0.0
37,Littoraria irrorata,0.0,0.0,0.179
38,Lucania parva,0.03,0.0,0.0
39,Lutjanus griseus,0.03,0.075,0.0
40,Menidia beryllina,0.061,0.275,0.214
41,Micropogonias undulatus,0.0,0.012,0.018
42,Minuca spp.,0.758,0.55,0.446
43,Mugil cephalus,0.0,0.175,0.089
44,Mugil curema,0.0,0.038,0.0
45,Myrophis punctatus,0.03,0.05,0.027
46,Negaprion brevirostris,0.0,0.0,0.009
47,Neverita delessertiana,0.0,0.0,0.009
48,Opsanus beta,0.0,0.012,0.0
49,Pachygrapsus gracilis,0.0,0.0,0.009
50,Pagurus longicarpus,0.0,0.0,0.009
51,Palaemon spp.,0.879,1.0,0.795
52,Panopeus spp.,0.121,0.312,0.402
53,Paralichthys lethostigma,0.0,0.0,0.027
54,Penaeus aztecus,0.333,0.975,0.143
55,Penaeus duorarum,0.0,0.025,0.0
56,Penaeus setiferus,0.545,1.0,0.982
57,Petrolisthes armatus,0.0,0.012,0.027
58,Phrontis vibex,0.0,0.0,0.009
59,Poecilia latipinna,0.0,0.25,0.045
60,Pogonias cromis,0.0,0.012,0.0
61,Probopyrus pandalicola,0.0,0.0,0.143
62,Rhithropanopeus harrisii,0.03,0.0,0.0
63,Sciaenops ocellatus,0.121,0.0,0.027
64,Sesarma reticulatum,0.515,0.125,0.062
65,Solenosteira cancellaria,0.0,0.0,0.027
66,Symphurus plagiusa,0.061,0.112,0.116
67,Syngnathus louisianae,0.03,0.0,0.0
68,Syngnathus scovelli,0.0,0.025,0.009
69,Trinectes maculatus,0.0,0.0,0.018
70,Urosalpinx cinerea,0.0,0.0,0.009
