"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5167021957,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282593682","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis",NA,"SPECIES","Callinectes similis Williams, 1966","Callinectes similis","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.576254,-80.194397,40,NA,NA,NA,NA,NA,"2024-06-09T19:00:57",9,6,2024,2225642,2225642,"HUMAN_OBSERVATION","iNaturalist","Observations",282593682,NA,"Tyler Harris",2025-05-20 09:57:06,"CC_BY_NC_4_0","Tyler Harris","Tyler Harris",NA,NA,2025-06-07 01:04:34.575,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5166962842,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/273277196","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis",NA,"SPECIES","Callinectes similis Williams, 1966","Callinectes similis","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.902248,-81.293091,NA,NA,NA,NA,NA,NA,"2025-04-25T10:52:28",25,4,2025,2225642,2225642,"HUMAN_OBSERVATION","iNaturalist","Observations",273277196,NA,"ed_flagler",2025-05-15 01:38:09,"CC_BY_NC_4_0","dawnmmw","dawnmmw",NA,NA,2025-06-07 00:32:51.162,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5139941200,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/234449950","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis",NA,"SPECIES","Callinectes similis Williams, 1966","Callinectes similis","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.33051,-87.320387,27,NA,NA,NA,NA,NA,"2024-07-29T12:05",29,7,2024,2225642,2225642,"HUMAN_OBSERVATION","iNaturalist","Observations",234449950,NA,"Austin Smith",2025-01-17 18:34:14,"CC0_1_0","Lauren Harter","Lauren Harter",NA,NA,2025-06-07 00:38:02.277,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5133104649,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/40456028","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis",NA,"SPECIES","Callinectes similis Williams, 1966","Callinectes similis","","MX","","Quintana Roo","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",21.136998,-86.754533,NA,NA,NA,NA,NA,NA,"2020-01-31T16:12",31,1,2020,2225642,2225642,"HUMAN_OBSERVATION","iNaturalist","Observations",40456028,NA,"awakida",2020-06-19 14:53:42,"CC_BY_NC_4_0","Diego Almendras G.","Diego Almendras G.",NA,NA,2025-06-07 00:26:54.565,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5076718446,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/52590767","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis",NA,"SPECIES","Callinectes similis Williams, 1966","Callinectes similis","","US","","Georgia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",31.033231,-81.416687,6,NA,NA,NA,NA,NA,"2020-07-10T12:28:06",10,7,2020,2225642,2225642,"HUMAN_OBSERVATION","iNaturalist","Observations",52590767,NA,"Austin Smith",2022-05-25 13:40:50,"CC0_1_0","Madison Gover","Madison Gover",NA,NA,2025-06-06 23:53:46.227,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5069706969,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/180301501","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis",NA,"SPECIES","Callinectes similis Williams, 1966","Callinectes similis","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.218933,-80.667022,4,NA,NA,NA,NA,NA,"2023-08-26T08:52:25",26,8,2023,2225642,2225642,"HUMAN_OBSERVATION","iNaturalist","Observations",180301501,NA,"Cameron T. C.",2025-01-17 10:15:16,"CC_BY_NC_4_0","E Bak","E Bak",NA,NA,2025-06-07 01:35:53.372,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5062796466,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/222677204","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis",NA,"SPECIES","Callinectes similis Williams, 1966","Callinectes similis","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.711991,-81.231568,3,NA,NA,NA,NA,NA,"2024-06-14T13:02:32",14,6,2024,2225642,2225642,"HUMAN_OBSERVATION","iNaturalist","Observations",222677204,NA,"Levi F. C. Smith",2024-06-14 17:02:42,"CC_BY_NC_4_0","Levi F. C. Smith","Levi F. C. Smith",NA,NA,2025-06-07 01:27:26.887,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5062780047,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/229158143","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis",NA,"SPECIES","Callinectes similis Williams, 1966","Callinectes similis","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.31033,-87.406753,310,NA,NA,NA,NA,NA,"2024-07-13T19:29:21",13,7,2024,2225642,2225642,"HUMAN_OBSERVATION","iNaturalist","Observations",229158143,NA,"Ava T.",2024-07-14 01:09:42,"CC_BY_NC_4_0","Ava T.","Ava T.",NA,NA,2025-06-07 01:14:41.277,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5062767792,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/224499206","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis",NA,"SPECIES","Callinectes similis Williams, 1966","Callinectes similis","","US","","North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.915804,-78.23195,122,NA,NA,NA,NA,NA,"2024-06-19T17:33",19,6,2024,2225642,2225642,"HUMAN_OBSERVATION","iNaturalist","Observations",224499206,NA,"Siobhan O'Neill",2024-06-22 21:53:52,"CC_BY_NC_4_0","Siobhan O'Neill","Siobhan O'Neill",NA,NA,2025-06-07 02:56:19.304,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5062751947,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/228883800","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis",NA,"SPECIES","Callinectes similis Williams, 1966","Callinectes similis","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.243008,-80.684897,4,NA,NA,NA,NA,NA,"2024-07-11T17:54:15",11,7,2024,2225642,2225642,"HUMAN_OBSERVATION","iNaturalist","Observations",228883800,NA,"Sawyer Baran",2024-07-12 19:29:38,"CC_BY_4_0","Sawyer Baran","Sawyer Baran",NA,NA,2025-06-07 00:02:55.942,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
