"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5168160710,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281905824","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus",NA,"SPECIES","Citharichthys spilopterus Günther, 1862","Citharichthys spilopterus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",28.025422,-97.049483,4,NA,NA,NA,NA,NA,"2025-05-17T17:05:15",17,5,2025,2408720,2408720,"HUMAN_OBSERVATION","iNaturalist","Observations","281905824","","LINCOLN NGO",2025-05-17 22:15:45,"CC_BY_NC_4_0","LINCOLN NGO","LINCOLN NGO",NA,NA,2025-06-07 01:59:37.071,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154079636,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/271285818","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus",NA,"SPECIES","Citharichthys spilopterus Günther, 1862","Citharichthys spilopterus","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.390558,-88.877617,7,NA,NA,NA,NA,NA,"2025-04-18T14:30:46",18,4,2025,2408720,2408720,"HUMAN_OBSERVATION","iNaturalist","Observations","271285818","","Noah Daun",2025-05-05 18:51:53,"CC_BY_NC_4_0","haydnf","haydnf",NA,NA,2025-06-07 00:59:58.282,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5153029302,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/751546","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus",NA,"SPECIES","Citharichthys spilopterus Günther, 1862","Citharichthys spilopterus","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.256102,-88.05027,564,NA,NA,NA,NA,NA,"2014-06-23T15:57:04",23,6,2014,2408720,2408720,"HUMAN_OBSERVATION","iNaturalist","Observations","751546","","Squidpastry",2023-06-23 06:04:14,"CC_BY_NC_4_0","clcscience","clcscience",NA,NA,2025-06-07 00:04:57.507,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5007913517,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/248664617","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus",NA,"SPECIES","Citharichthys spilopterus Günther, 1862","Citharichthys spilopterus","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.237061,-88.959949,527,NA,NA,NA,NA,NA,"2024-10-04T12:33",4,10,2024,2408720,2408720,"HUMAN_OBSERVATION","iNaturalist","Observations","248664617","","peytongg",2024-10-22 22:44:26,"CC_BY_NC_4_0","peytongg","peytongg",NA,NA,2025-06-07 02:48:55.291,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4987586780,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/190770098","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus",NA,"SPECIES","Citharichthys spilopterus Günther, 1862","Citharichthys spilopterus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.690649,-80.048246,179,NA,NA,NA,NA,NA,"2023-11-12T00:47:41",12,11,2023,2408720,2408720,"HUMAN_OBSERVATION","iNaturalist","Observations","190770098","","Drew",2024-06-26 08:36:56,"CC_BY_4_0","James-LaFontaine","James-LaFontaine",NA,NA,2025-06-07 00:38:47.757,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4987396664,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/206972387","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus",NA,"SPECIES","Citharichthys spilopterus Günther, 1862","Citharichthys spilopterus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.691546,-80.048282,297,NA,NA,NA,NA,NA,"2024-04-12T21:51:48",12,4,2024,2408720,2408720,"HUMAN_OBSERVATION","iNaturalist","Observations","206972387","","James-LaFontaine",2024-04-13 15:48:37,"CC_BY_4_0","James-LaFontaine","James-LaFontaine",NA,NA,2025-06-07 02:57:21.607,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4958336604,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH2170","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus",NA,"SPECIES","Citharichthys spilopterus Günther, 1862","Citharichthys spilopterus","","CR","Boca Parismina","","PRESENT",3,"0553362c-9393-411f-bec2-116d0c343c4c",10.30712,-83.350219,5000,NA,NA,NA,NA,NA,"2023-07-19",19,7,2023,2408720,2408720,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.452,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4958336585,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH2180","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus",NA,"SPECIES","Citharichthys spilopterus Günther, 1862","Citharichthys spilopterus","","CR","Los Chorros","","PRESENT",1,"0553362c-9393-411f-bec2-116d0c343c4c",10.29048,-83.394727,5000,NA,NA,NA,NA,NA,"2023-09-20",20,9,2023,2408720,2408720,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.451,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4958336435,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH2225","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus",NA,"SPECIES","Citharichthys spilopterus Günther, 1862","Citharichthys spilopterus","","CR","Caño California","","PRESENT",3,"0553362c-9393-411f-bec2-116d0c343c4c",10.336457,-83.418959,5000,NA,NA,NA,NA,NA,"2023-09-21",21,9,2023,2408720,2408720,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.44,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4958333735,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH2003","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus",NA,"SPECIES","Citharichthys spilopterus Günther, 1862","Citharichthys spilopterus","","CR","Jalova","","PRESENT",5,"0553362c-9393-411f-bec2-116d0c343c4c",10.364515,-83.406419,5000,NA,NA,NA,NA,NA,"2023-02-02",2,2,2023,2408720,2408720,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.073,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
