"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5177376801,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286515737","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",35.768206,-75.525953,NA,NA,NA,NA,NA,NA,"2025-06-02T10:52:15",2,6,2025,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","286515737","","Eiji Myorin",2025-06-03 15:42:35,"CC_BY_4_0","Conway Hawn","Conway Hawn",NA,NA,2025-06-07 00:44:34.106,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177350619,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286646411","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.393192,-88.926963,6,NA,NA,NA,NA,NA,"2025-06-03T16:29",3,6,2025,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","286646411","","Leslie S.",2025-06-03 21:29:56,"CC_BY_NC_4_0","Leslie S.","Leslie S.",NA,NA,2025-06-07 00:39:17.274,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176960119,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286268634","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.333672,-86.187883,NA,NA,NA,NA,NA,NA,"2025-06-02T07:25:19",2,6,2025,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","286268634","","icopperbug",2025-06-02 13:47:45,"CC_BY_NC_4_0","icopperbug","icopperbug",NA,NA,2025-06-07 00:44:05.215,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176953071,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285866419","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.33505,-94.742028,5,NA,NA,NA,NA,NA,"2022-11-28T14:42:14",28,11,2022,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","285866419","","joross31",2025-06-01 06:37:54,"CC_BY_NC_4_0","joross31","joross31",NA,NA,2025-06-07 03:19:16.603,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176904708,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286406144","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",34.76682,-76.407172,3,NA,NA,NA,NA,NA,"2025-06-02T19:04:28",2,6,2025,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","286406144","","oschapmn",2025-06-02 23:12:41,"CC_BY_NC_4_0","oschapmn","oschapmn",NA,NA,2025-06-07 00:45:54.783,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176880723,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285461259","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.38273,-88.27085,6,NA,NA,NA,NA,NA,"2025-05-30T17:27:20",30,5,2025,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","285461259","","patsyr",2025-05-30 22:27:58,"CC_BY_NC_4_0","patsyr","patsyr",NA,NA,2025-06-07 00:21:44.965,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176860734,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284474603","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",24.725423,-81.418926,126,NA,NA,NA,NA,NA,"2025-05-26T10:46",26,5,2025,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","284474603","","Eiji Myorin",2025-05-27 09:31:18,"CC_BY_NC_4_0","Lucas Garriga","Lucas Garriga",NA,NA,2025-06-07 02:06:07.627,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176743301,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285814087","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.836345,-97.139042,NA,NA,NA,NA,NA,NA,"2025-05-31T10:49",31,5,2025,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","285814087","","Kim Draper",2025-06-01 01:20:43,"CC_BY_NC_4_0","Kim Draper","Kim Draper",NA,NA,2025-06-07 02:49:33.268,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176535539,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286273303","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.201513,-80.255867,13,NA,NA,NA,NA,NA,"2025-06-01T17:33:27",1,6,2025,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","286273303","","Levi Hoskins",2025-06-02 15:24:38,"CC_BY_NC_4_0","Kelly Bearhs","Kelly Bearhs",NA,NA,2025-06-07 00:15:17.626,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176425920,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285101128","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.331253,-86.179506,NA,NA,NA,NA,NA,NA,"2025-05-25T11:17:19",25,5,2025,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","285101128","","icopperbug",2025-05-29 16:31:59,"CC_BY_NC_4_0","icopperbug","icopperbug",NA,NA,2025-06-07 01:40:43.769,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168566760,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284283182","Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae","Clibanarius","Clibanarius vittatus",NA,"SPECIES","Clibanarius vittatus (Bosc, 1802)","Clibanarius vittatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.136406,-85.720283,3,NA,NA,NA,NA,NA,"2025-05-24T18:49:28",24,5,2025,2224452,2224452,"HUMAN_OBSERVATION","iNaturalist","Observations","284283182","","Anthony J. Mills",2025-05-26 15:52:20,"CC_BY_NC_4_0","Anthony J. Mills","Anthony J. Mills",NA,NA,2025-06-07 00:38:42.948,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
