"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4994309602,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/254331572","Animalia","Chordata",NA,"Perciformes","Eleotridae","Eleotris","Eleotris amblyopsis",NA,"SPECIES","Eleotris amblyopsis (Cope, 1871)","Eleotris amblyopsis","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.374123,-80.83766,2319,NA,NA,NA,NA,NA,"2024-12-06T15:20:30",6,12,2024,2386119,2386119,"HUMAN_OBSERVATION","iNaturalist","Observations",254331572,"","Chris Kehrer",2024-12-06 20:39:17,"CC_BY_NC_4_0","Chris Kehrer","Chris Kehrer",NA,NA,2025-06-07 02:15:08.796,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4958336709,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH2143","Animalia","Chordata",NA,"Perciformes","Eleotridae","Eleotris","Eleotris amblyopsis",NA,"SPECIES","Eleotris amblyopsis (Cope, 1871)","Eleotris amblyopsis","","CR","Caño California","","PRESENT",2,"0553362c-9393-411f-bec2-116d0c343c4c",10.336457,-83.418959,5000,NA,NA,NA,NA,NA,"2023-07-19",19,7,2023,2386119,2386119,"HUMAN_OBSERVATION","","",NA,"","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.46,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4958336687,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH2157","Animalia","Chordata",NA,"Perciformes","Eleotridae","Eleotris","Eleotris amblyopsis",NA,"SPECIES","Eleotris amblyopsis (Cope, 1871)","Eleotris amblyopsis","","CR","Jalova","","PRESENT",1,"0553362c-9393-411f-bec2-116d0c343c4c",10.364515,-83.406419,5000,NA,NA,NA,NA,NA,"2023-07-19",19,7,2023,2386119,2386119,"HUMAN_OBSERVATION","","",NA,"","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.459,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4958336653,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH2133","Animalia","Chordata",NA,"Perciformes","Eleotridae","Eleotris","Eleotris amblyopsis",NA,"SPECIES","Eleotris amblyopsis (Cope, 1871)","Eleotris amblyopsis","","CR","Caño Blanco","","PRESENT",1,"0553362c-9393-411f-bec2-116d0c343c4c",10.281789,-83.359219,5000,NA,NA,NA,NA,NA,"2023-07-18",18,7,2023,2386119,2386119,"HUMAN_OBSERVATION","","",NA,"","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.456,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4958336577,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH2176","Animalia","Chordata",NA,"Perciformes","Eleotridae","Eleotris","Eleotris amblyopsis",NA,"SPECIES","Eleotris amblyopsis (Cope, 1871)","Eleotris amblyopsis","","CR","Los Chorros","","PRESENT",2,"0553362c-9393-411f-bec2-116d0c343c4c",10.29048,-83.394727,5000,NA,NA,NA,NA,NA,"2023-09-20",20,9,2023,2386119,2386119,"HUMAN_OBSERVATION","","",NA,"","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.451,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4958336563,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH1704","Animalia","Chordata",NA,"Perciformes","Eleotridae","Eleotris","Eleotris amblyopsis",NA,"SPECIES","Eleotris amblyopsis (Cope, 1871)","Eleotris amblyopsis","","CR","Quebrada Seca","","PRESENT",2,"0553362c-9393-411f-bec2-116d0c343c4c",10.318117,-83.45471,5000,NA,NA,NA,NA,NA,"2023-05-15",15,5,2023,2386119,2386119,"HUMAN_OBSERVATION","","",NA,"","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.45,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4958336532,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH1718","Animalia","Chordata",NA,"Perciformes","Eleotridae","Eleotris","Eleotris amblyopsis",NA,"SPECIES","Eleotris amblyopsis (Cope, 1871)","Eleotris amblyopsis","","CR","Confluencia Río Jiménez","","PRESENT",1,"0553362c-9393-411f-bec2-116d0c343c4c",10.300965,-83.471952,5000,NA,NA,NA,NA,NA,"2023-05-15",15,5,2023,2386119,2386119,"HUMAN_OBSERVATION","","",NA,"","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.448,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4958335897,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH1901","Animalia","Chordata",NA,"Perciformes","Eleotridae","Eleotris","Eleotris amblyopsis",NA,"SPECIES","Eleotris amblyopsis (Cope, 1871)","Eleotris amblyopsis","","CR","Muelle Silencio","","PRESENT",1,"0553362c-9393-411f-bec2-116d0c343c4c",10.246118,-83.510519,5000,NA,NA,NA,NA,NA,"2023-09-25",25,9,2023,2386119,2386119,"HUMAN_OBSERVATION","","",NA,"","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.38,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4958333642,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH2086","Animalia","Chordata",NA,"Perciformes","Eleotridae","Eleotris","Eleotris amblyopsis",NA,"SPECIES","Eleotris amblyopsis (Cope, 1871)","Eleotris amblyopsis","","CR","Confluencia Parismina","","PRESENT",1,"0553362c-9393-411f-bec2-116d0c343c4c",10.282743,-83.427911,5000,NA,NA,NA,NA,NA,"2023-04-25",25,4,2023,2386119,2386119,"HUMAN_OBSERVATION","","",NA,"","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro",NA,NA,2025-02-01 00:43:43.053,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4952576273,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/244607401","Animalia","Chordata",NA,"Perciformes","Eleotridae","Eleotris","Eleotris amblyopsis",NA,"SPECIES","Eleotris amblyopsis (Cope, 1871)","Eleotris amblyopsis","","CR","","Limón","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",10.541387,-83.509822,1123,NA,NA,NA,NA,NA,"2012-08-05T06:20",5,8,2012,2386119,2386119,"HUMAN_OBSERVATION","iNaturalist","Observations",244607401,"","Jo Jiménez",2024-10-02 02:03:45,"CC_BY_NC_4_0","Fabián A. Sibaja Araya","Fabián A. Sibaja Araya",NA,NA,2025-06-07 01:53:51.395,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
