"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5087182305,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/261362238","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"SPECIES","Eucinostomus argenteus Baird & Girard, 1855","Eucinostomus argenteus","","JM","","Westmoreland","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",18.301705,-78.338395,28,NA,NA,NA,NA,NA,"2025-02-06T18:08:39",6,2,2025,2369473,2369473,"HUMAN_OBSERVATION","iNaturalist","Observations","261362238",NA,"zachs",2025-02-11 20:17:58,"CC_BY_NC_4_0","jaz4859","jaz4859",NA,NA,2025-06-07 01:46:35.525,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5087129783,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/258588163","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"SPECIES","Eucinostomus argenteus Baird & Girard, 1855","Eucinostomus argenteus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",25.901203,-80.125397,3,NA,NA,NA,NA,NA,"2024-10-25T16:44:06",25,10,2024,2369473,2369473,"HUMAN_OBSERVATION","iNaturalist","Observations","258588163",NA,"zachs",2025-01-17 01:58:22,"CC_BY_NC_4_0","Kenneth","Kenneth",NA,NA,2025-06-07 02:13:24.765,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5062965055,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/258509359","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"SPECIES","Eucinostomus argenteus Baird & Girard, 1855","Eucinostomus argenteus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.26059,-80.083419,59,NA,NA,NA,NA,NA,"2021-06-19T10:01:43",19,6,2021,2369473,2369473,"HUMAN_OBSERVATION","iNaturalist","Observations","258509359",NA,"zachs",2025-01-15 00:03:12,"CC_BY_NC_4_0","zachs","zachs",NA,NA,2025-06-07 02:13:24.077,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4936187624,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/238688455","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"SPECIES","Eucinostomus argenteus Baird & Girard, 1855","Eucinostomus argenteus","","DO","","La Altagracia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",18.689745,-68.409903,6820,NA,NA,NA,NA,NA,"2024-08-29T16:52",29,8,2024,2369473,2369473,"HUMAN_OBSERVATION","iNaturalist","Observations","238688455",NA,"zachs",2024-08-30 00:01:34,"CC_BY_NC_4_0","haidar0","haidar0",NA,NA,2025-06-07 01:59:42.482,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4919693705,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/232268301","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"SPECIES","Eucinostomus argenteus Baird & Girard, 1855","Eucinostomus argenteus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.058133,-80.11003,20,NA,NA,NA,NA,NA,"2024-07-28T08:51:01",28,7,2024,2369473,2369473,"HUMAN_OBSERVATION","iNaturalist","Observations","232268301",NA,"zachs",2024-07-28 18:06:11,"CC_BY_NC_4_0","Kai Murphy","Kai Murphy",NA,NA,2025-06-07 01:53:10.467,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4874553869,"cb3a4868-9a00-422e-8ede-62045170afc3","BR:ReefSYN:Parrachos_fish_monitoring:BrazilianCoast_garcas_monitoramento_2019_439_occ6587","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"SPECIES","Eucinostomus argenteus Baird & Girard, 1855","","","BR","garcas_monitoramento","","PRESENT",NA,"b81896a3-05ab-4011-a360-1aededb554a3",-5.209725,-35.362831,NA,NA,NA,NA,NA,NA,"2019",NA,NA,2019,2369473,2369473,"HUMAN_OBSERVATION","","","",NA,"",NA,"CC_BY_4_0","","Natalia C Roos",NA,NA,2025-02-01 01:02:59.518,"","COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH;SCIENTIFIC_NAME_AND_ID_INCONSISTENT;TAXON_MATCH_NAME_AND_ID_AMBIGUOUS"
4874553777,"cb3a4868-9a00-422e-8ede-62045170afc3","BR:ReefSYN:Parrachos_fish_monitoring:BrazilianCoast_rastro_monitoramento_2022_619_occ9670","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"SPECIES","Eucinostomus argenteus Baird & Girard, 1855","","","BR","rastro_monitoramento","","PRESENT",NA,"b81896a3-05ab-4011-a360-1aededb554a3",-5.2206,-35.345472,NA,NA,NA,NA,2,0,"2022",NA,NA,2022,2369473,2369473,"HUMAN_OBSERVATION","","","",NA,"",NA,"CC_BY_4_0","","Kelly Y Inagaki",NA,NA,2025-02-01 01:02:59.511,"","COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH;SCIENTIFIC_NAME_AND_ID_INCONSISTENT;TAXON_MATCH_NAME_AND_ID_AMBIGUOUS"
4874553612,"cb3a4868-9a00-422e-8ede-62045170afc3","BR:ReefSYN:Parrachos_fish_monitoring:BrazilianCoast_parracho_direitadofarol_2017_142_occ1943","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"SPECIES","Eucinostomus argenteus Baird & Girard, 1855","","","BR","parracho_direitadofarol","","PRESENT",NA,"b81896a3-05ab-4011-a360-1aededb554a3",-5.226056,-35.342028,NA,NA,NA,NA,2,0,"2017",NA,NA,2017,2369473,2369473,"HUMAN_OBSERVATION","","","",NA,"",NA,"CC_BY_4_0","","Natalia C Roos",NA,NA,2025-02-01 01:02:59.498,"","COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH;SCIENTIFIC_NAME_AND_ID_INCONSISTENT;TAXON_MATCH_NAME_AND_ID_AMBIGUOUS"
4874549979,"cb3a4868-9a00-422e-8ede-62045170afc3","BR:ReefSYN:Parrachos_fish_monitoring:BrazilianCoast_parracho09_2017_124_occ1652","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"SPECIES","Eucinostomus argenteus Baird & Girard, 1855","","","BR","parracho09","","PRESENT",NA,"b81896a3-05ab-4011-a360-1aededb554a3",-5.223139,-35.349861,NA,NA,NA,NA,1.5,0,"2017",NA,NA,2017,2369473,2369473,"HUMAN_OBSERVATION","","","",NA,"",NA,"CC_BY_4_0","","Natalia C Roos",NA,NA,2025-02-01 01:02:59.229,"","COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH;SCIENTIFIC_NAME_AND_ID_INCONSISTENT;TAXON_MATCH_NAME_AND_ID_AMBIGUOUS"
4874543711,"cb3a4868-9a00-422e-8ede-62045170afc3","BR:ReefSYN:Parrachos_fish_monitoring:BrazilianCoast_parracho_milleporasite_2018_168_occ2448","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"SPECIES","Eucinostomus argenteus Baird & Girard, 1855","","","BR","parracho_milleporasite","","PRESENT",NA,"b81896a3-05ab-4011-a360-1aededb554a3",-5.217083,-35.363889,NA,NA,NA,NA,2,0,"2018",NA,NA,2018,2369473,2369473,"HUMAN_OBSERVATION","","","",NA,"",NA,"CC_BY_4_0","","Natalia C Roos",NA,NA,2025-02-01 01:02:58.745,"","COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_MISMATCH;SCIENTIFIC_NAME_AND_ID_INCONSISTENT;TAXON_MATCH_NAME_AND_ID_AMBIGUOUS"
