"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
857002666,"66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","diveboard:17266_205039_0","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus (Bleeker, 1863)","","NL","","","PRESENT",NA,"1989b627-2a61-44db-83e4-392efc5da0a9",51.7347,3.84472,100,NA,0,0,4,4,"2012-06-03T12:05Z",3,6,2012,2369483,2369483,"HUMAN_OBSERVATION","Diveboard","Diveboard","diveboard:17266_205039_0","","Sarah Verzele",2012-06-03,"CC_BY_NC_4_0","Diveboard","Sarah Verzele","",NA,2025-01-31 21:31:27.842,"","COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5088030765,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/265341760","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",24.94136,-80.605014,9,NA,NA,NA,NA,NA,"2015-08-11T09:33",11,8,2015,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","265341760","","zachs",2025-03-15 01:01:02,"CC_BY_NC_4_0","Andy Alexandrov","Andy Alexandrov","",NA,2025-06-07 02:04:05.108,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5087430973,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/263832171","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",25.125496,-80.40483,34,NA,NA,NA,NA,NA,"2025-03-03T20:24:10",3,3,2025,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","263832171","","zachs",2025-03-04 12:28:28,"CC_BY_NC_4_0","eashby","eashby","",NA,2025-06-07 02:48:20.676,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5086999788,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/204811840","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","PR","","Culebra","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",18.33368,-65.322162,22,NA,NA,NA,NA,NA,"2024-03-17T15:15",17,3,2024,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","204811840","","caleb_melville",2024-03-31 21:16:26,"CC_BY_NC_4_0","caleb_melville","caleb_melville","",NA,2025-06-07 01:59:49.259,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5063948199,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/260983336","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","CV","","Sal","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",16.761573,-22.892139,31,NA,NA,NA,NA,NA,"2025-01-17T10:22",17,1,2025,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","260983336","","Juan Carballo",2025-02-08 10:23:54,"CC_BY_NC_4_0","Juan Carballo","Juan Carballo","",NA,2025-06-07 01:43:43.76,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5062985954,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/258509382","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.260082,-80.083445,284,NA,NA,NA,NA,NA,"2021-06-19T09:56:55",19,6,2021,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","258509382","","zachs",2025-01-15 00:03:57,"CC_BY_NC_4_0","zachs","zachs","",NA,2025-06-07 02:49:03.934,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5062937029,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/254938526","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","BR","","Santa Catarina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-27.541102,-48.461035,399,NA,NA,NA,NA,NA,"2024-12-07T01:44",7,12,2024,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","254938526","","Nicola Crockford",2024-12-12 23:23:35,"CC_BY_NC_4_0","Nicola Crockford","Nicola Crockford","",NA,2025-06-07 01:14:24.155,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5036862277,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/257763274","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","BS","","South Eleuthera","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",24.831785,-76.33024,NA,NA,NA,NA,NA,NA,"2025-01-07T21:05:14",7,1,2025,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","257763274","","Di Boonman",2025-01-08 02:51:31,"CC_BY_NC_4_0","Di Boonman","Di Boonman","",NA,2025-06-07 01:13:18.476,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4987843258,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/185653807","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.334236,-94.749935,NA,NA,NA,NA,NA,NA,"2023-09-30T15:42:43",30,9,2023,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","185653807","","Mitchel Buckner",2023-09-30 23:14:21,"CC_BY_NC_4_0","Mitchel Buckner","Mitchel Buckner","",NA,2025-06-07 00:55:47.202,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4987682707,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/185654113","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.334278,-94.750107,NA,NA,NA,NA,NA,NA,"2023-09-30T16:04:08",30,9,2023,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","185654113","","Mitchel Buckner",2023-09-30 23:16:31,"CC_BY_NC_4_0","Mitchel Buckner","Mitchel Buckner","",NA,2025-06-07 01:23:31.194,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4987673421,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/253219933","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.823883,-75.982368,170,NA,NA,NA,NA,NA,"2024-11-26T16:41:26",26,11,2024,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","253219933","","zachs",2024-11-26 22:33:41,"CC_BY_NC_4_0","zachs","zachs","",NA,2025-06-07 00:39:20.801,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4987473571,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/185653888","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.334235,-94.749938,NA,NA,NA,NA,NA,NA,"2023-09-30T15:44:42",30,9,2023,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","185653888","","Mitchel Buckner",2023-09-30 23:14:55,"CC_BY_NC_4_0","Mitchel Buckner","Mitchel Buckner","",NA,2025-06-07 00:12:27.575,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4987471245,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/138154811","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.334237,-94.750181,NA,NA,NA,NA,NA,NA,"2022-10-09T13:10:54",9,10,2022,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","138154811","","Mitchel Buckner",2022-10-09 18:49:26,"CC_BY_NC_4_0","Mitchel Buckner","Mitchel Buckner","",NA,2025-06-06 23:57:25.294,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4987446292,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/253001547","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.404662,-81.403137,4,NA,NA,NA,NA,NA,"2024-11-24T21:35:16",24,11,2024,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","253001547","","Cal O",2024-11-25 03:56:28,"CC_BY_NC_4_0","Cal O","Cal O","",NA,2025-06-07 01:26:12.338,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4982332828,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/252015696","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","VC","","Saint George","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",13.127841,-61.190844,18,NA,NA,NA,NA,NA,"2024-11-16T18:31:06",16,11,2024,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","252015696","","zachs",2024-11-17 16:54:15,"CC_BY_NC_4_0","hydradon","hydradon","",NA,2025-06-07 02:01:54.238,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4982141138,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/251686319","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","CR","","Limón","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",9.658137,-82.756,61,NA,NA,NA,NA,NA,"2024-11-10",10,11,2024,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","251686319","","Sue",2024-11-14 20:22:50,"CC_BY_NC_4_0","mdoliveira","mdoliveira","",NA,2025-06-07 01:44:06.742,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4974086737,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/248435122","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","PR","","Yabucoa","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",18.050682,-65.830738,22,NA,NA,NA,NA,NA,"2024-10-17T17:14:14",17,10,2024,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","248435122","","IHUNTA",2024-10-21 12:01:46,"CC_BY_NC_4_0","IHUNTA","IHUNTA","",NA,2025-06-07 03:12:35.594,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4973875837,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/247153581","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.649092,-97.194755,68,NA,NA,NA,NA,NA,"2024-10-13T10:57:18",13,10,2024,2369483,2369483,"HUMAN_OBSERVATION","iNaturalist","Observations","247153581","","certified_bug_enjoyer",2024-10-13 17:25:47,"CC_BY_NC_4_0","certified_bug_enjoyer","certified_bug_enjoyer","",NA,2025-06-07 00:39:22.461,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4958336649,"bf2e3583-b3c3-417a-a2fe-b257bff001cc","2023ICERH2137","Animalia","Chordata",NA,"Perciformes","Gerreidae","Eucinostomus","Eucinostomus melanopterus",NA,"SPECIES","Eucinostomus melanopterus (Bleeker, 1863)","Eucinostomus melanopterus","","CR","Caño California","","PRESENT",2,"0553362c-9393-411f-bec2-116d0c343c4c",10.336457,-83.418959,5000,NA,NA,NA,NA,NA,"2023-07-19",19,7,2023,2369483,2369483,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","","Franklin Zamora Esquivel; Jorge Leiva Navarro","",NA,2025-02-01 00:43:43.456,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
