"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5139942179,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/225970174","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Eurytium","Eurytium limosum",NA,"SPECIES","Eurytium limosum (Say, 1818)","Eurytium limosum","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.75746,-78.793872,53,NA,NA,NA,NA,NA,"2024-06-28T22:26:47",28,6,2024,2227717,2227717,"HUMAN_OBSERVATION","iNaturalist","Observations","225970174","","Jordan S",2024-06-29 16:54:16,"CC_BY_NC_4_0","Jordan S","Jordan S",NA,NA,2025-06-07 00:39:29.852,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5087086561,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/232896132","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Eurytium","Eurytium limosum",NA,"SPECIES","Eurytium limosum (Say, 1818)","Eurytium limosum","","US","","North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.955429,-77.934154,1195,NA,NA,NA,NA,NA,"2024-07-31T09:53:41",31,7,2024,2227717,2227717,"HUMAN_OBSERVATION","iNaturalist","Observations","232896132","","Kaitlen",2024-07-31 14:13:11,"CC_BY_NC_4_0","Kaitlen","Kaitlen",NA,NA,2025-06-07 00:32:34.985,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4945905572,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/238319117","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Eurytium","Eurytium limosum",NA,"SPECIES","Eurytium limosum (Say, 1818)","Eurytium limosum","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.296112,-81.431074,64,NA,NA,NA,NA,NA,"2024-08-27T07:23",27,8,2024,2227717,2227717,"HUMAN_OBSERVATION","iNaturalist","Observations","238319117","","sino_dipper",2024-09-12 03:08:55,"CC_BY_NC_4_0","Jeff Garner","Jeff Garner",NA,NA,2025-06-07 00:59:05.37,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4870037445,"038f4398-50d3-4643-86f3-a0dceba96125","Invemar:MHNMC:Consec.85518:INVCRU10610","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Eurytium","Eurytium limosum",NA,"SPECIES","Eurytium limosum (Say, 1818)","Eurytium limosum","(Say, 1818)","CO","Canal de acceso a la bahía Tukakas. Área 4 - Manglar","La Guajira","PRESENT",2,"f072f648-b8a4-47a0-9e1c-89d790645b5a",11.91554,-71.28876,30,NA,NA,NA,0,0,"2023-04-22",22,4,2023,2227717,2227717,"HUMAN_OBSERVATION","Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andreis (INVEMAR)","MHNMC","INV CRU10610","4 M C43 22 - 4 M C44 22","Andrés Merchán Cepeda;Yuberlis González Ipuana",2023-10-22,"CC_BY_NC_4_0","INVEMAR","Vanessa Yepes Narváez;Maria Alejandra Mutis Martinezguerra;Cristina Maria Cedeño Posso",NA,NA,2025-01-31 17:08:53.026,"",""
4417094963,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/184868928","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Eurytium","Eurytium limosum",NA,"SPECIES","Eurytium limosum (Say, 1818)","Eurytium limosum","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.86153,-79.756805,8,NA,NA,NA,NA,NA,"2023-09-25T10:47:26",25,9,2023,2227717,2227717,"HUMAN_OBSERVATION","iNaturalist","Observations","184868928","","Chekiangense Longpotamon",2023-09-26 04:18:19,"CC_BY_NC_4_0","Keith Bradley","Keith Bradley",NA,NA,2025-06-07 01:30:54.57,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4407241747,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/176843259","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Eurytium","Eurytium limosum",NA,"SPECIES","Eurytium limosum (Say, 1818)","Eurytium limosum","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.577142,-80.520888,5005,NA,NA,NA,NA,NA,"2023-08-05T10:15:10",5,8,2023,2227717,2227717,"HUMAN_OBSERVATION","iNaturalist","Observations","176843259","","Norm Shea",2023-08-06 12:44:22,"CC_BY_NC_4_0","Fred","Fred",NA,NA,2025-06-07 01:28:55.167,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4405325627,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/180040187","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Eurytium","Eurytium limosum",NA,"SPECIES","Eurytium limosum (Say, 1818)","Eurytium limosum","","BR","","Ceará","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-2.844515,-40.581522,514,NA,NA,NA,NA,NA,"2023-07-11T18:23",11,7,2023,2227717,2227717,"HUMAN_OBSERVATION","iNaturalist","Observations","180040187","","Chekiangense Longpotamon",2023-08-27 03:44:54,"CC_BY_NC_4_0","capybara1357","capybara1357",NA,NA,2025-06-07 02:06:37.325,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
3059018164,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/70777281","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Eurytium","Eurytium limosum",NA,"SPECIES","Eurytium limosum (Say, 1818)","Eurytium limosum","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.3298,-80.234397,820,NA,NA,NA,NA,NA,"2021-03-07T10:17",7,3,2021,2227717,2227717,"HUMAN_OBSERVATION","iNaturalist","Observations","70777281","","Mike Gigliotti",2021-03-08 00:05:35,"CC_BY_NC_4_0","sfitzgerald86","sfitzgerald86",NA,NA,2025-06-06 23:53:35.556,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
3039383323,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/6260552","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Eurytium","Eurytium limosum",NA,"SPECIES","Eurytium limosum (Say, 1818)","Eurytium limosum","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",25.870629,-81.383564,31,NA,NA,NA,NA,NA,"2017-04-17T13:26",17,4,2017,2227717,2227717,"HUMAN_OBSERVATION","iNaturalist","Observations","6260552","","Ondřej Radosta",2017-05-18 16:19:04,"CC_BY_NC_4_0","Ondřej Radosta","Ondřej Radosta",NA,NA,2025-06-07 00:56:27.124,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
2580129875,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/40217087","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Eurytium","Eurytium limosum",NA,"SPECIES","Eurytium limosum (Say, 1818)","Eurytium limosum","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.2382,-80.778362,NA,NA,NA,NA,NA,NA,"2020-03-16T16:23",16,3,2020,2227717,2227717,"HUMAN_OBSERVATION","iNaturalist","Observations","40217087","","Mike Gigliotti",2020-03-19 03:04:23,"CC_BY_4_0","sudomir","sudomir",NA,NA,2025-06-06 23:50:34.291,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
