"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5176930252,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286570721","Animalia","Chordata",NA,"Perciformes","Gobiidae","Gobionellus","Gobionellus oceanicus",NA,"SPECIES","Gobionellus oceanicus (Pallas, 1770)","Gobionellus oceanicus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",28.391744,-96.838356,2,NA,NA,NA,NA,NA,"2017-05-26T21:31",26,5,2017,2375711,2375711,"HUMAN_OBSERVATION","iNaturalist","Observations","286570721","","conwaykw",2025-06-03 16:11:05,"CC_BY_NC_4_0","conwaykw","conwaykw",NA,NA,2025-06-07 01:55:58.369,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168222282,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/280645317","Animalia","Chordata",NA,"Perciformes","Gobiidae","Gobionellus","Gobionellus oceanicus",NA,"SPECIES","Gobionellus oceanicus (Pallas, 1770)","Gobionellus oceanicus","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.366311,-88.825073,200,NA,NA,NA,NA,NA,"2022-05-23T08:20",23,5,2022,2375711,2375711,"HUMAN_OBSERVATION","iNaturalist","Observations","280645317","","zachs",2025-05-13 23:02:10,"CC_BY_NC_4_0","millican","millican",NA,NA,2025-06-07 01:41:41.42,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167078613,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282976304","Animalia","Chordata",NA,"Perciformes","Gobiidae","Gobionellus","Gobionellus oceanicus",NA,"SPECIES","Gobionellus oceanicus (Pallas, 1770)","Gobionellus oceanicus","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.220503,-88.062713,87,NA,NA,NA,NA,NA,"2023-05-24T02:03:16",24,5,2023,2375711,2375711,"HUMAN_OBSERVATION","iNaturalist","Observations","282976304","","Max Olejniczak",2025-05-21 20:27:27,"CC_BY_NC_4_0","Max Olejniczak","Max Olejniczak",NA,NA,2025-06-07 00:48:18.598,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5149158492,"f8c4d377-5db6-4912-a5ee-f068a834a744","UNIVALLE:CIR-UV:023192","Animalia","Chordata",NA,"Perciformes","Gobiidae","Gobionellus","Gobionellus oceanicus",NA,"SPECIES","Gobionellus oceanicus (Pallas, 1770)","Gobionellus oceanicus","(Pallas, 1770)","CO","Manglar de Tribugá","Chocó","PRESENT",1,"85be57ed-f187-49c9-b7ff-eaa622e06217",5.755278,-77.243611,NA,NA,NA,NA,NA,NA,"2023-03-13",13,3,2023,2375711,2375711,"HUMAN_OBSERVATION","Universidad del Valle (UniValle)","","","","Juan David Arias;Jorge Portilla",2023-04-10,"CC_BY_NC_4_0","","Alejandra Puentes-Sayo;Arturo Acero P.;Jose Tavera;Juan David Arias",NA,NA,2025-05-12 16:54:56.783,"","COORDINATE_ROUNDED"
5134321357,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/268671141","Animalia","Chordata",NA,"Perciformes","Gobiidae","Gobionellus","Gobionellus oceanicus",NA,"SPECIES","Gobionellus oceanicus (Pallas, 1770)","Gobionellus oceanicus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.832333,-97.117469,10,NA,NA,NA,NA,NA,"2025-04-04T12:02:54",4,4,2025,2375711,2375711,"HUMAN_OBSERVATION","iNaturalist","Observations","268671141","","Anisa Riccardelli",2025-04-05 04:53:37,"CC_BY_NC_4_0","Anisa Riccardelli","Anisa Riccardelli",NA,NA,2025-06-07 00:56:31.972,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5088021798,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/265314050","Animalia","Chordata",NA,"Perciformes","Gobiidae","Gobionellus","Gobionellus oceanicus",NA,"SPECIES","Gobionellus oceanicus (Pallas, 1770)","Gobionellus oceanicus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.203649,-94.962109,20,NA,NA,NA,NA,NA,"2025-03-14T14:45:51",14,3,2025,2375711,2375711,"HUMAN_OBSERVATION","iNaturalist","Observations","265314050","","curlyfries",2025-03-14 19:51:46,"CC_BY_NC_4_0","curlyfries","curlyfries",NA,NA,2025-06-07 01:56:32.708,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5063603007,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/260076769","Animalia","Chordata",NA,"Perciformes","Gobiidae","Gobionellus","Gobionellus oceanicus",NA,"SPECIES","Gobionellus oceanicus (Pallas, 1770)","Gobionellus oceanicus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",28.962133,-95.553597,7,NA,NA,NA,NA,NA,"2025-01-05T09:26:48",5,1,2025,2375711,2375711,"HUMAN_OBSERVATION","iNaturalist","Observations","260076769","","Mitchel Buckner",2025-01-30 19:06:17,"CC_BY_NC_4_0","cherishashton","cherishashton",NA,NA,2025-06-07 01:08:10.098,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5007371451,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/255832139","Animalia","Chordata",NA,"Perciformes","Gobiidae","Gobionellus","Gobionellus oceanicus",NA,"SPECIES","Gobionellus oceanicus (Pallas, 1770)","Gobionellus oceanicus","","BR","","Santa Catarina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-27.703576,-48.641329,NA,NA,NA,NA,NA,NA,"2024-11-30T09:50:34",30,11,2024,2375711,2375711,"HUMAN_OBSERVATION","iNaturalist","Observations","255832139","","Bruno R. Giozza",2024-12-22 03:00:43,"CC0_1_0","Bruno R. Giozza","Bruno R. Giozza",NA,NA,2025-06-07 00:24:51.115,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5006937064,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/255712031","Animalia","Chordata",NA,"Perciformes","Gobiidae","Gobionellus","Gobionellus oceanicus",NA,"SPECIES","Gobionellus oceanicus (Pallas, 1770)","Gobionellus oceanicus","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.31148,-89.290778,4,NA,NA,NA,NA,NA,"2022-08-08T18:21:50",8,8,2022,2375711,2375711,"HUMAN_OBSERVATION","iNaturalist","Observations","255712031","","laned228",2024-12-20 21:51:25,"CC_BY_NC_4_0","laned228","laned228",NA,NA,2025-06-07 00:10:52.806,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4987818379,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/252958629","Animalia","Chordata",NA,"Perciformes","Gobiidae","Gobionellus","Gobionellus oceanicus",NA,"SPECIES","Gobionellus oceanicus (Pallas, 1770)","Gobionellus oceanicus","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.396408,-88.858551,NA,NA,NA,NA,NA,NA,"2024-11-24T16:27",24,11,2024,2375711,2375711,"HUMAN_OBSERVATION","iNaturalist","Observations","252958629","","Don Abrams",2024-11-24 23:33:05,"CC_BY_NC_4_0","Don Abrams","Don Abrams",NA,NA,2025-06-07 03:12:42.497,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
