"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
911440547,"66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","diveboard:130051_345055_0","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","","SPECIES","Rhithropanopeus harrisii (Gould, 1841)","Rhithropanopeus harrisii (Gould, 1841)","","NL","Scharendijke","","PRESENT",NA,"1989b627-2a61-44db-83e4-392efc5da0a9",51.7406,3.84496,100,NA,0,0,6.3,6.3,"2014-04-27T11:00Z",27,4,2014,2227663,2227663,"HUMAN_OBSERVATION","Diveboard","Diveboard","diveboard:130051_345055_0","","Saskia Bender",2014-04-27,"CC_BY_NC_4_0","Diveboard","Saskia Bender",NA,NA,2025-01-31 21:31:19.43,"","COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
890236665,"ebbe25bd-c0ce-4c14-9608-3a55fed82620","24774/1","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","","SPECIES","Rhithropanopeus harrisii (Gould, 1841)","Rhithropanopeus harrisii (Gould, 1841)","","NL","01 Het IJ Eye","","PRESENT",1,"7f6110d7-d156-47a4-b2e4-c67c12a481ca",52.389826,4.89762,100,NA,NA,NA,NA,NA,"2012-08-29",29,8,2012,2227663,2227663,"HUMAN_OBSERVATION","city-of-amsterdam","fyke-fishing-piet-ruijter","24774/1","","",NA,"CC_BY_4_0","","",NA,NA,2025-02-01 01:57:28.504,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
890236471,"ebbe25bd-c0ce-4c14-9608-3a55fed82620","24743/2","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","","SPECIES","Rhithropanopeus harrisii (Gould, 1841)","Rhithropanopeus harrisii (Gould, 1841)","","NL","07 Amerikahaven Australie","","PRESENT",1,"7f6110d7-d156-47a4-b2e4-c67c12a481ca",52.422732,4.772797,100,NA,NA,NA,NA,NA,"2013-03-04",4,3,2013,2227663,2227663,"HUMAN_OBSERVATION","city-of-amsterdam","fyke-fishing-piet-ruijter","24743/2","","",NA,"CC_BY_4_0","","",NA,NA,2025-02-01 01:57:28.778,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
890235771,"ebbe25bd-c0ce-4c14-9608-3a55fed82620","24697/2","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","","SPECIES","Rhithropanopeus harrisii (Gould, 1841)","Rhithropanopeus harrisii (Gould, 1841)","","NL","12 Afrika","","PRESENT",1,"7f6110d7-d156-47a4-b2e4-c67c12a481ca",52.421792,4.7497,100,NA,NA,NA,NA,NA,"2012-06-27",27,6,2012,2227663,2227663,"HUMAN_OBSERVATION","city-of-amsterdam","fyke-fishing-piet-ruijter","24697/2","","",NA,"CC_BY_4_0","","",NA,NA,2025-02-01 01:57:28.743,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
890235157,"ebbe25bd-c0ce-4c14-9608-3a55fed82620","24665","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","","SPECIES","Rhithropanopeus harrisii (Gould, 1841)","Rhithropanopeus harrisii (Gould, 1841)","","NL","05 Westhaven ADM","","PRESENT",1,"7f6110d7-d156-47a4-b2e4-c67c12a481ca",52.417105,4.806521,100,NA,NA,NA,NA,NA,"2012-12-22",22,12,2012,2227663,2227663,"HUMAN_OBSERVATION","city-of-amsterdam","fyke-fishing-piet-ruijter","24665","","",NA,"CC_BY_4_0","","",NA,NA,2025-02-01 01:57:28.328,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
890230672,"ebbe25bd-c0ce-4c14-9608-3a55fed82620","25097","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","","SPECIES","Rhithropanopeus harrisii (Gould, 1841)","Rhithropanopeus harrisii (Gould, 1841)","","NL","05 Westhaven ADM","","PRESENT",1,"7f6110d7-d156-47a4-b2e4-c67c12a481ca",52.419533,4.814075,100,NA,NA,NA,NA,NA,"2012-09-15",15,9,2012,2227663,2227663,"HUMAN_OBSERVATION","city-of-amsterdam","fyke-fishing-piet-ruijter","25097","","",NA,"CC_BY_4_0","","",NA,NA,2025-02-01 01:57:28.651,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
890230612,"ebbe25bd-c0ce-4c14-9608-3a55fed82620","25092","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","","SPECIES","Rhithropanopeus harrisii (Gould, 1841)","Rhithropanopeus harrisii (Gould, 1841)","","NL","C Westhaven Suez","","PRESENT",1,"7f6110d7-d156-47a4-b2e4-c67c12a481ca",52.401844,4.825148,100,NA,NA,NA,NA,NA,"2012-07-03",3,7,2012,2227663,2227663,"HUMAN_OBSERVATION","city-of-amsterdam","fyke-fishing-piet-ruijter","25092","","",NA,"CC_BY_4_0","","",NA,NA,2025-02-01 01:57:28.652,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
890230588,"ebbe25bd-c0ce-4c14-9608-3a55fed82620","25074","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","","SPECIES","Rhithropanopeus harrisii (Gould, 1841)","Rhithropanopeus harrisii (Gould, 1841)","","NL","A Houthaven","","PRESENT",1,"7f6110d7-d156-47a4-b2e4-c67c12a481ca",52.401816,4.876519,100,NA,NA,NA,NA,NA,"2013-03-29",29,3,2013,2227663,2227663,"HUMAN_OBSERVATION","city-of-amsterdam","fyke-fishing-piet-ruijter","25074","","",NA,"CC_BY_4_0","","",NA,NA,2025-02-01 01:57:28.669,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
890230548,"ebbe25bd-c0ce-4c14-9608-3a55fed82620","25070","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","","SPECIES","Rhithropanopeus harrisii (Gould, 1841)","Rhithropanopeus harrisii (Gould, 1841)","","NL","06 Kop Amerikahaven","","PRESENT",1,"7f6110d7-d156-47a4-b2e4-c67c12a481ca",52.425111,4.772278,100,NA,NA,NA,NA,NA,"2013-03-22",22,3,2013,2227663,2227663,"HUMAN_OBSERVATION","city-of-amsterdam","fyke-fishing-piet-ruijter","25070","","",NA,"CC_BY_4_0","","",NA,NA,2025-02-01 01:57:28.669,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
890230299,"ebbe25bd-c0ce-4c14-9608-3a55fed82620","25047","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","","SPECIES","Rhithropanopeus harrisii (Gould, 1841)","Rhithropanopeus harrisii (Gould, 1841)","","NL","03 Kop J v Riebeeck","","PRESENT",1,"7f6110d7-d156-47a4-b2e4-c67c12a481ca",52.415948,4.840946,100,NA,NA,NA,NA,NA,"2013-02-15",15,2,2013,2227663,2227663,"HUMAN_OBSERVATION","city-of-amsterdam","fyke-fishing-piet-ruijter","25047","","",NA,"CC_BY_4_0","","",NA,NA,2025-02-01 01:57:28.67,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
