"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5177279157,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286118861","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Maryland","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.226945,-76.046761,3,NA,NA,NA,NA,NA,"2025-06-01T16:25:08",1,6,2025,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",286118861,NA,"bow_brown_brook",2025-06-01 22:56:52,"CC_BY_NC_4_0","bow_brown_brook","bow_brown_brook",NA,NA,2025-06-07 00:49:22.842,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176785010,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286370108","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",28.774168,-82.629452,4,NA,NA,NA,NA,NA,"2025-06-01T22:46",1,6,2025,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",286370108,NA,"j_appleget",2025-06-02 20:38:00,"CC_BY_NC_4_0","j_appleget","j_appleget",NA,NA,2025-06-07 00:59:33.617,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176780427,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/267363834","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",28.932205,-82.667863,4,NA,NA,NA,NA,NA,"2025-03-26T15:01:17",26,3,2025,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",267363834,NA,"Austin Smith",2025-04-11 15:23:04,"CC_BY_NC_4_0","maryellenhannibal","maryellenhannibal",NA,NA,2025-06-07 02:52:22.51,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167067557,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282207435","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Massachusetts","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.882955,-70.003083,NA,NA,NA,NA,NA,NA,"2025-05-18T14:59:13",18,5,2025,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",282207435,NA,"Destynnie K. Berard",2025-05-18 21:42:40,"CC_BY_4_0","Destynnie K. Berard","Destynnie K. Berard",NA,NA,2025-06-07 00:14:11.23,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5134648333,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/269304735","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",28.693935,-96.663133,15,NA,NA,NA,NA,NA,"2025-04-04T10:32",4,4,2025,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",269304735,NA,"Ryan Rash",2025-04-08 16:11:53,"CC_BY_NC_4_0","Ryan Rash","Ryan Rash",NA,NA,2025-06-07 03:06:04.777,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5134307263,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/271450374","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.6537,-95.008958,4,NA,NA,NA,NA,NA,"2025-04-19T09:51",19,4,2025,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",271450374,NA,"sagecrab",2025-04-19 15:37:38,"CC_BY_NC_4_0","jovani_frias","jovani_frias",NA,NA,2025-06-07 01:56:25.779,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5104279879,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167945715","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Connecticut","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.27372,-72.76384,2400,NA,NA,NA,NA,NA,"2023-06-17T15:43",17,6,2023,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",167945715,NA,"Sean Rigney",2023-06-18 03:46:32,"CC_BY_NC_4_0","Sean Rigney","Sean Rigney",NA,NA,2025-06-07 01:38:37.032,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5062655782,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/169105795","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Massachusetts","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.667297,-70.072838,35,NA,NA,NA,NA,NA,"2023-06-23T22:22:43",23,6,2023,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",169105795,NA,"Austin Smith",2023-06-26 17:18:45,"CC_BY_NC_4_0","umbrellamagnolia","umbrellamagnolia",NA,NA,2025-06-07 02:56:58.562,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5037158622,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/232927214","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Massachusetts","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.860794,-70.022448,3021,NA,NA,NA,NA,NA,"2024-06-09T10:29",9,6,2024,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",232927214,NA,"D. Bray",2024-07-31 16:49:58,"CC_BY_NC_4_0","D. Bray","D. Bray",NA,NA,2025-06-07 02:53:39.715,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4994599677,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/247417498","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"New Jersey","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.541539,-74.416026,214,NA,NA,NA,NA,NA,"2024-09-30T11:48:07",30,9,2024,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",247417498,NA,"Christine Thompson",2024-10-15 03:02:59,"CC_BY_NC_4_0","Christine Thompson","Christine Thompson",NA,NA,2025-06-07 02:00:40.84,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4954247422,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/246913835","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Delaware","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.756631,-75.089666,172,NA,NA,NA,NA,NA,"2024-09-29T17:01",29,9,2024,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",246913835,NA,"bev435",2024-10-12 12:10:36,"CC_BY_NC_4_0","bev435","bev435",NA,NA,2025-06-07 01:00:18.176,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4952696529,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/244032074","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Massachusetts","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.884805,-69.999989,206,NA,NA,NA,NA,NA,"2024-09-25T16:24:52",25,9,2024,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",244032074,NA,"Stirling Cousins",2024-09-25 20:28:46,"CC_BY_NC_4_0","Stirling Cousins","Stirling Cousins",NA,NA,2025-06-07 01:18:42.828,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4950326787,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/243503549","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae","Sesarma","Sesarma reticulatum",NA,"SPECIES","Sesarma reticulatum (Say, 1817)","Sesarma reticulatum",NA,"US",NA,"Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.333708,-94.752258,4,NA,NA,NA,NA,NA,"2024-09-22T12:26",22,9,2024,2225752,2225752,"HUMAN_OBSERVATION","iNaturalist","Observations",243503549,NA,"sagecrab",2024-09-23 03:55:28,"CC_BY_4_0","Dan Johnson","Dan Johnson",NA,NA,2025-06-07 01:55:01.012,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
