Record_ID_Number,ProjectName,SampleNumber,Taxon,Count
71741,Barataria Bay Fall 2006,BBF-2006-064,No species collected,0
71345,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71346,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71347,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71348,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71349,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71350,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71351,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71352,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71353,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71354,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71360,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71361,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71362,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71363,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71364,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71365,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71366,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71367,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71368,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71369,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71370,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71371,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71372,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71373,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71374,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71375,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71376,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71377,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71378,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71379,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71380,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71381,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71382,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71383,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71384,Barataria Bay Fall 2006,BBF-2006-065,Litopenaeus setiferus,1
71355,Barataria Bay Fall 2006,BBF-2006-065,Penaeidae,1
71356,Barataria Bay Fall 2006,BBF-2006-065,Penaeidae,1
71357,Barataria Bay Fall 2006,BBF-2006-065,Penaeidae,1
71358,Barataria Bay Fall 2006,BBF-2006-065,Penaeidae,1
71359,Barataria Bay Fall 2006,BBF-2006-065,Penaeidae,1
71742,Barataria Bay Fall 2006,BBF-2006-066,No species collected,0
71387,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus aztecus,1
71389,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus aztecus,1
71390,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus aztecus,1
71391,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus aztecus,1
71392,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus aztecus,1
71393,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus aztecus,1
71404,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus aztecus,1
71406,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus aztecus,1
71409,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus aztecus,1
71388,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus sp.,1
71405,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus sp.,1
71407,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus sp.,1
71408,Barataria Bay Fall 2006,BBF-2006-067,Farfantepenaeus sp.,1
71385,Barataria Bay Fall 2006,BBF-2006-067,Litopenaeus setiferus,1
