,Taxon,2006,2016,2022_2023
0,Acetes americanus,0.03,0.0,0.0
1,Achirus lineatus,0.0,0.038,0.0
2,Alpheus,0.0,0.012,0.0
3,Alpheus heterochaelis,0.03,0.012,0.071
4,Amphipoda,0.0,0.0,0.009
5,Anchoa mitchilli,0.0,0.175,0.107
6,Archosargus probatocephalus,0.061,0.0,0.009
7,Ariopsis felis,0.0,0.012,0.0
8,Armases americanum,0.0,0.025,0.0
9,Armases benedicti,0.0,0.025,0.0
10,Armases cinereum,0.061,0.138,0.286
11,Bagre marinus,0.0,0.0,0.009
12,Bairdiella chrysoura,0.03,0.0,0.0
13,Bathygobius soporator,0.0,0.0,0.018
14,Brachyura,0.0,0.05,0.0
15,Callinectes,0.606,0.0,0.0
16,Callinectes sapidus,0.879,0.938,0.652
17,Callinectes similis,0.0,0.1,0.0
18,Caridea,0.0,0.012,0.0
19,Citharichthys spilopterus,0.0,0.062,0.027
20,Clibanarius vittatus,0.121,0.138,0.196
21,Crassostrea virginica,0.0,0.0,0.018
22,Ctenogobius boleosoma,0.848,0.75,0.786
23,Ctenogobius shufeldti,0.0,0.0,0.009
24,Cynoscion arenarius,0.03,0.012,0.0
25,Cynoscion nebulosus,0.0,0.1,0.027
26,Cyprinodon variegatus,0.03,0.062,0.009
27,Cyprinodontiformes,0.0,0.025,0.0
28,Dormitator maculatus,0.0,0.012,0.0
29,Eleotris amblyopsis,0.0,0.038,0.0
30,Engraulidae,0.0,0.012,0.0
31,Eucinostomus,0.0,0.05,0.0
32,Eucinostomus argenteus,0.0,0.038,0.0
33,Eucinostomus melanopterus,0.0,0.012,0.018
34,Eurytium limosum,0.0,0.012,0.0
35,Evorthodus lyricus,0.0,0.112,0.089
36,Fundulidae,0.0,0.012,0.0
37,Fundulus grandis,0.03,0.488,0.33
38,Fundulus jenkinsi,0.03,0.025,0.036
39,Fundulus pulvereus,0.03,0.0,0.0
40,Fundulus similis,0.0,0.0,0.009
41,Fundulus xenicus,0.03,0.1,0.036
42,Gobiidae,0.03,0.05,0.0
43,Gobionellus oceanicus,0.0,0.038,0.036
44,Gobiosoma,0.061,0.0,0.0
45,Gobiosoma bosc,0.273,0.225,0.071
46,Harengula,0.0,0.025,0.0
47,Lagodon rhomboides,0.0,0.138,0.027
48,Leander tenuicornis,0.03,0.675,0.0
49,Leiostomus xanthurus,0.0,0.012,0.0
50,Littoraria irrorata,0.0,0.0,0.179
51,Lucania parva,0.03,0.0,0.0
52,Lutjanus griseus,0.03,0.075,0.0
53,Macrobrachium ohione,0.03,0.0,0.0
54,Menidia,0.0,0.012,0.0
55,Menidia beryllina,0.061,0.275,0.214
56,Micropogonias undulatus,0.0,0.012,0.018
57,Minuca,0.727,0.55,0.027
58,Minuca longisignalis,0.03,0.0,0.42
59,Minuca pugnax,0.03,0.0,0.0
60,Minuca rapax,0.03,0.0,0.045
61,Mugil cephalus,0.0,0.175,0.089
62,Mugil curema,0.0,0.038,0.0
63,Myrophis punctatus,0.03,0.05,0.027
64,Negaprion brevirostris,0.0,0.0,0.009
65,Neverita delessertiana,0.0,0.0,0.009
66,No species collected,0.03,0.0,0.0
67,Ocypodidae,0.0,0.012,0.0
68,Opsanus beta,0.0,0.012,0.0
69,Pachygrapsus gracilis,0.0,0.0,0.009
70,Pagurus longicarpus,0.0,0.0,0.009
71,Palaemon intermedius,0.121,0.088,0.0
72,Palaemon pugio,0.788,0.875,0.0
73,Palaemon vulgaris,0.212,0.425,0.0
74,Palaemonetes,0.758,0.85,0.795
75,Panopeidae,0.03,0.088,0.0
76,Panopeus herbstii,0.121,0.312,0.0
77,Panopeus obesus,0.0,0.0,0.375
78,Panopeus simpsoni,0.0,0.0,0.054
79,Paralichthys lethostigma,0.0,0.0,0.027
80,Penaeidae,0.0,0.188,0.0
81,Penaeus,0.242,0.0,0.0
82,Penaeus aztecus,0.333,0.975,0.143
83,Penaeus duorarum,0.0,0.025,0.0
84,Penaeus setiferus,0.545,1.0,0.982
85,Petrolisthes armatus,0.0,0.012,0.027
86,Phrontis vibex,0.0,0.0,0.009
87,Poecilia latipinna,0.0,0.25,0.045
88,Pogonias cromis,0.0,0.012,0.0
89,Portunidae,0.0,0.938,0.0
90,Probopyrus pandalicola,0.0,0.0,0.143
91,Rhithropanopeus harrisii,0.03,0.0,0.0
92,Sciaenidae,0.061,0.0,0.0
93,Sciaenops ocellatus,0.121,0.0,0.027
94,Sesarma reticulatum,0.515,0.125,0.062
95,Sesarmidae,0.0,0.012,0.0
96,Solenosteira cancellaria,0.0,0.0,0.027
97,Symphurus plagiusa,0.061,0.112,0.116
98,Syngnathus louisianae,0.03,0.0,0.0
99,Syngnathus scovelli,0.0,0.025,0.009
100,Trinectes maculatus,0.0,0.0,0.018
101,Unknown Fish,0.0,0.025,0.0
102,Unknown Fish ,0.03,0.0,0.054
103,Urosalpinx cinerea,0.0,0.0,0.009
104,arthropoda,0.0,0.0,0.009
105,crusacea,0.0,0.0,0.018
106,polychaeta,0.0,0.0,0.045
107,teleostei,0.0,0.0,0.054
