"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5177192486,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285078450","Animalia","Chordata",NA,"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",NA,"SPECIES","Anchoa mitchilli (Valenciennes, 1848)","Anchoa mitchilli","","US","","New Jersey","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",40.874346,-73.941075,10,NA,NA,NA,NA,NA,"2025-05-29T10:54:49",29,5,2025,2413931,2413931,"HUMAN_OBSERVATION","iNaturalist","Observations","285078450",NA,"ren",2025-05-29 15:00:02,"CC_BY_NC_4_0","ren","ren",NA,NA,2025-06-07 00:42:13.429,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177062522,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/254038208","Animalia","Chordata",NA,"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",NA,"SPECIES","Anchoa mitchilli (Valenciennes, 1848)","Anchoa mitchilli","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.391213,-87.431512,3583,NA,NA,NA,NA,NA,"2024-12-03T08:20:26",3,12,2024,2413931,2413931,"HUMAN_OBSERVATION","iNaturalist","Observations","254038208",NA,"Ava T.",2025-01-25 13:41:21,"CC_BY_NC_4_0","Ava T.","Ava T.",NA,NA,2025-06-07 00:17:12.346,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177012498,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/247493991","Animalia","Chordata",NA,"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",NA,"SPECIES","Anchoa mitchilli (Valenciennes, 1848)","Anchoa mitchilli","","US","","Georgia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",31.046213,-81.408803,4,NA,NA,NA,NA,NA,"2024-10-15T12:40:33",15,10,2024,2413931,2413931,"HUMAN_OBSERVATION","iNaturalist","Observations","247493991",NA,"kempsridley",2024-10-15 16:41:13,"CC_BY_NC_4_0","kempsridley","kempsridley",NA,NA,2025-06-07 00:56:49.392,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176384528,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/247478550","Animalia","Chordata",NA,"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",NA,"SPECIES","Anchoa mitchilli (Valenciennes, 1848)","Anchoa mitchilli","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.350075,-79.194511,5,NA,NA,NA,NA,NA,"2024-10-14T13:34",14,10,2024,2413931,2413931,"HUMAN_OBSERVATION","iNaturalist","Observations","247478550",NA,"Jen Plunket",2024-10-15 14:46:40,"CC_BY_NC_4_0","Jen Plunket","Jen Plunket",NA,NA,2025-06-07 01:19:37.623,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168226584,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/279388608","Animalia","Chordata",NA,"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",NA,"SPECIES","Anchoa mitchilli (Valenciennes, 1848)","Anchoa mitchilli","","US","","North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",35.793545,-75.550028,6125,NA,NA,NA,NA,NA,"2025-05-07T22:51",7,5,2025,2413931,2413931,"HUMAN_OBSERVATION","iNaturalist","Observations","279388608",NA,"harrier",2025-05-08 03:55:49,"CC_BY_4_0","harrier","harrier",NA,NA,2025-06-07 01:16:00.882,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167551514,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281427509","Animalia","Chordata",NA,"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",NA,"SPECIES","Anchoa mitchilli (Valenciennes, 1848)","Anchoa mitchilli","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.266963,-87.589875,13,NA,NA,NA,NA,NA,"2025-05-15T22:32:07",15,5,2025,2413931,2413931,"HUMAN_OBSERVATION","iNaturalist","Observations","281427509",NA,"Chase Egli",2025-05-16 05:19:37,"CC_BY_NC_4_0","Chase Egli","Chase Egli",NA,NA,2025-06-07 01:42:11.202,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167173837,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282932105","Animalia","Chordata",NA,"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",NA,"SPECIES","Anchoa mitchilli (Valenciennes, 1848)","Anchoa mitchilli","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.793434,-78.727889,836,NA,NA,NA,NA,NA,"2025-05-21T12:06:17",21,5,2025,2413931,2413931,"HUMAN_OBSERVATION","iNaturalist","Observations","282932105",NA,"meemo",2025-05-21 17:20:47,"CC_BY_NC_4_0","meemo","meemo",NA,NA,2025-06-07 03:02:24.849,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167007892,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281192838","Animalia","Chordata",NA,"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",NA,"SPECIES","Anchoa mitchilli (Valenciennes, 1848)","Anchoa mitchilli","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.271887,-87.559295,11,NA,NA,NA,NA,NA,"2025-05-14T23:52:26",14,5,2025,2413931,2413931,"HUMAN_OBSERVATION","iNaturalist","Observations","281192838",NA,"Chase Egli",2025-05-15 06:10:26,"CC_BY_NC_4_0","Chase Egli","Chase Egli",NA,NA,2025-06-07 00:24:51.624,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5166785776,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/279388009","Animalia","Chordata",NA,"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",NA,"SPECIES","Anchoa mitchilli (Valenciennes, 1848)","Anchoa mitchilli","","US","","North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",35.795144,-75.548019,3,NA,NA,NA,NA,NA,"2025-05-07T22:51",7,5,2025,2413931,2413931,"HUMAN_OBSERVATION","iNaturalist","Observations","279388009",NA,"Larry Chen",2025-05-08 03:50:54,"CC_BY_NC_4_0","Larry Chen","Larry Chen",NA,NA,2025-06-07 01:34:50.272,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5166783905,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/261771732","Animalia","Chordata",NA,"Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",NA,"SPECIES","Anchoa mitchilli (Valenciennes, 1848)","Anchoa mitchilli","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.207072,-97.307406,3,NA,NA,NA,NA,NA,"2009-03-17",17,3,2009,2413931,2413931,"HUMAN_OBSERVATION","iNaturalist","Observations","261771732",NA,"Richard Kazmaier",2025-02-15 21:59:07,"CC_BY_NC_4_0","Richard Kazmaier","Richard Kazmaier",NA,NA,2025-06-07 02:07:14.649,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
