"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5168381513,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281099765","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Cynoscion","Cynoscion arenarius",NA,"SPECIES","Cynoscion arenarius Ginsburg, 1930","Cynoscion arenarius","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.023297,-81.328688,4,NA,NA,NA,NA,NA,"2025-05-14T14:41:08",14,5,2025,2400040,2400040,"HUMAN_OBSERVATION","iNaturalist","Observations","281099765",NA,"birdflight",2025-05-14 23:16:32,"CC_BY_NC_4_0","Peter Wilson","Peter Wilson",NA,NA,2025-06-07 02:08:51.69,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168349202,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283727711","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Cynoscion","Cynoscion arenarius",NA,"SPECIES","Cynoscion arenarius Ginsburg, 1930","Cynoscion arenarius","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.344463,-89.144293,111,NA,NA,NA,NA,NA,"2020-10-25T14:04",25,10,2020,2400040,2400040,"HUMAN_OBSERVATION","iNaturalist","Observations","283727711",NA,"Brady Baxter",2025-05-24 19:38:27,"CC_BY_NC_4_0","Brady Baxter","Brady Baxter",NA,NA,2025-06-07 00:37:04.115,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168050877,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284396524","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Cynoscion","Cynoscion arenarius",NA,"SPECIES","Cynoscion arenarius Ginsburg, 1930","Cynoscion arenarius","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.390983,-88.881563,6430,NA,NA,NA,NA,NA,"2025-05-23T11:37",23,5,2025,2400040,2400040,"HUMAN_OBSERVATION","iNaturalist","Observations","284396524",NA,"ilovetennessee",2025-05-26 22:27:06,"CC_BY_NC_4_0","ilovetennessee","ilovetennessee",NA,NA,2025-06-07 00:25:05.862,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167173584,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282641441","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Cynoscion","Cynoscion arenarius",NA,"SPECIES","Cynoscion arenarius Ginsburg, 1930","Cynoscion arenarius","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.414547,-88.953103,53,NA,NA,NA,NA,NA,"2025-05-15T08:44:52",15,5,2025,2400040,2400040,"HUMAN_OBSERVATION","iNaturalist","Observations","282641441",NA,"leslieazwell",2025-05-20 14:46:32,"CC_BY_NC_4_0","leslieazwell","leslieazwell",NA,NA,2025-06-07 03:02:22.237,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154889325,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/279230696","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Cynoscion","Cynoscion arenarius",NA,"SPECIES","Cynoscion arenarius Ginsburg, 1930","Cynoscion arenarius","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.682895,-85.267083,64,NA,NA,NA,NA,NA,"2025-05-07T09:43:30",7,5,2025,2400040,2400040,"HUMAN_OBSERVATION","iNaturalist","Observations","279230696",NA,"Peter Wilson",2025-05-07 14:41:21,"CC_BY_NC_4_0","Peter Wilson","Peter Wilson",NA,NA,2025-06-07 00:14:44.732,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154623774,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/277902030","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Cynoscion","Cynoscion arenarius",NA,"SPECIES","Cynoscion arenarius Ginsburg, 1930","Cynoscion arenarius","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.257278,-88.127333,4,NA,NA,NA,NA,NA,"2024-07-18T19:09:13",18,7,2024,2400040,2400040,"HUMAN_OBSERVATION","iNaturalist","Observations","277902030",NA,"zachs",2025-05-03 12:12:34,"CC_BY_NC_4_0","nateherps","nateherps",NA,NA,2025-06-07 00:37:08.06,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154291805,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/280862508","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Cynoscion","Cynoscion arenarius",NA,"SPECIES","Cynoscion arenarius Ginsburg, 1930","Cynoscion arenarius","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.833891,-97.111477,NA,NA,NA,NA,NA,NA,"2025-05-13T13:15:22",13,5,2025,2400040,2400040,"HUMAN_OBSERVATION","iNaturalist","Observations","280862508",NA,"seinaanies",2025-05-13 20:45:58,"CC_BY_NC_4_0","seinaanies","seinaanies",NA,NA,2025-06-07 01:28:30.726,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154115599,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/278251159","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Cynoscion","Cynoscion arenarius",NA,"SPECIES","Cynoscion arenarius Ginsburg, 1930","Cynoscion arenarius","","US","","Louisiana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.202645,-90.039122,2222,NA,NA,NA,NA,NA,"2019-05-26T22:22",26,5,2019,2400040,2400040,"HUMAN_OBSERVATION","iNaturalist","Observations","278251159",NA,"Tony Schollmeier",2025-05-04 01:35:07,"CC_BY_NC_4_0","Tony Schollmeier","Tony Schollmeier",NA,NA,2025-06-07 02:08:41.934,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5153661469,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/279777232","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Cynoscion","Cynoscion arenarius",NA,"SPECIES","Cynoscion arenarius Ginsburg, 1930","Cynoscion arenarius","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.256525,-88.209715,NA,NA,NA,NA,NA,NA,"2025-05-06T13:35",6,5,2025,2400040,2400040,"HUMAN_OBSERVATION","iNaturalist","Observations","279777232",NA,"Bette J Kauffman",2025-05-09 19:53:28,"CC_BY_NC_4_0","Bette J Kauffman","Bette J Kauffman",NA,NA,2025-06-07 00:25:01.885,"","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5153495749,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/268915883","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Cynoscion","Cynoscion arenarius",NA,"SPECIES","Cynoscion arenarius Ginsburg, 1930","Cynoscion arenarius","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.237545,-88.0273,5,NA,NA,NA,NA,NA,"2025-04-05T11:00:28",5,4,2025,2400040,2400040,"HUMAN_OBSERVATION","iNaturalist","Observations","268915883",NA,"Ava",2025-04-06 20:46:50,"CC_BY_NC_4_0","Sailor Reynolds","Sailor Reynolds",NA,NA,2025-06-07 03:01:10.28,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
