"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5176799054,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284954275","Animalia","Chordata",NA,"Perciformes","Eleotridae","Dormitator","Dormitator maculatus",NA,"SPECIES","Dormitator maculatus (Bloch, 1792)","Dormitator maculatus","","TT","","Siparia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",10.211359,-61.558408,5,NA,NA,NA,NA,NA,"2024-05-31",31,5,2024,2386401,2386401,"HUMAN_OBSERVATION","iNaturalist","Observations","284954275","","hannahmcgx",2025-05-29 00:47:36,"CC_BY_NC_4_0","hannahmcgx","hannahmcgx","",NA,2025-06-07 01:15:05.005,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168260944,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282740915","Animalia","Chordata",NA,"Perciformes","Eleotridae","Dormitator","Dormitator maculatus",NA,"SPECIES","Dormitator maculatus (Bloch, 1792)","Dormitator maculatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.176708,-82.457103,15,NA,NA,NA,NA,NA,"2011-05-18T16:50",18,5,2011,2386401,2386401,"HUMAN_OBSERVATION","iNaturalist","Observations","282740915","","moose439",2025-05-20 21:51:14,"CC_BY_NC_4_0","moose439","moose439","",NA,2025-06-07 02:05:58.444,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5153383083,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/280131446","Animalia","Chordata",NA,"Perciformes","Eleotridae","Dormitator","Dormitator maculatus",NA,"SPECIES","Dormitator maculatus (Bloch, 1792)","Dormitator maculatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.138072,-81.653847,16,NA,NA,NA,NA,NA,"2025-05-10T15:04:24",10,5,2025,2386401,2386401,"HUMAN_OBSERVATION","iNaturalist","Observations","280131446","","Alistair D. Dove",2025-05-11 02:56:36,"CC_BY_NC_4_0","Alistair D. Dove","Alistair D. Dove","",NA,2025-06-07 00:46:00.74,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140586866,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/274724605","Animalia","Chordata",NA,"Perciformes","Eleotridae","Dormitator","Dormitator maculatus",NA,"SPECIES","Dormitator maculatus (Bloch, 1792)","Dormitator maculatus","","GF","","Cayenne","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",4.73631,-52.327101,9,NA,NA,NA,NA,NA,"2025-04-27T10:49:16",27,4,2025,2386401,2386401,"HUMAN_OBSERVATION","iNaturalist","Observations","274724605","","BOILEDIEU",2025-04-27 15:01:11,"CC_BY_NC_4_0","BOILEDIEU","BOILEDIEU","",NA,2025-06-07 03:16:40.933,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5139971957,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/206175278","Animalia","Chordata",NA,"Perciformes","Eleotridae","Dormitator","Dormitator maculatus",NA,"SPECIES","Dormitator maculatus (Bloch, 1792)","Dormitator maculatus","","BR","","São Paulo","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-23.624489,-45.39833,5,NA,NA,NA,NA,NA,"2024-04-08T20:26:41",8,4,2024,2386401,2386401,"HUMAN_OBSERVATION","iNaturalist","Observations","206175278","","José Pedro De Campos Fogaça",2024-04-09 01:06:07,"CC_BY_NC_4_0","José Pedro De Campos Fogaça","José Pedro De Campos Fogaça","",NA,2025-06-07 02:47:21.463,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5133705963,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/270668283","Animalia","Chordata",NA,"Perciformes","Eleotridae","Dormitator","Dormitator maculatus",NA,"SPECIES","Dormitator maculatus (Bloch, 1792)","Dormitator maculatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.10209,-80.256668,16,NA,NA,NA,NA,NA,"2025-04-15T13:20:32",15,4,2025,2386401,2386401,"HUMAN_OBSERVATION","iNaturalist","Observations","270668283","","Christian Weston Chandler creator of Sonichu",2025-04-15 18:00:27,"CC_BY_NC_4_0","Christian Weston Chandler creator of Sonichu","Christian Weston Chandler creator of Sonichu","",NA,2025-06-07 00:02:55.788,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5133668814,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/270643502","Animalia","Chordata",NA,"Perciformes","Eleotridae","Dormitator","Dormitator maculatus",NA,"SPECIES","Dormitator maculatus (Bloch, 1792)","Dormitator maculatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.46241,-80.279451,7991,NA,NA,NA,NA,NA,"2025-04-02T03:31:01",2,4,2025,2386401,2386401,"HUMAN_OBSERVATION","iNaturalist","Observations","270643502","","Maxfield JonasKrueger",2025-04-15 15:58:44,"CC_BY_NC_4_0","jadyncooper","jadyncooper","",NA,2025-06-07 01:33:41.821,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5108225164,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/267391547","Animalia","Chordata",NA,"Perciformes","Eleotridae","Dormitator","Dormitator maculatus",NA,"SPECIES","Dormitator maculatus (Bloch, 1792)","Dormitator maculatus","","US","","Georgia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",31.245997,-81.456078,NA,NA,NA,NA,NA,NA,"2023-06-22T16:55:23",22,6,2023,2386401,2386401,"HUMAN_OBSERVATION","iNaturalist","Observations","267391547","","Ryan Harrell",2025-03-28 19:28:21,"CC_BY_NC_4_0","Ryan Harrell","Ryan Harrell","",NA,2025-06-07 02:48:04.093,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5101563518,"e3167d3a-949c-47af-8f9f-e4d01865cf8d","b56c6213f6c6c8ebd6f302d0f231cb49","Animalia","Chordata",NA,"Perciformes","Eleotridae","Dormitator","Dormitator maculatus",NA,"SPECIES","Dormitator maculatus (Bloch, 1792)","Dormitator maculatus","(Bloch, 1792)","MX","4.89 kilometers from the opening of the coatzacoalcos river","Veracruz de ignacio de la llave","PRESENT",6,"14e44f43-7971-4b6e-9e1d-5573d0536509",18.191696,-94.443965,NA,NA,NA,NA,NA,NA,"2023-06-15",15,6,2023,2386401,2386401,"HUMAN_OBSERVATION","ERM","","NO APLICA","","Alicia León",NA,"CC_BY_4_0","Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)","Luis Garcia; Diana Garcia; Max Perez Yera; Luis Montiel","NotAType",NA,2025-04-09 20:06:25.067,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
5069905121,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/261686793","Animalia","Chordata",NA,"Perciformes","Eleotridae","Dormitator","Dormitator maculatus",NA,"SPECIES","Dormitator maculatus (Bloch, 1792)","Dormitator maculatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.347607,-82.545774,37,NA,NA,NA,NA,NA,"2025-02-14T15:19:09",14,2,2025,2386401,2386401,"HUMAN_OBSERVATION","iNaturalist","Observations","261686793","","Bichir",2025-02-15 03:04:59,"CC_BY_NC_4_0","shawnphoenix","shawnphoenix","",NA,2025-06-07 01:04:12.677,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
