"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5177093741,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282834837","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.157093,-85.643501,7,NA,NA,NA,NA,NA,"2025-05-20T11:59:02",20,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",282834837,NA,"wiregrasser",2025-05-21 08:13:53,"CC_BY_4_0","wiregrasser","wiregrasser",NA,NA,2025-06-07 00:55:55.706,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176979079,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284865069","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.438343,-83.286121,61,NA,NA,NA,NA,NA,"2025-05-23T12:58",23,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",284865069,NA,"marlo",2025-05-30 20:18:04,"CC_BY_NC_4_0","Luke Smith","Luke Smith",NA,NA,2025-06-07 01:25:16.914,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168404331,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282886824","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.40028,-88.414003,3,NA,NA,NA,NA,NA,"2025-05-21T08:58:30",21,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",282886824,NA,"Emmett Carstens",2025-05-21 13:59:34,"CC_BY_NC_4_0","Emmett Carstens","Emmett Carstens",NA,NA,2025-06-07 01:07:39.851,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168398039,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282753244","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.891475,-75.357147,3,NA,NA,NA,NA,NA,"2025-05-20T09:20:02",20,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",282753244,NA,"Rachel Pitt",2025-05-20 22:52:07,"CC_BY_NC_4_0","Rachel Pitt","Rachel Pitt",NA,NA,2025-06-07 00:31:24.324,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168175490,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282476344","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.891992,-75.356445,5,NA,NA,NA,NA,NA,"2025-05-19T14:38:49",19,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",282476344,NA,"paul_dennehy",2025-05-19 21:08:55,"CC_BY_NC_4_0","paul_dennehy","paul_dennehy",NA,NA,2025-06-07 00:23:13.596,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167595033,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282477112","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.891717,-75.356742,14,NA,NA,NA,NA,NA,"2025-05-19T14:40:51",19,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",282477112,NA,"paul_dennehy",2025-05-19 21:12:29,"CC_BY_NC_4_0","paul_dennehy","paul_dennehy",NA,NA,2025-06-07 03:02:20.751,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167071993,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283297694","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Delaware","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.776894,-75.140047,NA,NA,NA,NA,NA,NA,"2025-05-21T19:44:19",21,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",283297694,NA,"inbetweenbays",2025-05-23 04:04:28,"CC_BY_4_0","inbetweenbays","inbetweenbays",NA,NA,2025-06-07 01:26:43.205,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5166934438,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281033723","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.808833,-76.403269,NA,NA,NA,NA,NA,NA,"2025-05-14T10:32:43",14,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",281033723,NA,"Gold eagle Kroll",2025-05-14 15:38:52,"CC_BY_4_0","Gold eagle Kroll","Gold eagle Kroll",NA,NA,2025-06-07 00:43:18.605,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5166899045,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281746591","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.296517,-76.536779,NA,NA,NA,NA,NA,NA,"2025-05-17T09:06:44",17,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",281746591,NA,"Scott Harris",2025-05-17 13:10:04,"CC_BY_4_0","Scott Harris","Scott Harris",NA,NA,2025-06-07 02:49:19.475,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5166808263,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/280323623","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.88892,-76.013411,4,NA,NA,NA,NA,NA,"2025-05-11T10:22:26",11,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",280323623,NA,"axicus",2025-05-11 19:30:52,"CC_BY_NC_4_0","axicus","axicus",NA,NA,2025-06-07 01:04:11.228,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5166796655,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/216004078","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.97249,-84.34111,NA,NA,NA,NA,NA,NA,"2024-05-15T16:04:03",15,5,2024,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",216004078,NA,"meowdle",2024-05-15 22:43:41,"CC_BY_NC_4_0","meowdle","meowdle",NA,NA,2025-06-07 00:15:07.284,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154879444,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/280848133","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.904154,-76.106516,10,NA,NA,NA,NA,NA,"2025-05-11T17:47:43",11,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",280848133,NA,"julianne",2025-05-13 19:36:17,"CC_BY_NC_4_0","julianne","julianne",NA,NA,2025-06-07 00:04:10.831,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5153839416,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/278594267","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Maryland","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.193128,-75.884312,2,NA,NA,NA,NA,NA,"2025-05-03T13:09",3,5,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",278594267,NA,"Wayne Longbottom",2025-05-05 00:13:39,"CC_BY_NC_4_0","Wayne Longbottom","Wayne Longbottom",NA,NA,2025-06-07 01:07:40.66,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5153492578,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/268117929","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.90835,-76.307794,20,NA,NA,NA,NA,NA,"2025-04-01T16:02:34",1,4,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",268117929,NA,"Scott Jones",2025-04-01 20:03:22,"CC_BY_NC_4_0","Scott Jones","Scott Jones",NA,NA,2025-06-07 00:37:09.622,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5141030330,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/275666059","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.961268,-77.927484,1500,NA,NA,NA,NA,NA,"2025-04-27T14:24",27,4,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",275666059,NA,"Maelstromus",2025-04-28 14:04:14,"CC_BY_NC_4_0","Maelstromus","Maelstromus",NA,NA,2025-06-07 01:36:58.666,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140971426,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/276407512","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.93147,-75.419446,3104,NA,NA,NA,NA,NA,"2025-04-28T17:46:50",28,4,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",276407512,NA,"zach_schultz",2025-04-29 03:55:37,"CC_BY_NC_4_0","zach_schultz","zach_schultz",NA,NA,2025-06-07 00:22:22.16,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140901789,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/276274755","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.893428,-75.372133,69,NA,NA,NA,NA,NA,"2025-04-28T18:32:39",28,4,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",276274755,NA,"Hayden Shepley",2025-04-29 01:06:56,"CC_BY_NC_4_0","Hayden Shepley","Hayden Shepley",NA,NA,2025-06-07 03:00:41.953,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140897659,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/275160334","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.472784,-75.822766,17,NA,NA,NA,NA,NA,"2025-04-26T12:48:37",26,4,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",275160334,NA,"zpoulton",2025-04-27 23:26:29,"CC_BY_NC_4_0","zpoulton","zpoulton",NA,NA,2025-06-07 01:46:31.932,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140888940,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/276284683","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria irrorata",NA,"SPECIES","Littoraria irrorata (Say, 1822)","Littoraria irrorata",NA,"US",NA,"Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.676936,-75.836956,198,NA,NA,NA,NA,NA,"2025-04-28T17:05",28,4,2025,5192673,5192673,"HUMAN_OBSERVATION","iNaturalist","Observations",276284683,NA,"cbyakker",2025-04-29 01:18:51,"CC_BY_NC_4_0","cbyakker","cbyakker",NA,NA,2025-06-07 01:03:13.543,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
