"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4909129948,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/127927763","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.405685,-88.83113,38,NA,NA,NA,NA,NA,"2022-07-24T18:38",24,7,2022,2227712,2227712,"HUMAN_OBSERVATION","iNaturalist","Observations",127927763,NA,"Dakota Parish",2022-07-26 00:43:18,"CC_BY_4_0","Dakota Parish","Dakota Parish",NA,NA,2025-06-07 00:04:26.916,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4908024546,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/226784638","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.395316,-88.857946,11,NA,NA,NA,NA,NA,"2024-07-01T17:46:54",1,7,2024,2227712,2227712,"HUMAN_OBSERVATION","iNaturalist","Observations",226784638,NA,"Dakota Parish",2024-07-02 23:10:30,"CC_BY_4_0","Dakota Parish","Dakota Parish",NA,NA,2025-06-07 02:47:01.778,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
3859247323,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/8005424","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.373819,-88.707905,31,NA,NA,NA,NA,NA,"2012-12-12T12:15",12,12,2012,2227712,2227712,"HUMAN_OBSERVATION","iNaturalist","Observations",8005424,NA,"Janet Wright",2021-03-15 00:16:58,"CC_BY_NC_4_0","Janet Wright","Janet Wright",NA,NA,2025-06-07 00:56:38.824,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
1271636766,"014ffcc4-58fc-495f-890c-11eb2dcb62e2","1105819742","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","M. J. Rathbun, 1930","US","Eagle cell=7 sweep=1","Florida","PRESENT",1,"c3ad790a-d426-4ac1-8e32-da61f81f0117",25.146,-80.613166,15,NA,NA,NA,1.8,0,"2005-04-04T12:55",4,4,2005,2227712,2227712,"HUMAN_OBSERVATION","USGS","Spring05",NA,NA,NA,NA,"CC0_1_0","","USGS",NA,NA,2025-01-31 17:04:32.521,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID"
1271636500,"014ffcc4-58fc-495f-890c-11eb2dcb62e2","1105797007","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","M. J. Rathbun, 1930","US","N_Black_Pt cell=13 sweep=1","Florida","PRESENT",1,"c3ad790a-d426-4ac1-8e32-da61f81f0117",25.567716,-80.289716,15,NA,NA,NA,1.68,0,"2005-05-09T12:45",9,5,2005,2227712,2227712,"HUMAN_OBSERVATION","USGS","Spring05",NA,NA,NA,NA,"CC0_1_0","","USGS",NA,NA,2025-01-31 17:04:29.444,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID"
1271636281,"014ffcc4-58fc-495f-890c-11eb2dcb62e2","1105797681","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","M. J. Rathbun, 1930","US","N_Black_Pt cell=19 sweep=1","Florida","PRESENT",1,"c3ad790a-d426-4ac1-8e32-da61f81f0117",25.596016,-80.307366,15,NA,NA,NA,1.04,0,"2005-05-09T11:07",9,5,2005,2227712,2227712,"HUMAN_OBSERVATION","USGS","Spring05",NA,NA,NA,NA,"CC0_1_0","","USGS",NA,NA,2025-01-31 17:04:29.332,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID"
1271635971,"014ffcc4-58fc-495f-890c-11eb2dcb62e2","1105793725","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","M. J. Rathbun, 1930","US","Port_of_Miami cell=14 sweep=1","Florida","PRESENT",1,"c3ad790a-d426-4ac1-8e32-da61f81f0117",25.7549,-80.1584,15,NA,NA,NA,0.54,0,"2005-05-18T09:21",18,5,2005,2227712,2227712,"HUMAN_OBSERVATION","USGS","Spring05",NA,NA,NA,NA,"CC0_1_0","","USGS",NA,NA,2025-01-31 17:04:28.685,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID"
1271635858,"014ffcc4-58fc-495f-890c-11eb2dcb62e2","1105787058","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","M. J. Rathbun, 1930","US","Oyster cell=15 sweep=1","Florida","PRESENT",1,"c3ad790a-d426-4ac1-8e32-da61f81f0117",25.324866,-81.069683,15,NA,NA,NA,1.97,0,"2005-04-29T15:18",29,4,2005,2227712,2227712,"HUMAN_OBSERVATION","USGS","Spring05",NA,NA,NA,NA,"CC0_1_0","","USGS",NA,NA,2025-01-31 17:04:29.957,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID"
1271635832,"014ffcc4-58fc-495f-890c-11eb2dcb62e2","1105786831","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","M. J. Rathbun, 1930","US","Oyster cell=13 sweep=1","Florida","PRESENT",1,"c3ad790a-d426-4ac1-8e32-da61f81f0117",25.327,-81.076883,15,NA,NA,NA,1.59,0,"2005-04-29T14:35",29,4,2005,2227712,2227712,"HUMAN_OBSERVATION","USGS","Spring05",NA,NA,NA,NA,"CC0_1_0","","USGS",NA,NA,2025-01-31 17:04:30.939,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID"
1271635403,"014ffcc4-58fc-495f-890c-11eb2dcb62e2","1105780278","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","M. J. Rathbun, 1930","US","Lostmans cell=17 sweep=1","Florida","PRESENT",1,"c3ad790a-d426-4ac1-8e32-da61f81f0117",25.5429,-81.220266,15,NA,NA,NA,1.26,0,"2005-04-27T10:46",27,4,2005,2227712,2227712,"HUMAN_OBSERVATION","USGS","Spring05",NA,NA,NA,NA,"CC0_1_0","","USGS",NA,NA,2025-01-31 17:04:26.251,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID"
1271634867,"014ffcc4-58fc-495f-890c-11eb2dcb62e2","1105770002","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","M. J. Rathbun, 1930","US","Whipray cell=17 sweep=1","Florida","PRESENT",1,"c3ad790a-d426-4ac1-8e32-da61f81f0117",25.073233,-80.7639,15,NA,NA,NA,1.84,0,"2005-04-20T13:07",20,4,2005,2227712,2227712,"HUMAN_OBSERVATION","USGS","Spring05",NA,NA,NA,NA,"CC0_1_0","","USGS",NA,NA,2025-01-31 17:04:26.951,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID"
1271634625,"014ffcc4-58fc-495f-890c-11eb2dcb62e2","1105763490","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","M. J. Rathbun, 1930","US","Crane cell=19 sweep=1","Florida","PRESENT",1,"c3ad790a-d426-4ac1-8e32-da61f81f0117",25.00495,-80.641066,15,NA,NA,NA,2.27,0,"2005-04-05T17:08",5,4,2005,2227712,2227712,"HUMAN_OBSERVATION","USGS","Spring05",NA,NA,NA,NA,"CC0_1_0","","USGS",NA,NA,2025-01-31 17:04:29.729,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID"
1271634567,"014ffcc4-58fc-495f-890c-11eb2dcb62e2","1105760565","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Panopeus","Panopeus simpsoni",NA,"SPECIES","Panopeus simpsoni Rathbun, 1930","Panopeus simpsoni","M. J. Rathbun, 1930","US","Calusa cell=22 sweep=1","Florida","PRESENT",1,"c3ad790a-d426-4ac1-8e32-da61f81f0117",25.052016,-80.688466,15,NA,NA,NA,2.07,0,"2005-04-05T12:57",5,4,2005,2227712,2227712,"HUMAN_OBSERVATION","USGS","Spring05",NA,NA,NA,NA,"CC0_1_0","","USGS",NA,NA,2025-01-31 17:04:26.902,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;FOOTPRINT_WKT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID"
