"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5153369549,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/271957277","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus setiferus",NA,"SPECIES","Penaeus setiferus (Linnaeus, 1767)","Penaeus setiferus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.710772,-82.690829,34,NA,NA,NA,NA,NA,"2025-04-21T00:37:29",21,4,2025,2223875,2223875,"HUMAN_OBSERVATION","iNaturalist","Observations",271957277,NA,"Bichir",2025-04-27 15:03:24,"CC_BY_NC_4_0","lefua","lefua",NA,NA,2025-06-07 00:44:18.447,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5153274045,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/273067496","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus setiferus",NA,"SPECIES","Penaeus setiferus (Linnaeus, 1767)","Penaeus setiferus","","US","","Louisiana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.680937,-92.206925,8,NA,NA,NA,NA,NA,"2025-04-25T08:07:14",25,4,2025,2223875,2223875,"HUMAN_OBSERVATION","iNaturalist","Observations",273067496,NA,"Brandon Johnson",2025-04-25 13:08:15,"CC_BY_4_0","Brandon Johnson","Brandon Johnson",NA,NA,2025-06-07 00:24:17.928,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140305640,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/272744353","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus setiferus",NA,"SPECIES","Penaeus setiferus (Linnaeus, 1767)","Penaeus setiferus","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.309026,-87.588363,5311,NA,NA,NA,NA,NA,"2023-03-04T13:22",4,3,2023,2223875,2223875,"HUMAN_OBSERVATION","iNaturalist","Observations",272744353,NA,"jolietjack",2025-04-24 18:22:47,"CC_BY_NC_4_0","jolietjack","jolietjack",NA,NA,2025-06-07 02:08:49.131,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140069136,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/272024164","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus setiferus",NA,"SPECIES","Penaeus setiferus (Linnaeus, 1767)","Penaeus setiferus","","US","","Georgia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",31.021555,-81.43494,4,NA,NA,NA,NA,NA,"2025-04-19T11:36:59",19,4,2025,2223875,2223875,"HUMAN_OBSERVATION","iNaturalist","Observations",272024164,NA,"kyliert",2025-04-28 21:04:52,"CC_BY_NC_4_0","apeairs","apeairs",NA,NA,2025-06-07 01:31:29.355,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5062798512,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/239016112","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus setiferus",NA,"SPECIES","Penaeus setiferus (Linnaeus, 1767)","Penaeus setiferus","","US","","Georgia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",31.167071,-81.41487,68,NA,NA,NA,NA,NA,"2024-08-31T14:24:25",31,8,2024,2223875,2223875,"HUMAN_OBSERVATION","iNaturalist","Observations",239016112,NA,"allieclayton",2024-08-31 18:24:53,"CC_BY_NC_4_0","allieclayton","allieclayton",NA,NA,2025-06-07 00:15:52.216,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5062459828,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/51981541","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus setiferus",NA,"SPECIES","Penaeus setiferus (Linnaeus, 1767)","Penaeus setiferus","","US","","Georgia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",31.133598,-81.391773,6,NA,NA,NA,NA,NA,"2020-07-04T17:46:22",4,7,2020,2223875,2223875,"HUMAN_OBSERVATION","iNaturalist","Observations",51981541,NA,"Harrison Faulk",2020-07-05 19:45:00,"CC_BY_4_0","anguspritchard","anguspritchard",NA,NA,2025-06-07 01:24:03.092,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5008293628,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/255081863","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus setiferus",NA,"SPECIES","Penaeus setiferus (Linnaeus, 1767)","Penaeus setiferus","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.123933,-80.78738,810,NA,NA,NA,NA,NA,"2017-07-28T18:08",28,7,2017,2223875,2223875,"HUMAN_OBSERVATION","iNaturalist","Observations",255081863,NA,"ice_cube79",2024-12-14 15:38:22,"CC_BY_NC_4_0","ice_cube79","ice_cube79",NA,NA,2025-06-07 01:27:23.393,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4982011732,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/244515529","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus setiferus",NA,"SPECIES","Penaeus setiferus (Linnaeus, 1767)","Penaeus setiferus","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.619333,-75.674411,122,NA,NA,NA,NA,NA,"2024-09-28T11:44:21",28,9,2024,2223875,2223875,"HUMAN_OBSERVATION","iNaturalist","Observations",244515529,NA,"estehr",2024-10-07 16:45:15,"CC_BY_NC_4_0","Lauren","Lauren",NA,NA,2025-06-07 01:54:32.99,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4978253491,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/247350295","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus setiferus",NA,"SPECIES","Penaeus setiferus (Linnaeus, 1767)","Penaeus setiferus","","US","","Georgia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.035862,-80.90781,33,NA,NA,NA,NA,NA,"2024-10-12T16:55:38",12,10,2024,2223875,2223875,"HUMAN_OBSERVATION","iNaturalist","Observations",247350295,NA,"torihemmings",2024-10-22 01:58:16,"CC_BY_NC_4_0","matland37","matland37",NA,NA,2025-06-07 03:06:56.949,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4954777761,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/246930945","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus setiferus",NA,"SPECIES","Penaeus setiferus (Linnaeus, 1767)","Penaeus setiferus","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.411393,-80.443896,NA,NA,NA,NA,NA,NA,"2024-10-12T10:19:34",12,10,2024,2223875,2223875,"HUMAN_OBSERVATION","iNaturalist","Observations",246930945,NA,"Kent Miller",2024-10-12 14:21:00,"CC_BY_4_0","Kent Miller","Kent Miller",NA,NA,2025-06-07 00:57:52.981,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
