"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5167740507,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282111536","Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Probopyrus","Probopyrus pandalicola",NA,"SPECIES","Probopyrus pandalicola (Packard, 1879)","Probopyrus pandalicola",NA,"US",NA,"Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.392575,-88.892983,1655,NA,NA,NA,NA,NA,"2025-05-18T11:17:33",18,5,2025,2200680,2200680,"HUMAN_OBSERVATION","iNaturalist","Observations",282111536,NA,"R. Hoffman",2025-05-18 23:47:10,"CC_BY_NC_4_0","haydnf","haydnf",NA,NA,2025-06-07 01:54:33.437,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5153619415,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/278596356","Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Probopyrus","Probopyrus pandalicola",NA,"SPECIES","Probopyrus pandalicola (Packard, 1879)","Probopyrus pandalicola",NA,"US",NA,"South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.421031,-80.667661,3,NA,NA,NA,NA,NA,"2025-05-04T19:32:58",4,5,2025,2200680,2200680,"HUMAN_OBSERVATION","iNaturalist","Observations",278596356,NA,"Jude Roman",2025-05-05 00:21:11,"CC_BY_NC_4_0","Jude Roman","Jude Roman",NA,NA,2025-06-07 01:27:23.592,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140142039,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/272473033","Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Probopyrus","Probopyrus pandalicola",NA,"SPECIES","Probopyrus pandalicola (Packard, 1879)","Probopyrus pandalicola",NA,"US",NA,"South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.350492,-79.190588,90,NA,NA,NA,NA,NA,"2025-04-07T13:49:40",7,4,2025,2200680,2200680,"HUMAN_OBSERVATION","iNaturalist","Observations",272473033,NA,"mrswartz",2025-04-23 16:40:29,"CC_BY_NC_4_0","mrswartz","mrswartz",NA,NA,2025-06-07 01:45:08.998,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5134539628,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/271263539","Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Probopyrus","Probopyrus pandalicola",NA,"SPECIES","Probopyrus pandalicola (Packard, 1879)","Probopyrus pandalicola",NA,"US",NA,"Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.392178,-88.883362,6,NA,NA,NA,NA,NA,"2025-04-18T13:10:07",18,4,2025,2200680,2200680,"HUMAN_OBSERVATION","iNaturalist","Observations",271263539,NA,"R. Hoffman",2025-04-18 18:42:18,"CC_BY_NC_4_0","haydnf","haydnf",NA,NA,2025-06-07 01:15:14.971,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4982207947,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/153766721","Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Probopyrus","Probopyrus pandalicola",NA,"SPECIES","Probopyrus pandalicola (Packard, 1879)","Probopyrus pandalicola",NA,"US",NA,"North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",35.911412,-75.663857,23,NA,NA,NA,NA,NA,"2023-04-06T18:17:45",6,4,2023,2200680,2200680,"HUMAN_OBSERVATION","iNaturalist","Observations",153766721,NA,"Eric C. Maxwell",2024-09-28 19:27:35,"CC_BY_NC_4_0","hagfish","hagfish",NA,NA,2025-06-07 00:44:39.338,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4982172301,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/252046241","Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Probopyrus","Probopyrus pandalicola",NA,"SPECIES","Probopyrus pandalicola (Packard, 1879)","Probopyrus pandalicola",NA,"US",NA,"North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.373478,-75.833695,4,NA,NA,NA,NA,NA,"2024-11-17T11:50:01",17,11,2024,2200680,2200680,"HUMAN_OBSERVATION","iNaturalist","Observations",252046241,NA,"Larry Chen",2024-11-17 18:07:34,"CC_BY_NC_4_0","Larry Chen","Larry Chen",NA,NA,2025-06-07 01:01:19.392,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4982157807,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/207844603","Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Probopyrus","Probopyrus pandalicola",NA,"SPECIES","Probopyrus pandalicola (Packard, 1879)","Probopyrus pandalicola",NA,"US",NA,"South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.349945,-79.19553,61,NA,NA,NA,NA,NA,"2024-04-04T13:03:28",4,4,2024,2200680,2200680,"HUMAN_OBSERVATION","iNaturalist","Observations",207844603,NA,"phbrock98",2024-04-17 23:31:31,"CC_BY_NC_4_0","phbrock98","phbrock98",NA,NA,2025-06-07 01:38:57.061,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4982013993,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/207499757","Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Probopyrus","Probopyrus pandalicola",NA,"SPECIES","Probopyrus pandalicola (Packard, 1879)","Probopyrus pandalicola",NA,"US",NA,"South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.35019,-79.194477,23,NA,NA,NA,NA,NA,"2024-04-04T13:03:04",4,4,2024,2200680,2200680,"HUMAN_OBSERVATION","iNaturalist","Observations",207499757,NA,"mlint24",2024-04-16 00:56:15,"CC_BY_NC_4_0","mlint24","mlint24",NA,NA,2025-06-07 00:41:00.745,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4981940862,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/252085272","Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Probopyrus","Probopyrus pandalicola",NA,"SPECIES","Probopyrus pandalicola (Packard, 1879)","Probopyrus pandalicola",NA,"US",NA,"North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.373472,-75.833694,5,NA,NA,NA,NA,NA,"2024-11-17T11:52",17,11,2024,2200680,2200680,"HUMAN_OBSERVATION","iNaturalist","Observations",252085272,NA,"harrier",2024-11-17 23:12:19,"CC_BY_4_0","harrier","harrier",NA,NA,2025-06-07 01:33:49.473,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4919401941,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/232760949","Animalia","Arthropoda","Malacostraca","Isopoda","Bopyridae","Probopyrus","Probopyrus pandalicola",NA,"SPECIES","Probopyrus pandalicola (Packard, 1879)","Probopyrus pandalicola",NA,"US",NA,"South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.179205,-80.88942,4,NA,NA,NA,NA,NA,"2024-07-30T11:07:44",30,7,2024,2200680,2200680,"HUMAN_OBSERVATION","iNaturalist","Observations",232760949,NA,"Aaron Palmieri",2024-07-30 20:08:42,"CC_BY_NC_4_0","Aaron Palmieri","Aaron Palmieri",NA,NA,2025-06-07 02:48:01.861,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
