"","species","Min Latitude","Mean Latitude","Max Latitude","common_name","scientific_name","X2005","X2016","X2022","AphiaID"
"1","Achirus lineatus",4.8306,24.9943028571429,31.200488,"lined sole","Archirus lineatus",FALSE,TRUE,FALSE,279493
"2","Alpheus heterochaelis",25.08969,28.0437738181818,30.6547,"bigclaw snapping shrimp","Alpheus heterochaelis",TRUE,TRUE,TRUE,158348
"3","Anchoa mitchilli",-9.665059,33.2109160198675,41.904347,"bay anchovie","Anchoa mitchilli",TRUE,TRUE,TRUE,158699
"4","Archosargus probatocephalus",-28.532222,28.3429552824859,44.5563,"sheepshead","Archosargus probatocephalus",TRUE,TRUE,TRUE,159238
"5","Ariopsis felis",-28.15233,26.6394186231884,31.489063,"hardhead catfish","Ariopsis felis",TRUE,TRUE,TRUE,158709
"6","Armases benedicti",-1.747387,-0.8976185,-0.04785,"fatfinger marsh crab","Armases benedicti",FALSE,TRUE,FALSE,422192
"7","Armases cinereum",21.010283,31.7591594029851,39.277772,"squareback marsh crab","Armases cinereum",TRUE,TRUE,TRUE,158049
"8","Bagre marinus",-3.618554,27.4004435267857,35.241069,"gaftop catfish ","Bagre marinus",TRUE,TRUE,TRUE,158713
"9","Bairdiella chrysoura",19.41635,32.4452117666667,41.186203,"Silver Perch ","Bairdiella chrysoura",TRUE,TRUE,TRUE,159303
"10","Bathygobius soporator",-27.748337,14.0889235700935,35.770642,"Frillfin Goby","Bathygobius soporator",FALSE,FALSE,TRUE,277638
"11","Callinectes sapidus",-37.259891,22.782421244186,44.643556,"blue crab ","Callinectes sapidus",TRUE,TRUE,TRUE,107379
"12","Callinectes similis",21.136998,29.9133686607143,39.206859,"dwarf blue crab ","Callinectes similis",TRUE,TRUE,TRUE,158055
"13","Citharichthys spilopterus",-29.979692,25.7810988478261,35.362407,"bay whiff","Citharichthys spilopterus",TRUE,TRUE,FALSE,159166
"14","Clibanarius vittatus",11.91172,29.1075735882353,38.670488,"thinstripe hermit crab","Clibanarius vittatus",TRUE,TRUE,TRUE,367528
"15","Crassostrea virginica",18.788393,36.32504823,49.026838,"oyster","Crassostrea virginica",TRUE,TRUE,TRUE,140657
"16","Ctenogobius boleosoma",-20.271985,25.3398008888889,41.516573,"darter goby","Ctebogobius boleosoma",TRUE,TRUE,TRUE,159750
