"species","sti","sti_2.5","sti_97.5","sti_range","northern_lat","n_kept"
"Achirus lineatus",11.697618995394,5.00249999761581,21.9900000095367,16.9875000119209,30.92771295,42
"Alpheus heterochaelis",9.59999999133023,4.80000019073486,15.7900002002716,10.9900000095367,30.6124102,22
"Anchoa mitchilli",2.62980130462852,-5.57500004768372,13.3999996185303,18.974999666214,41.5582345,151
"Archosargus probatocephalus",7.45706219718618,-4.28000001907349,18.8200000762939,23.1000000953674,42.02195088,177
"Ariopsis felis",9.51449275362319,4.54249995946884,18.6724995613098,14.129999601841,31.29712778,138
"Armases americanum",19.4111114078098,15.4200004577637,21.2799995422363,5.85999908447266,20.89903432,9
"Armases benedicti",22.3499994277954,21.9224996089935,22.7774992465973,0.854999637603761,-0.06484537,2
"Armases cinereum",4.58582089896967,-4.06749993562698,15.0350001335144,19.1025000691414,39.25720414,134
"Avicennia germinans",16.5682432329333,5.80000019073486,22.7999992370605,16.9999990463257,30.36951956,444
"Bagre marinus",8.98125004182969,3.63250005841255,19.7949994087219,16.1624993503094,33.66892119,112
"Bairdiella chrysoura",3.71523180362207,-5.04999995231628,13.0500001907349,18.1000001430511,40.9126535,151
"Bathygobius soporator",13.0927928009549,4.30000007152557,22.7000007629395,18.4000006914139,34.4422538,111
"Callinectes sapidus",5.90058652457953,-7.2950001835823,21.3974996089935,28.6924997925758,53.17070912,682
"Callinectes similis",6.61607141473464,-1.93749997019768,15.9624998569489,17.8999998271465,38.74053875,56
"Citharichthys spilopterus",7.80217392548271,1.76250003278255,20.8250007629395,19.0625007301569,34.71695985,46
"Clibanarius vittatus",7.58366015105466,-2.17999992370605,17.8399993896484,20.0199993133545,38.2876952,153
"Crassostrea virginica",-0.408496713959703,-14.3999996185303,16.2749996185303,30.6749992370605,52.91666825,306
"Ctenogobius boleosoma",9.14444439057951,-5.2099999666214,20.2149994850159,25.4249994516373,41.34088034,27
"Ctenogobius shufeldti",6.19230775649731,-2.54999988079071,18.6500003814697,21.2000002622604,40.0803378,13
"Cynoscion arenarius",7.4564516352069,4.07249995470047,11.8850001096725,7.81250015497208,33.67851436,62
"Cynoscion nebulosus",5.91823901709333,-2.80499995946884,16.6800004005432,19.485000360012,38.58458662,159
"Cyprinodon variegatus",3.76956522867875,-6.2850001335144,16.5400004386902,22.8250005722046,41.6346305,207
"Dormitator maculatus",11.7255555046929,1.56749998927116,21.8774995326996,20.3099995434284,35.38316464,90
"Eleotris amblyopsis",13.3444445663028,1.83999997973442,21.4300005435944,19.5900005638599,35.03965805,18
"Eucinostomus argenteus",9.94090909070589,-3.39749990999699,22.2924993515015,25.6899992614984,40.05970446,44
"Eucinostomus melanopterus",15.7173333628972,0.764999979734421,22.2000007629395,21.435000783205,43.6830056800001,75
"Eurytium limosum",6.30833327770233,1.00999996960163,18.7699995517731,17.7599995821714,33.93365241,12
"Evorthodus lyricus",9.03529411203721,1.61999998092651,22.4400001525879,20.8200001716614,35.62224396,17
"Fundulus grandis",6.48921569736273,-1.98999999761581,15.1849997997284,17.1749997973442,32.6338819,102
"Fundulus jenkinsi",0.199999999254942,-0.0850000014528633,0.484999999962747,0.57000000141561,33.10405663,2
"Fundulus pulvereus",6.2999999739907,4.74999988079071,8.625,3.87500011920929,30.4471905,11
"Fundulus similis",8.08166667620341,4.8950001001358,15.8524998903275,10.9574997901917,30.6563022,60
"Fundulus xenicus",6.45862069623224,4.81000003814697,9.33000011444092,4.52000007629395,30.43521604,29
"Gobionellus oceanicus",8.88666671117147,3.07249993085861,21.7375003814697,18.6650004506111,32.80237857,30
"Gobiosoma bosc",1.22588232799488,-6.05999989509583,10.0900003433228,16.1500002384186,51.48862,85
"Lagodon rhomboides",5.44244186961374,-5.19999980926514,17.0625007629395,22.2625005722046,41.49012382,172
"Leiostomus xanthurus",1.9715189926232,-6.31500017642975,11.3075001478195,17.6225003242493,41.35961216,158
"Littoraria irrorata",3.42820513891613,-3.71000003814697,10.1100003242493,13.8200003623962,39.69603704,117
"Lucania parva",3.17894736049991,-6.23749983310699,15.650000333786,21.887500166893,41.6371635,76
"Lutjanus griseus",13.5293893224865,-4.64250009059906,22.3474994182587,26.9899995088577,41.22206114,262
"Menidia beryllina",1.78832487383772,-5.41000008583069,12.3199997901916,17.7299998760223,41.4734094,197
"Micropogonias undulatus",3.3559005996733,-4.80000019073486,15.1999998092651,20,51.8,161
"Minuca spp.",6.51999999046326,4.52249997854233,10.0550002098083,5.53250023126602,30.4744606,50
"Mugil cephalus",6.4415584541954,-5.47750002145767,19.8999996185303,25.3774996399879,48.7472480999999,770
"Mugil curema",10.5706806161017,-5.04999995231628,22.324999332428,27.3749992847443,45.8012147,191
"Myrophis punctatus",7.14285712582724,1.40250001549721,13.0624996185303,11.6599996030331,35.51737064,28
"Negaprion brevirostris",18.8142856870379,11.5550002574921,23.0350001335144,11.4799998760223,26.088784,14
"Neverita delessertiana",7.36153843311163,1.53749997615814,12.4724998950958,10.9349999189377,33.88153192,52
"Opsanus beta",9.42253523141565,4.90000009536743,17.0999999046326,12.1999998092651,30.3974551,71
