common_name,AphiaID,valid_name,doerr_name,species_code,2005_name,true_name,taxonomic_rank
sergestid shrimp,158344,Acetes americanus,,,Acetes americanus,Acetes americanus,Species
lined sole,279493,Achirus lineatus,A. lineatus,ACHLIN,,Achirus lineatus,Species
,279509,Adinia xenica,,,Adinia xenica,Fundulus xenicus,Species
bigclaw snapping shrimp,158348,Alpheus heterochaelis,A. heterochaelis,ALPHET,Alpheus heterochaelis,Alpheus heterochaelis,Species
,106978,Alpheus,Alpheus sp.,ALPSP,Alpheus sp.,Alpheus,Genus
broad stripped anchovie,158698,Anchoa hepsetus,,,Anchoa hepsetus,Anchoa hepsetus,Species
bay anchovie,158699,Anchoa mitchilli,A. mitchilli,ANCMIT,Anchoa mitchilli,Anchoa mitchilli,Species
,158697,Anchoa,,,Anchoa spp.,Anchoa,Genus
sheepshead,159238,Archosargus probatocephalus,,ARCPRO,Archosargus probatocephalus,Archosargus probatocephalus,Species
hardhead catfish,158709,Ariopsis felis,A. felis,ARIFEL,Ariopsis felis,Ariopsis felis,Species
american marsh crab,422191,Armases americanum,A. americanus,ARMAME,,Armases americanum,Species
fatfinger marsh crab,422192,Armases benedicti,A. benedicti,ARMBEN,,Armases benedicti,Species
squareback marsh crab,158049,Armases cinereum,A. cinereum,ARMCIN,Armases cinereum,Armases cinereum,Species
gaftop catfish ,158713,Bagre marinus,,BAGMAR,,Bagre marinus,Species
Silver Perch ,159303,Bairdiella chrysoura,,BAICHR,Bairdiella chrysoura,Bairdiella chrysoura,Species
Frillfin Goby,277638,Bathygobius soporator,,BATSOP,,Bathygobius soporator,Species
lucifer shrimp,883867,Belzebub faxoni,,,,Belzebub faxoni,Species
,125576,Bothidae,,,Bothidae,Bothidae,Family
Gulf Menhaden,275500,Brevoortia patronus,,BREPAT,Brevoortia patronus,Brevoortia patronus,Species
,158688,Brevoortia,,,Brevoortia spp.,Brevoortia,Genus
blue crab ,107379,Callinectes sapidus,C. sapidus,CALSAP,Callinectes sapidus,Callinectes sapidus,Species
dwarf blue crab ,158055,Callinectes similis,C. similis,CALSIM,Callinectes similis,Callinectes similis,Species
,106921,Callinectes,,,Callinectes sp.,Callinectes,Genus
,106674,Caridea,Caridean,CAR,,Caridea,Infraorder
bay whiff,159166,Citharichthys spilopterus,C. spilopterus,CITSPI,Citharichthys spilopterus,Citharichthys spilopterus,Species
thinstripe hermit crab,367528,Clibanarius vittatus,C. vittatus,CLIVIT,Clibanarius vittatus,Clibanarius vittatus,Species
,106673,Brachyura,Crab,CRA,,Brachyura,Infraorder
oyster,140657,Crassostrea virginica,,CRAVIR,,Crassostrea virginica,Species
darter goby,159750,Ctenogobius boleosoma,C. boleosoma,CTEBOL,Ctenogobius boleosoma,Ctenogobius boleosoma,Species
sand seatrout,276077,Cynoscion arenarius,C. arenarius,CYNARE,Cynoscion arenarius,Cynoscion arenarius,Species
spotted seatrout,159312,Cynoscion nebulosus,C. nebulosus,CYNNEB,Cynoscion nebulosus,Cynoscion nebulosus,Species
sheepshead minnow,159285,Cyprinodon variegatus,C. variegatus,CYPVAR,Cyprinodon variegatus,Cyprinodon variegatus,Species
,10319,Cyprinodontiformes,Cyprinodontiformes,CYPSPP,,Cyprinodontiformes,Order
,106736,Diogenidae,,,Diogenidae,Diogenidae,Family
fat sleeper,159700,Dormitator maculatus,D. maculatus,DORMAC,Dormitator maculatus,Dormitator maculatus,Species
texas mud crab,443955,Dyspanopeus texanus,,,Dyspanopeus texana,Dyspanopeus texanus,Species
large-scaled spinycheek sleeper,277793,Eleotris amblyopsis,E. amblyopsis,ELEAMB ,,Eleotris amblyopsis,Species
,157875,Elops saurus,,,Elops saurus,Elops saurus,Species
,125465,Engraulidae,Engraulidae,ENGSPP,Engraulidae,Engraulidae,Family
emerald sleeper,280710,Erotelis smaragdus,,EROSMA,Erotelis smaragdus,Erotelis smaragdus,Species
spotfin mojarra ,159732,Eucinostomus argenteus,E. argenteus,EUCARG,Eucinostomus argenteus,Eucinostomus argenteus,Species
flagfin mojarra ,276423,Eucinostomus melanopterus,E. melanopterus,EUCMEL,,Eucinostomus melanopterus,Species
,159731,Eucinostomus,Eucinostomus sp.,EUCSP,,Eucinostomus,Genus
