"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
923922449,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/753099","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Avicennia","Avicennia germinans",NA,"SPECIES","Avicennia germinans (L.) L.","Avicennia germinans","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",28.268867,-96.623367,NA,NA,NA,NA,NA,NA,"2014-06-15T15:09:13",15,6,2014,2925400,2925400,"HUMAN_OBSERVATION","iNaturalist","Observations","753099","","Lee Elliott",2014-06-25 03:58:59,"CC_BY_NC_4_0","timarcus","timarcus","","",2025-06-07 00:57:59.086,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
911491425,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/434538","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Avicennia","Avicennia germinans",NA,"SPECIES","Avicennia germinans (L.) L.","Avicennia germinans","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.76723,-97.121672,NA,NA,NA,NA,NA,NA,"2013-10-18T18:30:04",18,10,2013,2925400,2925400,"HUMAN_OBSERVATION","iNaturalist","Observations","434538","","Jason Singhurst",2013-10-20 10:35:05,"CC_BY_NC_4_0","Jason Singhurst","Jason Singhurst","","",2025-06-07 00:03:34.494,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177207069,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285832134","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Avicennia","Avicennia germinans",NA,"SPECIES","Avicennia germinans (L.) L.","Avicennia germinans","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.65824,-81.236248,20,NA,NA,NA,NA,NA,"2012-10-12T11:50",12,10,2012,2925400,2925400,"HUMAN_OBSERVATION","iNaturalist","Observations","285832134","","gizzardscout",2025-06-01 02:50:41,"CC_BY_NC_4_0","gizzardscout","gizzardscout","","",2025-06-07 00:34:45.337,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177113742,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284406622","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Avicennia","Avicennia germinans",NA,"SPECIES","Avicennia germinans (L.) L.","Avicennia germinans","","MX","","Baja California Sur","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",24.260897,-110.310362,4,NA,NA,NA,NA,NA,"2025-05-26T08:46",26,5,2025,2925400,2925400,"HUMAN_OBSERVATION","iNaturalist","Observations","284406622","","Astrid Romero González",2025-05-26 23:11:06,"CC_BY_NC_4_0","Astrid Romero González","Astrid Romero González","","",2025-06-07 03:02:34.171,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176978682,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283636677","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Avicennia","Avicennia germinans",NA,"SPECIES","Avicennia germinans (L.) L.","Avicennia germinans","","PR","","Cabo Rojo","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",17.943203,-67.192078,44,NA,NA,NA,NA,NA,"2025-05-24T10:34:44",24,5,2025,2925400,2925400,"HUMAN_OBSERVATION","iNaturalist","Observations","283636677","","Christopher Meredith",2025-05-24 14:35:56,"CC_BY_NC_4_0","Christopher Meredith","Christopher Meredith","","",2025-06-07 01:24:59.719,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176736606,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285247008","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Avicennia","Avicennia germinans",NA,"SPECIES","Avicennia germinans (L.) L.","Avicennia germinans","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",25.139558,-80.936578,5,NA,NA,NA,NA,NA,"2025-05-29T16:06:47",29,5,2025,2925400,2925400,"HUMAN_OBSERVATION","iNaturalist","Observations","285247008","","johnflora",2025-05-30 03:39:50,"CC_BY_NC_4_0","johnflora","johnflora","","",2025-06-07 02:14:46.358,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176629564,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286312306","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Avicennia","Avicennia germinans",NA,"SPECIES","Avicennia germinans (L.) L.","Avicennia germinans","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.708519,-97.336225,1,NA,NA,NA,NA,NA,"2025-06-02T10:26",2,6,2025,2925400,2925400,"HUMAN_OBSERVATION","iNaturalist","Observations","286312306","","Jon McIntyre",2025-06-02 16:42:33,"CC_BY_NC_4_0","Jon McIntyre","Jon McIntyre","","",2025-06-07 01:51:20.641,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176369819,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285134915","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Avicennia","Avicennia germinans",NA,"SPECIES","Avicennia germinans (L.) L.","Avicennia germinans","","PR","","Salinas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",17.956714,-66.21893,NA,NA,NA,NA,NA,NA,"2025-05-08T13:26:01",8,5,2025,2925400,2925400,"HUMAN_OBSERVATION","iNaturalist","Observations","285134915","","Jobos Bay NERR",2025-05-29 18:34:15,"CC_BY_NC_4_0","Jobos Bay NERR","Jobos Bay NERR","","",2025-06-07 01:42:57.758,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168457063,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283207924","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Avicennia","Avicennia germinans",NA,"SPECIES","Avicennia germinans (L.) L.","Avicennia germinans","","EC","","Guayas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-2.227398,-79.869237,59,NA,NA,NA,NA,NA,"2025-05-22T14:12:30",22,5,2025,2925400,2925400,"HUMAN_OBSERVATION","iNaturalist","Observations","283207924","","Elian Torres",2025-05-22 19:21:06,"CC_BY_NC_4_0","Elian Torres","Elian Torres","","",2025-06-07 00:28:09.915,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168428060,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284348558","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Avicennia","Avicennia germinans",NA,"SPECIES","Avicennia germinans (L.) L.","Avicennia germinans","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.924711,-82.335437,964,NA,NA,NA,NA,NA,"2025-05-23T11:26:21",23,5,2025,2925400,2925400,"HUMAN_OBSERVATION","iNaturalist","Observations","284348558","","rhondachristineharvey",2025-05-26 19:39:54,"CC_BY_NC_4_0","rhondachristineharvey","rhondachristineharvey","","",2025-06-07 01:19:34.884,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
