"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5177378453,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286337863","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Bairdiella","Bairdiella chrysoura",NA,"SPECIES","Bairdiella chrysoura (Lacepède, 1802)","Bairdiella chrysoura","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.843746,-75.970453,4,NA,NA,NA,NA,NA,"2025-06-01T12:28",1,6,2025,2400214,2400214,"HUMAN_OBSERVATION","iNaturalist","Observations","286337863",NA,"John Aufderheide",2025-06-02 18:26:11,"CC_BY_NC_4_0","John Aufderheide","John Aufderheide","",NA,2025-06-07 01:07:00.31,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177212634,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285097185","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Bairdiella","Bairdiella chrysoura",NA,"SPECIES","Bairdiella chrysoura (Lacepède, 1802)","Bairdiella chrysoura","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.866582,-75.39851,637,NA,NA,NA,NA,NA,"2025-05-29T09:47:55",29,5,2025,2400214,2400214,"HUMAN_OBSERVATION","iNaturalist","Observations","285097185",NA,"Hayden Shepley",2025-05-29 16:16:44,"CC_BY_NC_4_0","Hayden Shepley","Hayden Shepley","",NA,2025-06-07 00:56:28.886,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176417909,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284670585","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Bairdiella","Bairdiella chrysoura",NA,"SPECIES","Bairdiella chrysoura (Lacepède, 1802)","Bairdiella chrysoura","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.631928,-82.068542,20,NA,NA,NA,NA,NA,"2024-11-30T14:40",30,11,2024,2400214,2400214,"HUMAN_OBSERVATION","iNaturalist","Observations","284670585",NA,"johnevans0120",2025-05-27 22:21:53,"CC_BY_NC_4_0","johnevans0120","johnevans0120","",NA,2025-06-07 00:46:38.979,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168379178,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282403744","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Bairdiella","Bairdiella chrysoura",NA,"SPECIES","Bairdiella chrysoura (Lacepède, 1802)","Bairdiella chrysoura","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.919512,-75.41462,8,NA,NA,NA,NA,NA,"2025-05-19T10:02:47",19,5,2025,2400214,2400214,"HUMAN_OBSERVATION","iNaturalist","Observations","282403744",NA,"paul_dennehy",2025-05-19 16:21:19,"CC_BY_NC_4_0","paul_dennehy","paul_dennehy","",NA,2025-06-07 00:26:09.492,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168331052,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282408636","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Bairdiella","Bairdiella chrysoura",NA,"SPECIES","Bairdiella chrysoura (Lacepède, 1802)","Bairdiella chrysoura","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.919822,-75.4113,4,NA,NA,NA,NA,NA,"2025-05-19T10:30:47",19,5,2025,2400214,2400214,"HUMAN_OBSERVATION","iNaturalist","Observations","282408636",NA,"paul_dennehy",2025-05-19 16:40:08,"CC_BY_NC_4_0","paul_dennehy","paul_dennehy","",NA,2025-06-07 00:38:17.436,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168078656,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282608716","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Bairdiella","Bairdiella chrysoura",NA,"SPECIES","Bairdiella chrysoura (Lacepède, 1802)","Bairdiella chrysoura","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.926405,-75.411095,3,NA,NA,NA,NA,NA,"2025-05-19T15:53:52",19,5,2025,2400214,2400214,"HUMAN_OBSERVATION","iNaturalist","Observations","282608716",NA,"Rachel Pitt",2025-05-20 11:53:37,"CC_BY_NC_4_0","Rachel Pitt","Rachel Pitt","",NA,2025-06-07 00:41:36.769,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167947769,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/280904440","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Bairdiella","Bairdiella chrysoura",NA,"SPECIES","Bairdiella chrysoura (Lacepède, 1802)","Bairdiella chrysoura","","US","","Alabama","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.270213,-87.5812,104,NA,NA,NA,NA,NA,"2025-05-13T19:31:03",13,5,2025,2400214,2400214,"HUMAN_OBSERVATION","iNaturalist","Observations","280904440",NA,"Chase Egli",2025-05-14 00:34:42,"CC_BY_NC_4_0","Chase Egli","Chase Egli","",NA,2025-06-07 00:05:20,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167625778,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281349709","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Bairdiella","Bairdiella chrysoura",NA,"SPECIES","Bairdiella chrysoura (Lacepède, 1802)","Bairdiella chrysoura","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.916279,-75.406219,NA,NA,NA,NA,NA,NA,"2025-05-15T15:55:23",15,5,2025,2400214,2400214,"HUMAN_OBSERVATION","iNaturalist","Observations","281349709",NA,"Hayden Shepley",2025-05-15 21:25:24,"CC_BY_NC_4_0","Hayden Shepley","Hayden Shepley","",NA,2025-06-07 01:54:27.844,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167373399,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/280863349","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Bairdiella","Bairdiella chrysoura",NA,"SPECIES","Bairdiella chrysoura (Lacepède, 1802)","Bairdiella chrysoura","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.839312,-97.137587,NA,NA,NA,NA,NA,NA,"2025-05-13T11:54:02",13,5,2025,2400214,2400214,"HUMAN_OBSERVATION","iNaturalist","Observations","280863349",NA,"seinaanies",2025-05-13 20:50:05,"CC_BY_NC_4_0","seinaanies","seinaanies","",NA,2025-06-07 02:06:47.963,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167253161,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284130433","Animalia","Chordata",NA,"Perciformes","Sciaenidae","Bairdiella","Bairdiella chrysoura",NA,"SPECIES","Bairdiella chrysoura (Lacepède, 1802)","Bairdiella chrysoura","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.155875,-76.373062,2,NA,NA,NA,NA,NA,"2025-05-18T08:43:59",18,5,2025,2400214,2400214,"HUMAN_OBSERVATION","iNaturalist","Observations","284130433",NA,"samsteph11",2025-05-26 00:37:07,"CC_BY_NC_4_0","samsteph11","samsteph11","",NA,2025-06-07 01:40:40.115,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
