"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5176913615,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/274740457","Animalia","Chordata",NA,"Perciformes","Gobiidae","Bathygobius","Bathygobius soporator",NA,"SPECIES","Bathygobius soporator (Valenciennes, 1837)","Bathygobius soporator","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.937605,-80.134567,20,NA,NA,NA,NA,NA,"2025-04-27T11:11:20",27,4,2025,2377096,2377096,"HUMAN_OBSERVATION","iNaturalist","Observations","274740457","","Kai Murphy",2025-04-27 15:20:11,"CC_BY_NC_4_0","Kai Murphy","Kai Murphy","",NA,2025-06-07 03:17:15.908,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168359787,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281634636","Animalia","Chordata",NA,"Perciformes","Gobiidae","Bathygobius","Bathygobius soporator",NA,"SPECIES","Bathygobius soporator (Valenciennes, 1837)","Bathygobius soporator","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",28.980615,-80.891337,686,NA,NA,NA,NA,NA,"2025-05-16T11:30",16,5,2025,2377096,2377096,"HUMAN_OBSERVATION","iNaturalist","Observations","281634636","","tarablanchard",2025-05-17 00:40:51,"CC_BY_NC_4_0","tarablanchard","tarablanchard","",NA,2025-06-07 01:58:00.468,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168293420,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/134905697","Animalia","Chordata",NA,"Perciformes","Gobiidae","Bathygobius","Bathygobius soporator",NA,"SPECIES","Bathygobius soporator (Valenciennes, 1837)","Bathygobius soporator","","US","","Georgia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",31.181925,-81.483733,35,NA,NA,NA,NA,NA,"2022-09-12T22:06:03",12,9,2022,2377096,2377096,"HUMAN_OBSERVATION","iNaturalist","Observations","134905697","","Chase Carlson",2025-05-10 05:03:07,"CC_BY_NC_4_0","Izzy Hoover","Izzy Hoover","",NA,2025-06-07 01:17:11.914,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168086359,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281156948","Animalia","Chordata",NA,"Perciformes","Gobiidae","Bathygobius","Bathygobius soporator",NA,"SPECIES","Bathygobius soporator (Valenciennes, 1837)","Bathygobius soporator","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",25.871772,-81.382308,4,NA,NA,NA,NA,NA,"2025-05-04T10:47:29",4,5,2025,2377096,2377096,"HUMAN_OBSERVATION","iNaturalist","Observations","281156948","","coltonfishing",2025-05-15 01:34:46,"CC_BY_NC_4_0","coltonfishing","coltonfishing","",NA,2025-06-07 00:21:40.166,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168038402,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281003800","Animalia","Chordata",NA,"Perciformes","Gobiidae","Bathygobius","Bathygobius soporator",NA,"SPECIES","Bathygobius soporator (Valenciennes, 1837)","Bathygobius soporator","","BR","","Rio Grande do Norte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-3.839597,-32.414275,3,NA,NA,NA,NA,NA,"2025-05-14T09:40:28",14,5,2025,2377096,2377096,"HUMAN_OBSERVATION","iNaturalist","Observations","281003800","","Santiago Mailhos",2025-05-14 13:14:00,"CC_BY_NC_4_0","Santiago Mailhos","Santiago Mailhos","",NA,2025-06-07 03:17:42.285,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167911278,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281157002","Animalia","Chordata",NA,"Perciformes","Gobiidae","Bathygobius","Bathygobius soporator",NA,"SPECIES","Bathygobius soporator (Valenciennes, 1837)","Bathygobius soporator","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",25.871758,-81.38233,4,NA,NA,NA,NA,NA,"2025-05-04T10:53:16",4,5,2025,2377096,2377096,"HUMAN_OBSERVATION","iNaturalist","Observations","281157002","","coltonfishing",2025-05-15 01:35:09,"CC_BY_NC_4_0","coltonfishing","coltonfishing","",NA,2025-06-07 00:55:28.783,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167535107,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281060756","Animalia","Chordata",NA,"Perciformes","Gobiidae","Bathygobius","Bathygobius soporator",NA,"SPECIES","Bathygobius soporator (Valenciennes, 1837)","Bathygobius soporator","","BR","","Rio Grande do Norte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-3.837346,-32.399698,15,NA,NA,NA,NA,NA,"2025-05-10T08:50",10,5,2025,2377096,2377096,"HUMAN_OBSERVATION","iNaturalist","Observations","281060756","","Santiago Mailhos",2025-05-14 17:29:13,"CC_BY_NC_4_0","Santiago Mailhos","Santiago Mailhos","",NA,2025-06-07 03:01:06.294,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5166868466,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281277197","Animalia","Chordata",NA,"Perciformes","Gobiidae","Bathygobius","Bathygobius soporator",NA,"SPECIES","Bathygobius soporator (Valenciennes, 1837)","Bathygobius soporator","","BR","","Rio Grande do Norte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-3.863303,-32.41358,7,NA,NA,NA,NA,NA,"2025-05-15T12:16:53",15,5,2025,2377096,2377096,"HUMAN_OBSERVATION","iNaturalist","Observations","281277197","","Gabriel Garcia",2025-05-29 00:03:13,"CC_BY_NC_4_0","Santiago Mailhos","Santiago Mailhos","",NA,2025-06-07 00:12:58.598,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154961546,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/278927704","Animalia","Chordata",NA,"Perciformes","Gobiidae","Bathygobius","Bathygobius soporator",NA,"SPECIES","Bathygobius soporator (Valenciennes, 1837)","Bathygobius soporator","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",25.87185,-81.382492,5,NA,NA,NA,NA,NA,"2025-05-05T21:43:06",5,5,2025,2377096,2377096,"HUMAN_OBSERVATION","iNaturalist","Observations","278927704","","Zachary Lang",2025-05-06 08:27:50,"CC_BY_NC_4_0","Zachary Lang","Zachary Lang","",NA,2025-06-07 01:27:54.253,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154640492,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/258190246","Animalia","Chordata",NA,"Perciformes","Gobiidae","Bathygobius","Bathygobius soporator",NA,"SPECIES","Bathygobius soporator (Valenciennes, 1837)","Bathygobius soporator","","BR","","Espírito Santo","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",-20.636847,-40.447813,293,NA,NA,NA,NA,NA,"2025-01-11T21:32",11,1,2025,2377096,2377096,"HUMAN_OBSERVATION","iNaturalist","Observations","258190246","","izanildo",2025-01-12 00:33:28,"CC_BY_NC_4_0","izanildo","izanildo","",NA,2025-06-07 00:02:40.812,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
