"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
899964711,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/614298","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",NA,"SPECIES","Crassostrea virginica (Gmelin, 1791)","Crassostrea virginica","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.408173,-81.404175,1022,NA,NA,NA,NA,NA,"2014-04-03T14:38:25",3,4,2014,2286079,2286079,"HUMAN_OBSERVATION","iNaturalist","Observations",614298,NA,"fm5050",2014-04-09 02:05:07,"CC_BY_NC_4_0","fm5050","fm5050",NA,NA,2025-06-07 00:57:01.178,"","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
899964650,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/614204","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",NA,"SPECIES","Crassostrea virginica (Gmelin, 1791)","Crassostrea virginica","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.379193,-81.448619,546,NA,NA,NA,NA,NA,"2014-03-29T14:09:09",29,3,2014,2286079,2286079,"HUMAN_OBSERVATION","iNaturalist","Observations",614204,NA,"fm5050",2014-04-09 01:38:02,"CC_BY_NC_4_0","fm5050","fm5050",NA,NA,2025-06-07 02:30:32.149,"","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
899941401,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/339263","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",NA,"SPECIES","Crassostrea virginica (Gmelin, 1791)","Crassostrea virginica","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.934457,-75.41919,131,NA,NA,NA,NA,NA,"2013-07-05T11:21:36",5,7,2013,2286079,2286079,"HUMAN_OBSERVATION","iNaturalist","Observations",339263,NA,"botanygirl",2013-07-20 20:14:08,"CC_BY_4_0","botanygirl","botanygirl",NA,NA,2025-06-07 02:30:41.537,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
899940276,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/284684","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",NA,"SPECIES","Crassostrea virginica (Gmelin, 1791)","Crassostrea virginica","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.782543,-80.198024,1822,NA,NA,NA,NA,NA,"2013-05-18T11:27:48",18,5,2013,2286079,2286079,"HUMAN_OBSERVATION","iNaturalist","Observations",284684,NA,"fm5050",2013-06-01 19:53:09,"CC_BY_NC_4_0","fm5050","fm5050",NA,NA,2025-06-07 00:22:29.094,"","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
891046142,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/530905","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",NA,"SPECIES","Crassostrea virginica (Gmelin, 1791)","Crassostrea virginica","","US","","Delaware","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.880342,-75.269739,277,NA,NA,NA,NA,NA,"2014-01-20T14:09:21",20,1,2014,2286079,2286079,"HUMAN_OBSERVATION","iNaturalist","Observations",530905,NA,"botanygirl",2014-02-15 01:48:47,"CC_BY_4_0","botanygirl","botanygirl",NA,NA,2025-06-07 01:11:12.228,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
891036129,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/507876","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",NA,"SPECIES","Crassostrea virginica (Gmelin, 1791)","Crassostrea virginica","","US","","Delaware","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.137117,-75.409684,NA,NA,NA,NA,NA,NA,"2014-01-20T08:28:52",20,1,2014,2286079,2286079,"HUMAN_OBSERVATION","iNaturalist","Observations",507876,NA,"botanygirl",2014-01-23 02:01:38,"CC_BY_4_0","botanygirl","botanygirl",NA,NA,2025-06-07 00:57:56.3,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177371303,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286362465","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",NA,"SPECIES","Crassostrea virginica (Gmelin, 1791)","Crassostrea virginica","","US","","Massachusetts","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.037458,-70.198281,9,NA,NA,NA,NA,NA,"2025-06-02T10:54",2,6,2025,2286079,2286079,"HUMAN_OBSERVATION","iNaturalist","Observations",286362465,NA,"Claire O'Neill",2025-06-02 20:06:56,"CC_BY_NC_4_0","Claire O'Neill","Claire O'Neill",NA,NA,2025-06-07 00:27:20.08,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177321956,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286427581","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",NA,"SPECIES","Crassostrea virginica (Gmelin, 1791)","Crassostrea virginica","","US","","Massachusetts","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.65992,-70.106164,59,NA,NA,NA,NA,NA,"2025-06-02T16:16:03",2,6,2025,2286079,2286079,"HUMAN_OBSERVATION","iNaturalist","Observations",286427581,NA,"amr_mn",2025-06-03 02:02:04,"CC_BY_4_0","Benny Albro","Benny Albro",NA,NA,2025-06-07 01:03:05.718,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177321076,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286037950","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",NA,"SPECIES","Crassostrea virginica (Gmelin, 1791)","Crassostrea virginica","","US","","Virginia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.865028,-75.44458,4,NA,NA,NA,NA,NA,"2025-06-01T10:23:58",1,6,2025,2286079,2286079,"HUMAN_OBSERVATION","iNaturalist","Observations",286037950,NA,"Rachel Pitt",2025-06-01 18:35:50,"CC_BY_NC_4_0","Rachel Pitt","Rachel Pitt",NA,NA,2025-06-07 03:18:16.148,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177268154,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286145076","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica",NA,"SPECIES","Crassostrea virginica (Gmelin, 1791)","Crassostrea virginica","","US","","North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.178903,-75.748508,NA,NA,NA,NA,NA,NA,"2025-06-01T18:53:05",1,6,2025,2286079,2286079,"HUMAN_OBSERVATION","iNaturalist","Observations",286145076,NA,"Conway Hawn",2025-06-02 00:49:46,"CC_BY_4_0","Conway Hawn","Conway Hawn",NA,NA,2025-06-07 00:42:31.641,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
