"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5176896486,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/241019711","Animalia","Chordata",NA,"Mugiliformes","Mugilidae","Mugil","Mugil curema",NA,"SPECIES","Mugil curema Valenciennes, 1836","Mugil curema","","US","","North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.887172,-78.433312,3,NA,NA,NA,NA,NA,"2024-09-10T19:00:08",10,9,2024,2400641,2400641,"HUMAN_OBSERVATION","iNaturalist","Observations","241019711","","",NA,"CC_BY_4_0","Matthew","Matthew","",NA,2025-06-07 01:28:21.605,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176558425,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/249585436","Animalia","Chordata",NA,"Mugiliformes","Mugilidae","Mugil","Mugil curema",NA,"SPECIES","Mugil curema Valenciennes, 1836","Mugil curema","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.389979,-86.508339,25,NA,NA,NA,NA,NA,"2024-10-27T10:03",27,10,2024,2400641,2400641,"HUMAN_OBSERVATION","iNaturalist","Observations","249585436","","rlechleitner",2024-10-29 03:08:22,"CC_BY_NC_4_0","rlechleitner","rlechleitner","",NA,2025-06-07 02:51:34.144,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168344655,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282486256","Animalia","Chordata",NA,"Mugiliformes","Mugilidae","Mugil","Mugil curema",NA,"SPECIES","Mugil curema Valenciennes, 1836","Mugil curema","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",24.646788,-81.565462,3,NA,NA,NA,NA,NA,"2025-05-19T12:48:23",19,5,2025,2400641,2400641,"HUMAN_OBSERVATION","iNaturalist","Observations","282486256","","ashliepoland",2025-05-19 21:52:08,"CC_BY_NC_4_0","ashliepoland","ashliepoland","",NA,2025-06-07 00:51:05.497,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168099520,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/187897550","Animalia","Chordata",NA,"Mugiliformes","Mugilidae","Mugil","Mugil curema",NA,"SPECIES","Mugil curema Valenciennes, 1836","Mugil curema","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",25.8269,-80.179375,2,NA,NA,NA,NA,NA,"2023-10-16T13:02",16,10,2023,2400641,2400641,"HUMAN_OBSERVATION","iNaturalist","Observations","187897550","","Oliver g jones",2023-10-17 13:34:51,"CC_BY_NC_4_0","Oliver g jones","Oliver g jones","",NA,2025-06-07 00:26:43.229,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168054749,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282466446","Animalia","Chordata",NA,"Mugiliformes","Mugilidae","Mugil","Mugil curema",NA,"SPECIES","Mugil curema Valenciennes, 1836","Mugil curema","","CW","","","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",12.066267,-68.860539,130,NA,NA,NA,NA,NA,"2025-05-01T10:07",1,5,2025,2400641,2400641,"HUMAN_OBSERVATION","iNaturalist","Observations","282466446","","keesgroenendijk",2025-05-19 20:26:51,"CC_BY_4_0","keesgroenendijk","keesgroenendijk","",NA,2025-06-07 00:42:38.035,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168025270,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282952971","Animalia","Chordata",NA,"Mugiliformes","Mugilidae","Mugil","Mugil curema",NA,"SPECIES","Mugil curema Valenciennes, 1836","Mugil curema","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.179205,-80.889428,2,NA,NA,NA,NA,NA,"2025-05-21T10:17:23",21,5,2025,2400641,2400641,"HUMAN_OBSERVATION","iNaturalist","Observations","282952971","","Jude Roman",2025-05-21 19:53:04,"CC_BY_NC_4_0","Aaron Palmieri","Aaron Palmieri","",NA,2025-06-07 01:08:09.973,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168006090,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283423975","Animalia","Chordata",NA,"Mugiliformes","Mugilidae","Mugil","Mugil curema",NA,"SPECIES","Mugil curema Valenciennes, 1836","Mugil curema","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.643166,-97.249593,35,NA,NA,NA,NA,NA,"2025-05-23T11:26:56",23,5,2025,2400641,2400641,"HUMAN_OBSERVATION","iNaturalist","Observations","283423975","","Jon McIntyre",2025-05-23 17:39:39,"CC_BY_NC_4_0","Jon McIntyre","Jon McIntyre","",NA,2025-06-07 00:42:43.334,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167063270,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283732540","Animalia","Chordata",NA,"Mugiliformes","Mugilidae","Mugil","Mugil curema",NA,"SPECIES","Mugil curema Valenciennes, 1836","Mugil curema","","PR","","Vieques","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",18.093704,-65.471367,41,NA,NA,NA,NA,NA,"2025-05-24T19:09:10",24,5,2025,2400641,2400641,"HUMAN_OBSERVATION","iNaturalist","Observations","283732540","","williamgarrettmd",2025-05-24 19:54:44,"CC_BY_NC_4_0","williamgarrettmd","williamgarrettmd","",NA,2025-06-07 02:58:17.084,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5166848966,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/281851251","Animalia","Chordata",NA,"Mugiliformes","Mugilidae","Mugil","Mugil curema",NA,"SPECIES","Mugil curema Valenciennes, 1836","Mugil curema","","US","","Mississippi","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.391717,-88.883247,5,NA,NA,NA,NA,NA,"2025-05-17T13:37:37",17,5,2025,2400641,2400641,"HUMAN_OBSERVATION","iNaturalist","Observations","281851251","","zachs",2025-05-17 23:42:33,"CC_BY_NC_4_0","haydnf","haydnf","",NA,2025-06-07 01:35:40.816,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154243795,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/246542158","Animalia","Chordata",NA,"Mugiliformes","Mugilidae","Mugil","Mugil curema",NA,"SPECIES","Mugil curema Valenciennes, 1836","Mugil curema","","MX","","Sinaloa","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",23.199045,-106.406417,253,NA,NA,NA,NA,NA,"2024-09-07T08:41:24",7,9,2024,2400641,2400641,"HUMAN_OBSERVATION","iNaturalist","Observations","246542158","","Isa Ramirez 🐌🐚",2024-10-09 22:32:14,"CC_BY_NC_4_0","Isa Ramirez 🐌🐚","Isa Ramirez 🐌🐚","",NA,2025-06-07 03:06:37.616,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
