"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
899977402,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/649561","Animalia","Chordata",NA,"Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",NA,"SPECIES","Myrophis punctatus Lütken, 1852","Myrophis punctatus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.473522,-97.309256,267,NA,NA,NA,NA,NA,"2014-04-26",26,4,2014,2404576,2404576,"HUMAN_OBSERVATION","iNaturalist","Observations","649561",NA,"F. Douglas Martin",2014-04-30 18:09:36,"CC_BY_NC_4_0","Robby Deans","Robby Deans",NA,NA,2025-06-07 02:30:24.629,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
857008513,"66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","diveboard:35905_207928_0","Animalia","Chordata",NA,"Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",NA,"SPECIES","Myrophis punctatus Lütken, 1852","Myrophis punctatus Lütken, 1852","","MX","Punta Dalila","","PRESENT",NA,"1989b627-2a61-44db-83e4-392efc5da0a9",20.5156,-86.9587,100,NA,0,0,9.145,9.145,"2013-01-04T15:36Z",4,1,2013,2404576,2404576,"HUMAN_OBSERVATION","Diveboard","Diveboard","diveboard:35905_207928_0",NA,"George",2013-01-04,"CC_BY_NC_4_0","Diveboard","George",NA,NA,2025-01-31 21:31:23.456,"","COORDINATE_REPROJECTION_SUSPICIOUS;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5177031382,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286566262","Animalia","Chordata",NA,"Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",NA,"SPECIES","Myrophis punctatus Lütken, 1852","Myrophis punctatus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",28.85467,-96.028917,5,NA,NA,NA,NA,NA,"2025-06-03T10:39:44",3,6,2025,2404576,2404576,"HUMAN_OBSERVATION","iNaturalist","Observations","286566262",NA,"rivercritter",2025-06-03 15:53:47,"CC_BY_NC_4_0","rivercritter","rivercritter",NA,NA,2025-06-07 00:53:50.211,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5069948613,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/261771766","Animalia","Chordata",NA,"Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",NA,"SPECIES","Myrophis punctatus Lütken, 1852","Myrophis punctatus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.20144,-97.300654,3,NA,NA,NA,NA,NA,"2011-03-13T20:26",13,3,2011,2404576,2404576,"HUMAN_OBSERVATION","iNaturalist","Observations","261771766",NA,"Richard Kazmaier",2025-02-15 21:59:18,"CC_BY_NC_4_0","Richard Kazmaier","Richard Kazmaier",NA,NA,2025-06-07 00:24:09.667,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5063531032,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/259912884","Animalia","Chordata",NA,"Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",NA,"SPECIES","Myrophis punctatus Lütken, 1852","Myrophis punctatus","","US","","North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",35.796704,-75.548727,2,NA,NA,NA,NA,NA,"2024-11-24T20:05",24,11,2024,2404576,2404576,"HUMAN_OBSERVATION","iNaturalist","Observations","259912884",NA,"Amiel Hopkins",2025-01-29 00:07:34,"CC_BY_NC_4_0","Amiel Hopkins","Amiel Hopkins",NA,NA,2025-06-07 02:15:45.497,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4973784407,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/11996791","Animalia","Chordata",NA,"Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",NA,"SPECIES","Myrophis punctatus Lütken, 1852","Myrophis punctatus","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.757958,-80.41552,32,NA,NA,NA,NA,NA,"2018-05-01T11:33:22",1,5,2018,2404576,2404576,"HUMAN_OBSERVATION","iNaturalist","Observations","11996791",NA,"Ben Cantrell",2021-01-30 17:15:24,"CC0_1_0","Stunsal","Stunsal",NA,NA,2025-06-06 23:48:20.374,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4910731785,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/230351015","Animalia","Chordata",NA,"Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",NA,"SPECIES","Myrophis punctatus Lütken, 1852","Myrophis punctatus","","US","","South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.550317,-80.816628,4,NA,NA,NA,NA,NA,"2024-07-19T15:11:35",19,7,2024,2404576,2404576,"HUMAN_OBSERVATION","iNaturalist","Observations","230351015",NA,"Spencer Lott",2024-07-19 20:52:56,"CC_BY_NC_4_0","tobrien13","tobrien13",NA,NA,2025-06-07 03:06:25.059,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4855867423,"157ed25f-beb2-4ceb-aebc-98f66fa5ed0d","BR_TOTALENERGIES_EBS_Margem_Equatorial_Blocos CE-M-661_CE-M-715_CE-M-717_CE-M-665_Bacia do Ceara_Ictioplancton_Estacao  9_rede_500_2015:2","Animalia","Chordata",NA,"Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",NA,"SPECIES","Myrophis punctatus Lütken, 1852","Myrophis punctatus","Lütken, 1851","BR","Bacia do Ceará","Ceará","PRESENT",NA,"728e3362-3063-4a43-a6cf-71d61b50025b",-2.998422,-38.715417,NA,NA,NA,NA,NA,NA,"2015-01-20",20,1,2015,2404576,2404576,"HUMAN_OBSERVATION","TEEPBR","","",NA,"Sergio Bonecker",NA,"CC_BY_NC_4_0","TotalEnergies EP Brasil","Paula Castellões",NA,NA,2025-01-31 17:56:09.354,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_COORDINATE_MISMATCH"
4854994230,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/212449214","Animalia","Chordata",NA,"Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",NA,"SPECIES","Myrophis punctatus Lütken, 1852","Myrophis punctatus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.066031,-95.131186,200,NA,NA,NA,NA,NA,"2024-04-30T13:36:31",30,4,2024,2404576,2404576,"HUMAN_OBSERVATION","iNaturalist","Observations","212449214",NA,"Max Bernt",2024-05-04 18:34:22,"CC_BY_NC_4_0","Amanda Gabehart","Amanda Gabehart",NA,NA,2025-06-07 01:55:53.498,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4851815667,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/208848338","Animalia","Chordata",NA,"Anguilliformes","Ophichthidae","Myrophis","Myrophis punctatus",NA,"SPECIES","Myrophis punctatus Lütken, 1852","Myrophis punctatus","","US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.592408,-95.079512,NA,NA,NA,NA,NA,NA,"2023-07-28T11:01",28,7,2023,2404576,2404576,"HUMAN_OBSERVATION","iNaturalist","Observations","208848338",NA,"Stacy Holcomb",2024-04-23 05:22:49,"CC_BY_NC_4_0","Stacy Holcomb","Stacy Holcomb",NA,NA,2025-06-07 02:58:50.493,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
