"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5176670550,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/285350764","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita delessertiana",NA,"SPECIES","Neverita delessertiana (Récluz, 1843)","Neverita delessertiana",NA,"US",NA,"Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.337576,-87.10375,113,NA,NA,NA,NA,NA,"2025-05-30T10:02:24",30,5,2025,5856079,5856079,"HUMAN_OBSERVATION","iNaturalist","Observations",285350764,NA,"Jacob Weston",2025-05-30 15:15:57,"CC_BY_NC_4_0","Olivia Moore","Olivia Moore",NA,NA,2025-06-07 02:10:47.28,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168485810,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/284284076","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita delessertiana",NA,"SPECIES","Neverita delessertiana (Récluz, 1843)","Neverita delessertiana",NA,"US",NA,"Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.136383,-85.720245,9,NA,NA,NA,NA,NA,"2025-05-24T18:50:44",24,5,2025,5856079,5856079,"HUMAN_OBSERVATION","iNaturalist","Observations",284284076,NA,"Anthony J. Mills",2025-05-26 15:55:41,"CC_BY_NC_4_0","Anthony J. Mills","Anthony J. Mills",NA,NA,2025-06-07 00:42:35.546,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168440803,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282812317","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita delessertiana",NA,"SPECIES","Neverita delessertiana (Récluz, 1843)","Neverita delessertiana",NA,"US",NA,"Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.213075,-94.953392,5,NA,NA,NA,NA,NA,"2025-05-20T19:49:37",20,5,2025,5856079,5856079,"HUMAN_OBSERVATION","iNaturalist","Observations",282812317,NA,"Larry Thornton",2025-05-21 04:44:23,"CC_BY_NC_4_0","Larry Thornton","Larry Thornton",NA,NA,2025-06-07 00:26:14.622,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140051263,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/272483174","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita delessertiana",NA,"SPECIES","Neverita delessertiana (Récluz, 1843)","Neverita delessertiana",NA,"US",NA,"South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.33347,-79.165513,691,NA,NA,NA,NA,NA,"2025-04-05T15:26:18",5,4,2025,5856079,5856079,"HUMAN_OBSERVATION","iNaturalist","Observations",272483174,NA,"esmer11",2025-04-23 17:24:36,"CC_BY_NC_4_0","esmer11","esmer11",NA,NA,2025-06-07 00:21:20.652,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5104314204,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/263310619","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita delessertiana",NA,"SPECIES","Neverita delessertiana (Récluz, 1843)","Neverita delessertiana",NA,"US",NA,"Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.307094,-87.386685,13,NA,NA,NA,NA,NA,"2025-02-09T18:22:07",9,2,2025,5856079,5856079,"HUMAN_OBSERVATION","iNaturalist","Observations",263310619,NA,"Jacob Weston",2025-02-27 23:24:08,"CC_BY_NC_4_0","Jonathan Gilmer","Jonathan Gilmer",NA,NA,2025-06-07 00:44:17.596,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5088053300,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/265842691","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita delessertiana",NA,"SPECIES","Neverita delessertiana (Récluz, 1843)","Neverita delessertiana",NA,"US",NA,"Louisiana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.255453,-89.951967,6,NA,NA,NA,NA,NA,"2025-03-18T10:17:17",18,3,2025,5856079,5856079,"HUMAN_OBSERVATION","iNaturalist","Observations",265842691,NA,"Jacob Riggs",2025-03-18 16:36:48,"CC_BY_NC_4_0","Jacob Riggs","Jacob Riggs",NA,NA,2025-06-07 00:46:24.737,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5088002391,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/265485774","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita delessertiana",NA,"SPECIES","Neverita delessertiana (Récluz, 1843)","Neverita delessertiana",NA,"US",NA,"South Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",33.514562,-79.060929,568,NA,NA,NA,NA,NA,"2025-03-12",12,3,2025,5856079,5856079,"HUMAN_OBSERVATION","iNaturalist","Observations",265485774,NA,"Steven Joyner",2025-03-16 01:04:33,"CC_BY_4_0","Steven Joyner","Steven Joyner",NA,NA,2025-06-07 00:41:28.569,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5087606787,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/264146308","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita delessertiana",NA,"SPECIES","Neverita delessertiana (Récluz, 1843)","Neverita delessertiana",NA,"US",NA,"Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",30.225178,-85.895305,30,NA,NA,NA,NA,NA,"2025-03-06T17:29:49",6,3,2025,5856079,5856079,"HUMAN_OBSERVATION","iNaturalist","Observations",264146308,NA,"Mark Greene",2025-03-06 23:30:24,"CC_BY_NC_4_0","Mark Greene","Mark Greene",NA,NA,2025-06-07 01:24:17.692,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5064006974,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/261200632","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita delessertiana",NA,"SPECIES","Neverita delessertiana (Récluz, 1843)","Neverita delessertiana",NA,"US",NA,"Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.669757,-94.068851,1975,NA,NA,NA,NA,NA,"2024-11-23T09:00",23,11,2024,5856079,5856079,"HUMAN_OBSERVATION","iNaturalist","Observations",261200632,NA,"Peter Jessen",2025-02-10 02:06:09,"CC_BY_NC_4_0","Peter Jessen","Peter Jessen",NA,NA,2025-06-07 01:09:36.003,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5063506218,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/259899623","Animalia","Mollusca","Gastropoda","Littorinimorpha","Naticidae","Neverita","Neverita delessertiana",NA,"SPECIES","Neverita delessertiana (Récluz, 1843)","Neverita delessertiana",NA,"US",NA,"Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",25.861372,-81.38475,4,NA,NA,NA,NA,NA,"2025-01-28T16:14:12",28,1,2025,5856079,5856079,"HUMAN_OBSERVATION","iNaturalist","Observations",259899623,NA,"festuca59",2025-01-28 21:25:33,"CC_BY_NC_4_0","festuca59","festuca59",NA,NA,2025-06-07 00:19:19.541,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
