"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5177175955,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286473362","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus armatus",NA,"SPECIES","Pagurus armatus (Dana, 1851)","Pagurus armatus","","US","","Alaska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",56.924791,-135.375938,215,NA,NA,NA,NA,NA,"2025-06-02T12:20",2,6,2025,2224232,2224232,"HUMAN_OBSERVATION","iNaturalist","Observations",286473362,NA,"Eiji Myorin",2025-06-03 06:02:40,"CC_BY_NC_4_0","Paul Norwood","Paul Norwood",NA,NA,2025-06-07 00:43:13.314,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5176725278,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/286338000","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus armatus",NA,"SPECIES","Pagurus armatus (Dana, 1851)","Pagurus armatus","","US","","Alaska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",56.998178,-135.323221,61,NA,NA,NA,NA,NA,"2025-05-31T18:16",31,5,2025,2224232,2224232,"HUMAN_OBSERVATION","iNaturalist","Observations",286338000,NA,"Paul Norwood",2025-06-02 18:26:52,"CC_BY_NC_4_0","Paul Norwood","Paul Norwood",NA,NA,2025-06-07 00:13:22.587,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167925796,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283542069","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus armatus",NA,"SPECIES","Pagurus armatus (Dana, 1851)","Pagurus armatus","","US","","Oregon","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.884564,-123.966339,14,NA,NA,NA,NA,NA,"2025-05-22T13:46",22,5,2025,2224232,2224232,"HUMAN_OBSERVATION","iNaturalist","Observations",283542069,NA,"austiinfrankliin",2025-05-24 04:19:29,"CC_BY_NC_4_0","austiinfrankliin","austiinfrankliin",NA,NA,2025-06-07 00:41:55.34,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167919669,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/214079072","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus armatus",NA,"SPECIES","Pagurus armatus (Dana, 1851)","Pagurus armatus","","CA","","British Columbia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",50.044164,-125.167482,8,NA,NA,NA,NA,NA,"2024-05-03T15:13",3,5,2024,2224232,2224232,"HUMAN_OBSERVATION","iNaturalist","Observations",214079072,NA,"Eiji Myorin",2025-02-08 16:16:57,"CC_BY_NC_4_0","ondinepontier","ondinepontier",NA,NA,2025-06-07 02:07:40.189,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154842215,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/277201995","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus armatus",NA,"SPECIES","Pagurus armatus (Dana, 1851)","Pagurus armatus","","US","","Washington","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.258312,-122.867113,4,NA,NA,NA,NA,NA,"2025-04-30T14:09:11",30,4,2025,2224232,2224232,"HUMAN_OBSERVATION","iNaturalist","Observations",277201995,NA,"mylodon",2025-05-01 00:28:46,"CC_BY_NC_4_0","mylodon","mylodon",NA,NA,2025-06-07 01:06:55.694,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154213795,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/257572142","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus armatus",NA,"SPECIES","Pagurus armatus (Dana, 1851)","Pagurus armatus","","US","","Washington","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.571919,-122.414331,104,NA,NA,NA,NA,NA,"2025-01-04T13:10",4,1,2025,2224232,2224232,"HUMAN_OBSERVATION","iNaturalist","Observations",257572142,NA,"Linden Wright",2025-01-06 09:43:58,"CC_BY_4_0","Linden Wright","Linden Wright",NA,NA,2025-06-07 02:16:30.31,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5153291255,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/277961387","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus armatus",NA,"SPECIES","Pagurus armatus (Dana, 1851)","Pagurus armatus","","US","","Washington","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.599002,-122.496785,100,NA,NA,NA,NA,NA,"2025-05-02T13:53",2,5,2025,2224232,2224232,"HUMAN_OBSERVATION","iNaturalist","Observations",277961387,NA,"Josh Houston",2025-05-03 06:56:57,"CC_BY_NC_4_0","Josh Houston","Josh Houston",NA,NA,2025-06-07 01:52:49.788,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5153218406,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/277575084","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus armatus",NA,"SPECIES","Pagurus armatus (Dana, 1851)","Pagurus armatus","","US","","Alaska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",57.052547,-135.3517,940,NA,NA,NA,NA,NA,"2025-05-01T16:09:19",1,5,2025,2224232,2224232,"HUMAN_OBSERVATION","iNaturalist","Observations",277575084,NA,"spinylumpsucker",2025-05-02 01:35:13,"CC_BY_NC_4_0","spinylumpsucker","spinylumpsucker",NA,NA,2025-06-07 01:39:04.655,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5134262803,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/271586069","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus armatus",NA,"SPECIES","Pagurus armatus (Dana, 1851)","Pagurus armatus","","US","","Washington","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.6077,-122.343345,37,NA,NA,NA,NA,NA,"2025-02-01T12:05:57",1,2,2025,2224232,2224232,"HUMAN_OBSERVATION","iNaturalist","Observations",271586069,NA,"luzgabriela7_03",2025-04-20 00:28:50,"CC_BY_NC_4_0","luzgabriela7_03","luzgabriela7_03",NA,NA,2025-06-07 00:22:05.202,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5134182137,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/271344756","Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus armatus",NA,"SPECIES","Pagurus armatus (Dana, 1851)","Pagurus armatus","","CA","","British Columbia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",48.858573,-125.160528,19,NA,NA,NA,NA,NA,"2025-04-18T14:23",18,4,2025,2224232,2224232,"HUMAN_OBSERVATION","iNaturalist","Observations",271344756,NA,"Em Lim",2025-04-19 01:34:52,"CC0_1_0","Em Lim","Em Lim",NA,NA,2025-06-07 02:04:56.889,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
