"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5168497444,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283276034","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Phrontis","Phrontis vibex",NA,"SPECIES","Phrontis vibex (Say, 1822)","Phrontis vibex","","US","","North Carolina","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",34.05089,-77.918905,NA,NA,NA,NA,NA,NA,"2025-05-16T05:25",16,5,2025,8652815,8652815,"HUMAN_OBSERVATION","iNaturalist","Observations","283276034",NA,"Cricket Raspet",2025-05-23 01:27:32,"CC_BY_4_0","Cricket Raspet","Cricket Raspet",NA,NA,2025-06-07 03:14:53.816,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5168067209,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/278394060","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Phrontis","Phrontis vibex",NA,"SPECIES","Phrontis vibex (Say, 1822)","Phrontis vibex","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.544787,-80.042953,4,NA,NA,NA,NA,NA,"2025-04-28T16:24:30",28,4,2025,8652815,8652815,"HUMAN_OBSERVATION","iNaturalist","Observations","278394060",NA,"James K. Wetterer",2025-05-04 13:54:51,"CC_BY_NC_4_0","James K. Wetterer","James K. Wetterer",NA,NA,2025-06-07 00:55:13.866,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167932807,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/282938597","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Phrontis","Phrontis vibex",NA,"SPECIES","Phrontis vibex (Say, 1822)","Phrontis vibex","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.783095,-80.043197,27,NA,NA,NA,NA,NA,"2025-05-21T11:05:48",21,5,2025,8652815,8652815,"HUMAN_OBSERVATION","iNaturalist","Observations","282938597",NA,"Jacob Weston",2025-05-21 17:50:01,"CC_BY_NC_4_0","Jacob Weston","Jacob Weston",NA,NA,2025-06-07 02:01:07.567,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5167179981,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/283295087","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Phrontis","Phrontis vibex",NA,"SPECIES","Phrontis vibex (Say, 1822)","Phrontis vibex","","US","","Georgia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",32.02822,-80.847052,174,NA,NA,NA,NA,NA,"2025-05-22T22:53:02",22,5,2025,8652815,8652815,"HUMAN_OBSERVATION","iNaturalist","Observations","283295087",NA,"Chase Egli",2025-05-23 03:42:41,"CC_BY_NC_4_0","Chase Egli","Chase Egli",NA,NA,2025-06-07 00:56:01.577,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154888427,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/279831051","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Phrontis","Phrontis vibex",NA,"SPECIES","Phrontis vibex (Say, 1822)","Phrontis vibex","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.861061,-80.450264,NA,NA,NA,NA,NA,NA,"2025-05-09T11:17:20",9,5,2025,8652815,8652815,"HUMAN_OBSERVATION","iNaturalist","Observations","279831051",NA,"Daniel Estabrooks",2025-05-10 00:33:26,"CC0_1_0","Daniel Estabrooks","Daniel Estabrooks",NA,NA,2025-06-07 02:01:18.153,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154354034,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/274956596","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Phrontis","Phrontis vibex",NA,"SPECIES","Phrontis vibex (Say, 1822)","Phrontis vibex","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.783618,-82.623636,27,NA,NA,NA,NA,NA,"2025-03-28T15:28",28,3,2025,8652815,8652815,"HUMAN_OBSERVATION","iNaturalist","Observations","274956596",NA,"Squidpastry",2025-04-27 19:30:43,"CC_BY_NC_4_0","Squidpastry","Squidpastry",NA,NA,2025-06-07 02:08:57.239,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5154191347,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/278572980","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Phrontis","Phrontis vibex",NA,"SPECIES","Phrontis vibex (Say, 1822)","Phrontis vibex","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.638165,-80.037137,87,NA,NA,NA,NA,NA,"2025-04-26T17:06",26,4,2025,8652815,8652815,"HUMAN_OBSERVATION","iNaturalist","Observations","278572980",NA,"Sarah Wetterer",2025-05-05 01:48:15,"CC_BY_NC_4_0","kaylanfernan2021","kaylanfernan2021",NA,NA,2025-06-07 01:10:26.382,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140910909,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/274956591","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Phrontis","Phrontis vibex",NA,"SPECIES","Phrontis vibex (Say, 1822)","Phrontis vibex","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.783503,-82.623693,44,NA,NA,NA,NA,NA,"2025-03-28T15:27",28,3,2025,8652815,8652815,"HUMAN_OBSERVATION","iNaturalist","Observations","274956591",NA,"Squidpastry",2025-04-27 19:30:43,"CC_BY_NC_4_0","Squidpastry","Squidpastry",NA,NA,2025-06-07 00:03:23.854,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140636072,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/275002263","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Phrontis","Phrontis vibex",NA,"SPECIES","Phrontis vibex (Say, 1822)","Phrontis vibex","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.962763,-80.07778,3,NA,NA,NA,NA,NA,"2025-04-27T15:52:04",27,4,2025,8652815,8652815,"HUMAN_OBSERVATION","iNaturalist","Observations","275002263",NA,"Ashley Castresana",2025-04-27 20:21:12,"CC_BY_NC_4_0","Ashley Castresana","Ashley Castresana",NA,NA,2025-06-07 02:13:58.408,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140006711,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/269292704","Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Phrontis","Phrontis vibex",NA,"SPECIES","Phrontis vibex (Say, 1822)","Phrontis vibex","","US","","Florida","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",26.379775,-81.871428,NA,NA,NA,NA,NA,NA,"2025-04-06T13:23:13",6,4,2025,8652815,8652815,"HUMAN_OBSERVATION","iNaturalist","Observations","269292704",NA,"Cindy O'Leary",2025-04-27 14:13:29,"CC_BY_NC_4_0","mdm033","mdm033",NA,NA,2025-06-07 00:05:39.704,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
