"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5151357561,"17bc0aaa-969b-4cee-b2f0-b984f7c1da56","ZIP-RNE-BSN-FLORE-2024-ST20-sa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",NA,"SPECIES","Spartina alterniflora Loisel.","Spartina alterniflora","","CA","","","PRESENT",NA,"9f846c4e-5cdd-40e7-8208-8f7ceac8d8f1",49.315746,-67.791517,NA,NA,NA,NA,NA,NA,"2024-07-10",10,7,2024,5290035,9394776,"HUMAN_OBSERVATION","","","",NA,"",NA,"CC_BY_4_0","","",NA,NA,2025-05-23 19:13:35.632,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
5151357545,"17bc0aaa-969b-4cee-b2f0-b984f7c1da56","ZIP-RNE-BSN-FLORE-2024-ST31-sa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",NA,"SPECIES","Spartina alterniflora Loisel.","Spartina alterniflora","","CA","","","PRESENT",NA,"9f846c4e-5cdd-40e7-8208-8f7ceac8d8f1",49.31744,-67.791258,NA,NA,NA,NA,NA,NA,"2024-07-10",10,7,2024,5290035,9394776,"HUMAN_OBSERVATION","","","",NA,"",NA,"CC_BY_4_0","","",NA,NA,2025-05-23 19:13:35.607,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
5051663272,"bf570b1b-2aeb-4081-8147-252ec3c67cc5","NATUING-2020-001762","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",NA,"SPECIES","Spartina alterniflora Loisel.","Spartina alterniflora","","KR","Korea","Korea","PRESENT",NA,"7de30ffe-19bb-489f-a1fb-5e291ad006d5",35.864263,126.728234,NA,NA,NA,NA,NA,NA,"2020-10-13",13,10,2020,5290035,9394776,"HUMAN_OBSERVATION","NATURING","CRE","NATUING-2020-001762",NA,"NATURING",2020-10-13,"CC_BY_NC_4_0","","",NA,NA,2025-02-01 00:44:12.118,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
5018794289,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",NA,"SPECIES","Spartina alterniflora Loisel.","Spartina alterniflora","","US","Sapelo Island, Georgia","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",31.429865,-81.28286,250,NA,NA,NA,NA,NA,"2011-10-26T00:00",26,10,2011,5290035,9394776,"HUMAN_OBSERVATION","NABU|naturgucker","NABU|naturgucker","-1769039606",NA,"",NA,"CC_BY_4_0","","-238942269",NA,NA,2025-06-10 22:17:35.876,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
4958648453,"83cbdde7-998f-4354-95de-72d885cc5863","MOEAWRA1110085_2021_陸域植物類_7:1300000004","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",NA,"SPECIES","Spartina alterniflora Loisel.","Spartina alterniflora","","TW","竹港大橋","","PRESENT",NA,"b6b89e2d-e881-41f3-bc57-213815cb9742",24.845818,120.937247,250,1e-05,NA,NA,NA,NA,"2021-07-13",13,7,2021,5290035,9394776,"HUMAN_OBSERVATION","經濟部水利署第二河川局","","",NA,"",NA,"CC_BY_4_0","","逢甲大學水利發展中心",NA,NA,2025-02-01 22:58:55.458,"","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
4958609585,"83cbdde7-998f-4354-95de-72d885cc5863","MOEAWRA1110085_2021_陸域植物類_106:1300000005","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",NA,"SPECIES","Spartina alterniflora Loisel.","Spartina alterniflora","","TW","新庄里","","PRESENT",NA,"b6b89e2d-e881-41f3-bc57-213815cb9742",24.8381,120.94641,250,1e-05,NA,NA,NA,NA,"2021-07-13",13,7,2021,5290035,9394776,"HUMAN_OBSERVATION","經濟部水利署第二河川局","","",NA,"",NA,"CC_BY_4_0","","逢甲大學水利發展中心",NA,NA,2025-02-01 22:58:55.526,"","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED"
4948357662,"963a6b96-4d22-4428-86e4-afee52cf4a8e","https://arter.dk/observation/record-details/4940106a-f387-4c31-8e86-b1f600e3570c","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",NA,"SPECIES","Spartina alterniflora Loisel.","Spartina alterniflora Loisel.","","DK","","","PRESENT",NA,"1a4e6112-b3af-402e-b29f-c2ade2167f72",55.341913,8.474277,0.5,NA,NA,NA,NA,NA,"2014-08-02",2,8,2014,5290035,9394776,"HUMAN_OBSERVATION","MST-and-NHMD","","Arter_4940106a-f387-4c31-8e86-b1f600e3570c",NA,"Jens Christian Schou",NA,"CC_BY_4_0","","Jens Christian Schou",NA,NA,2025-06-11 18:25:42.078,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4587543951,"87d767ac-4344-4c0d-aeab-db8146666906","21d3f884-e1c3-4467-9106-ad4f1591a102","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",NA,"SPECIES","Spartina alterniflora Loisel.","Spartina alterniflora Loisel., 1807","","FR","Commune : MIMIZAN","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",44.20849,-1.28738,NA,NA,NA,NA,NA,NA,"2020-08-12",12,8,2020,5290035,9394776,"HUMAN_OBSERVATION","","","",NA,"",NA,"CC_BY_4_0","","BONIFAIT Sylvain (Conservatoire botanique national Sud-Atlantique)",NA,NA,2025-01-31 22:57:56.631,"","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4587543814,"87d767ac-4344-4c0d-aeab-db8146666906","f78774f2-c7ef-471b-ba36-bba4e6f83b24","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",NA,"SPECIES","Spartina alterniflora Loisel.","Spartina alterniflora Loisel., 1807","","FR","Commune : MIMIZAN","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",44.20934,-1.28334,NA,NA,NA,NA,NA,NA,"2020-08-12",12,8,2020,5290035,9394776,"HUMAN_OBSERVATION","","","",NA,"",NA,"CC_BY_4_0","","BONIFAIT Sylvain (Conservatoire botanique national Sud-Atlantique)",NA,NA,2025-01-31 22:57:56.623,"","FOOTPRINT_WKT_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
4587543355,"87d767ac-4344-4c0d-aeab-db8146666906","1fc3fb79-8c99-4466-856e-a03b5d502244","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Sporobolus","Sporobolus alterniflorus",NA,"SPECIES","Spartina alterniflora Loisel.","Spartina alterniflora Loisel., 1807","","FR","Commune : MIMIZAN","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",44.20911,-1.28385,NA,NA,NA,NA,NA,NA,"2020-08-12",12,8,2020,5290035,9394776,"HUMAN_OBSERVATION","","","",NA,"",NA,"CC_BY_4_0","","BONIFAIT Sylvain (Conservatoire botanique national Sud-Atlantique)",NA,NA,2025-01-31 22:57:56.587,"","FOOTPRINT_WKT_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
