"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4105237136,"ba5b0f3a-73dd-459f-a7f1-9abc327aed00","e65ba3b4-ac0b-4454-9020-742dc1909e85","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma",NA,"SPECIES","Paralichthys lethostigma Jordan & Gilbert, 1884","Paralichthys lethostigma","","US","Waterbody_Name: Sabine River | Location: at Blue Elbow","Texas","PRESENT",1,"3c6ad080-bdbe-11da-ac59-b8a03c50a862",30.152626,-93.699278,45,NA,NA,NA,NA,NA,"2006-07-20",20,7,2006,2408881,2408881,"HUMAN_OBSERVATION","University of Texas Biodiversity Collections (UTBC)","Ichthyology Collection","FOTX-TPWD_SourceID_5010SN3-072006(donor-dup6)",NA,"",NA,"CC0_1_0","","Mills;Luedke;Maxwell;Smith;Ashe;East;Kevin Mayes;Leroy Kleinsasser",NA,NA,2025-03-05 22:10:55.041,"","COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4105165910,"ba5b0f3a-73dd-459f-a7f1-9abc327aed00","06c7a9e8-1d04-4507-b045-a84e896958b8","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma",NA,"SPECIES","Paralichthys lethostigma Jordan & Gilbert, 1884","Paralichthys lethostigma","","US","Sabine River at Blue Elbow","Texas","PRESENT",NA,"3c6ad080-bdbe-11da-ac59-b8a03c50a862",30.14694,-93.70944,45,NA,NA,NA,NA,NA,"2006-07-15",15,7,2006,2408881,2408881,"HUMAN_OBSERVATION","University of Texas Biodiversity Collections (UTBC)","Ichthyology Collection","FOTX-FoTX-lit_SourceID_6383",NA,"",NA,"CC0_1_0","","",NA,NA,2025-03-05 22:10:21.559,"",""
4105114376,"ba5b0f3a-73dd-459f-a7f1-9abc327aed00","c6c1e12c-215e-49d9-bebb-65bb393931bf","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma",NA,"SPECIES","Paralichthys lethostigma Jordan & Gilbert, 1884","Paralichthys lethostigma","","US","Coastal area of USGS Hydrologic Unit Code 1204020401","Texas","PRESENT",31,"3c6ad080-bdbe-11da-ac59-b8a03c50a862",28.70578,-96.38741,8500,NA,NA,NA,NA,NA,"2011-09-04",4,9,2011,2408881,2408881,"HUMAN_OBSERVATION","University of Texas Biodiversity Collections (UTBC)","Ichthyology Collection","FOTX-TPWD-inland-fishkills_12178",NA,"",NA,"CC0_1_0","","",NA,NA,2025-03-05 22:10:50.98,"","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
4104775893,"ba5b0f3a-73dd-459f-a7f1-9abc327aed00","d40a9975-3369-4485-84bf-2b8aa1f5c8a4","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma",NA,"SPECIES","Paralichthys lethostigma Jordan & Gilbert, 1884","Paralichthys lethostigma","","US","Waterbody_Name: Sabine River | Location: at Blue Elbow","Texas","PRESENT",1,"3c6ad080-bdbe-11da-ac59-b8a03c50a862",30.152042,-93.702008,45,NA,NA,NA,NA,NA,"2006-07-20",20,7,2006,2408881,2408881,"HUMAN_OBSERVATION","University of Texas Biodiversity Collections (UTBC)","Ichthyology Collection","FOTX-TPWD_SourceID_5010BE3-072006(donor-dup7)",NA,"",NA,"CC0_1_0","","Maxwell;Smith;Luedke;Mills;Ashe;Kevin Mayes;Leroy Kleinsasser;East",NA,NA,2025-03-05 22:10:53.289,"","COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT"
3426182994,"9e82c117-54f1-4750-a029-2dacc9ef5158","Station_269_Date_20APR2005:09:37:00.000_Paralichthys_lethostigma","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma",NA,"SPECIES","Paralichthys lethostigma Jordan & Gilbert, 1884","Paralichthys lethostigma","Jordan & Gilbert, 1884","US","Upper Laguna Madre Estuary","Texas","PRESENT",NA,"c3ad790a-d426-4ac1-8e32-da61f81f0117",27.184722,-97.393889,100,NA,NA,NA,0.95,0.85,"2005-04-20T09:37",20,4,2005,2408881,2408881,"HUMAN_OBSERVATION","TPWD","Upper Laguna Madre Gill Net","",NA,"",NA,"CC0_1_0","","",NA,NA,2025-02-06 21:47:10.028,"","CONTINENT_DERIVED_FROM_COORDINATES"
3426182696,"9e82c117-54f1-4750-a029-2dacc9ef5158","Station_94_Date_25SEP2008:08:25:00.000_Paralichthys_lethostigma","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma",NA,"SPECIES","Paralichthys lethostigma Jordan & Gilbert, 1884","Paralichthys lethostigma","Jordan & Gilbert, 1884","US","Upper Laguna Madre Estuary","Texas","PRESENT",NA,"c3ad790a-d426-4ac1-8e32-da61f81f0117",27.416111,-97.330833,100,NA,NA,NA,0.9,0.7,"2008-09-25T08:25",25,9,2008,2408881,2408881,"HUMAN_OBSERVATION","TPWD","Upper Laguna Madre Gill Net","",NA,"",NA,"CC0_1_0","","",NA,NA,2025-02-06 21:47:09.985,"","CONTINENT_DERIVED_FROM_COORDINATES"
3426182579,"9e82c117-54f1-4750-a029-2dacc9ef5158","Station_45_Date_13MAY2008:07:04:00.000_Paralichthys_lethostigma","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma",NA,"SPECIES","Paralichthys lethostigma Jordan & Gilbert, 1884","Paralichthys lethostigma","Jordan & Gilbert, 1884","US","Upper Laguna Madre Estuary","Texas","PRESENT",NA,"c3ad790a-d426-4ac1-8e32-da61f81f0117",27.570833,-97.320278,100,NA,NA,NA,0.65,0.65,"2008-05-13T07:04",13,5,2008,2408881,2408881,"HUMAN_OBSERVATION","TPWD","Upper Laguna Madre Gill Net","",NA,"",NA,"CC0_1_0","","",NA,NA,2025-02-06 21:47:09.967,"","CONTINENT_DERIVED_FROM_COORDINATES"
3426182053,"9e82c117-54f1-4750-a029-2dacc9ef5158","Station_170_Date_04NOV2008:08:32:00.000_Paralichthys_lethostigma","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma",NA,"SPECIES","Paralichthys lethostigma Jordan & Gilbert, 1884","Paralichthys lethostigma","Jordan & Gilbert, 1884","US","Upper Laguna Madre Estuary","Texas","PRESENT",NA,"c3ad790a-d426-4ac1-8e32-da61f81f0117",27.315833,-97.405833,100,NA,NA,NA,0.45,0.45,"2008-11-04T08:32",4,11,2008,2408881,2408881,"HUMAN_OBSERVATION","TPWD","Upper Laguna Madre Gill Net","",NA,"",NA,"CC0_1_0","","",NA,NA,2025-02-06 21:47:09.971,"","CONTINENT_DERIVED_FROM_COORDINATES"
3426179845,"9e82c117-54f1-4750-a029-2dacc9ef5158","Station_241_Date_24APR2008:08:42:00.000_Paralichthys_lethostigma","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma",NA,"SPECIES","Paralichthys lethostigma Jordan & Gilbert, 1884","Paralichthys lethostigma","Jordan & Gilbert, 1884","US","Upper Laguna Madre Estuary","Texas","PRESENT",NA,"c3ad790a-d426-4ac1-8e32-da61f81f0117",27.241111,-97.586944,100,NA,NA,NA,0.35,0.35,"2008-04-24T08:42",24,4,2008,2408881,2408881,"HUMAN_OBSERVATION","TPWD","Upper Laguna Madre Gill Net","",NA,"",NA,"CC0_1_0","","",NA,NA,2025-02-06 21:47:10.748,"","CONTINENT_DERIVED_FROM_COORDINATES"
3426177983,"9e82c117-54f1-4750-a029-2dacc9ef5158","Station_275_Date_21OCT2008:08:17:00.000_Paralichthys_lethostigma","Animalia","Chordata",NA,"Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma",NA,"SPECIES","Paralichthys lethostigma Jordan & Gilbert, 1884","Paralichthys lethostigma","Jordan & Gilbert, 1884","US","Upper Laguna Madre Estuary","Texas","PRESENT",NA,"c3ad790a-d426-4ac1-8e32-da61f81f0117",27.152222,-97.443333,100,NA,NA,NA,0.45,0.45,"2008-10-21T08:17",21,10,2008,2408881,2408881,"HUMAN_OBSERVATION","TPWD","Upper Laguna Madre Gill Net","",NA,"",NA,"CC0_1_0","","",NA,NA,2025-02-06 21:47:10.698,"","CONTINENT_DERIVED_FROM_COORDINATES"
