"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
5153021780,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/272739549","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Solenosteira","Solenosteira cancellaria",NA,"SPECIES","Solenosteira cancellaria (Conrad, 1846)","Solenosteira cancellaria",NA,"US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",28.026541,-97.0467,75,NA,NA,NA,NA,NA,"2025-04-24T13:02:30",24,4,2025,4959196,4959196,"HUMAN_OBSERVATION","iNaturalist","Observations",272739549,NA,"margaretdurst",2025-04-24 18:02:35,"CC_BY_NC_4_0","margaretdurst","margaretdurst",NA,NA,2025-06-07 00:40:58.104,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140741249,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/275312082","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Solenosteira","Solenosteira cancellaria",NA,"SPECIES","Solenosteira cancellaria (Conrad, 1846)","Solenosteira cancellaria",NA,"US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.260911,-94.837144,NA,NA,NA,NA,NA,NA,"2025-04-27T19:06:52",27,4,2025,4959196,4959196,"HUMAN_OBSERVATION","iNaturalist","Observations",275312082,NA,"Jason",2025-04-28 03:08:14,"CC_BY_NC_4_0","Jason","Jason",NA,NA,2025-06-07 02:53:17.149,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5140002952,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/270560134","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Solenosteira","Solenosteira cancellaria",NA,"SPECIES","Solenosteira cancellaria (Conrad, 1846)","Solenosteira cancellaria",NA,"US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.36642,-94.732042,2,NA,NA,NA,NA,NA,"2025-04-13T19:51:12",13,4,2025,4959196,4959196,"HUMAN_OBSERVATION","iNaturalist","Observations",270560134,NA,"Ian Davies",2025-04-15 03:13:42,"CC_BY_4_0","Ian Davies","Ian Davies",NA,NA,2025-06-07 01:23:36.736,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5134283022,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/268638401","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Solenosteira","Solenosteira cancellaria",NA,"SPECIES","Solenosteira cancellaria (Conrad, 1846)","Solenosteira cancellaria",NA,"US","","Louisiana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.254817,-89.952955,NA,NA,NA,NA,NA,NA,"2025-03-30T23:51:16",30,3,2025,4959196,4959196,"HUMAN_OBSERVATION","iNaturalist","Observations",268638401,NA,"ethantouchinggrass",2025-04-04 23:54:39,"CC_BY_NC_4_0","ethantouchinggrass","ethantouchinggrass",NA,NA,2025-06-07 01:23:08.369,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5133512120,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/270362941","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Solenosteira","Solenosteira cancellaria",NA,"SPECIES","Solenosteira cancellaria (Conrad, 1846)","Solenosteira cancellaria",NA,"US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.816641,-97.066804,18,NA,NA,NA,NA,NA,"2025-04-13T23:20:31",13,4,2025,4959196,4959196,"HUMAN_OBSERVATION","iNaturalist","Observations",270362941,NA,"Wilton Shaw Jr",2025-04-14 04:20:55,"CC_BY_NC_4_0","Wilton Shaw Jr","Wilton Shaw Jr",NA,NA,2025-06-07 01:40:07.655,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5133200228,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/269864976","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Solenosteira","Solenosteira cancellaria",NA,"SPECIES","Solenosteira cancellaria (Conrad, 1846)","Solenosteira cancellaria",NA,"US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.069447,-95.126069,104,NA,NA,NA,NA,NA,"2025-04-11T10:28:05",11,4,2025,4959196,4959196,"HUMAN_OBSERVATION","iNaturalist","Observations",269864976,NA,"Amanda Gabehart",2025-04-11 22:37:13,"CC_BY_NC_4_0","Amanda Gabehart","Amanda Gabehart",NA,NA,2025-06-07 02:04:32.381,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5087325816,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/263635660","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Solenosteira","Solenosteira cancellaria",NA,"SPECIES","Solenosteira cancellaria (Conrad, 1846)","Solenosteira cancellaria",NA,"US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.175789,-94.981392,NA,NA,NA,NA,NA,NA,"2025-03-02T09:41:58",2,3,2025,4959196,4959196,"HUMAN_OBSERVATION","iNaturalist","Observations",263635660,NA,"Sonorabee",2025-03-02 15:44:16,"CC_BY_NC_4_0","Sonorabee","Sonorabee",NA,NA,2025-06-07 00:44:14.201,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5087137240,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/261166042","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Solenosteira","Solenosteira cancellaria",NA,"SPECIES","Solenosteira cancellaria (Conrad, 1846)","Solenosteira cancellaria",NA,"US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.734133,-97.129142,4,NA,NA,NA,NA,NA,"2025-02-09T09:02:57",9,2,2025,4959196,4959196,"HUMAN_OBSERVATION","iNaturalist","Observations",261166042,NA,"Jacob Weston",2025-02-09 22:00:27,"CC_BY_NC_4_0","Cassidy Kempf","Cassidy Kempf",NA,NA,2025-06-07 01:59:00.976,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5087109028,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/260944529","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Solenosteira","Solenosteira cancellaria",NA,"SPECIES","Solenosteira cancellaria (Conrad, 1846)","Solenosteira cancellaria",NA,"US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",27.72843,-97.124649,6940,NA,NA,NA,NA,NA,"2025-02-05T17:46",5,2,2025,4959196,4959196,"HUMAN_OBSERVATION","iNaturalist","Observations",260944529,NA,"Cindy O'Leary",2025-03-14 13:39:41,"CC_BY_NC_4_0","bbre","bbre",NA,NA,2025-06-07 01:50:23.117,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
5069754138,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/260030975","Animalia","Mollusca","Gastropoda","Neogastropoda","Pisaniidae","Solenosteira","Solenosteira cancellaria",NA,"SPECIES","Solenosteira cancellaria (Conrad, 1846)","Solenosteira cancellaria",NA,"US","","Texas","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",29.189717,-94.958589,372,NA,NA,NA,NA,NA,"2025-01-29T17:11:37",29,1,2025,4959196,4959196,"HUMAN_OBSERVATION","iNaturalist","Observations",260030975,NA,"Jacob Weston",2025-01-30 22:11:19,"CC_BY_NC_4_0","greenbead","greenbead",NA,NA,2025-06-07 00:20:12.458,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED"
