gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5167384830	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/281624026	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Sesarma	Sesarma reticulatum		SPECIES	Sesarma reticulatum (Say, 1817)	Sesarma reticulatum		US		Mississippi	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.397815	-88.792119	10.0						2025-05-15T10:02	15	5	2025	2225752	2225752	HUMAN_OBSERVATION	iNaturalist	Observations	281624026		Logan	2025-05-16T23:43:37	CC_BY_NC_4_0	Logan	Logan			2025-05-30T23:53:33.737Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5167067557	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/282207435	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Sesarma	Sesarma reticulatum		SPECIES	Sesarma reticulatum (Say, 1817)	Sesarma reticulatum		US		Massachusetts	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.882955	-70.003083							2025-05-18T14:59:13	18	5	2025	2225752	2225752	HUMAN_OBSERVATION	iNaturalist	Observations	282207435		Destynnie K. Berard	2025-05-18T21:42:40	CC_BY_4_0	Destynnie K. Berard	Destynnie K. Berard			2025-05-30T22:50:34.188Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5134648333	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/269304735	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Sesarma	Sesarma reticulatum		SPECIES	Sesarma reticulatum (Say, 1817)	Sesarma reticulatum		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	28.693935	-96.663133	15.0						2025-04-04T10:32	4	4	2025	2225752	2225752	HUMAN_OBSERVATION	iNaturalist	Observations	269304735		Ryan Rash	2025-04-08T16:11:53	CC_BY_NC_4_0	Ryan Rash	Ryan Rash			2025-05-30T23:25:44.425Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5134307263	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/271450374	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Sesarma	Sesarma reticulatum		SPECIES	Sesarma reticulatum (Say, 1817)	Sesarma reticulatum		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.6537	-95.008958	4.0						2025-04-19T09:51	19	4	2025	2225752	2225752	HUMAN_OBSERVATION	iNaturalist	Observations	271450374		sagecrab	2025-04-19T15:37:38	CC_BY_NC_4_0	jovani_frias	jovani_frias			2025-05-31T00:15:23.553Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5104279879	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/167945715	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Sesarma	Sesarma reticulatum		SPECIES	Sesarma reticulatum (Say, 1817)	Sesarma reticulatum		US		Connecticut	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.27372	-72.76384	2400.0						2023-06-17T15:43	17	6	2023	2225752	2225752	HUMAN_OBSERVATION	iNaturalist	Observations	167945715		Sean Rigney	2023-06-18T03:46:32	CC_BY_NC_4_0	Sean Rigney	Sean Rigney			2025-05-31T00:04:44.855Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5062655782	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/169105795	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Sesarma	Sesarma reticulatum		SPECIES	Sesarma reticulatum (Say, 1817)	Sesarma reticulatum		US		Massachusetts	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.667297	-70.072838	35.0						2023-06-23T22:22:43	23	6	2023	2225752	2225752	HUMAN_OBSERVATION	iNaturalist	Observations	169105795		Austin Smith	2023-06-26T17:18:45	CC_BY_NC_4_0	umbrellamagnolia	umbrellamagnolia			2025-05-30T23:03:35.571Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5037158622	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/232927214	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Sesarma	Sesarma reticulatum		SPECIES	Sesarma reticulatum (Say, 1817)	Sesarma reticulatum		US		Massachusetts	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.860794	-70.022448	3021.0						2024-06-09T10:29	9	6	2024	2225752	2225752	HUMAN_OBSERVATION	iNaturalist	Observations	232927214		D. Bray	2024-07-31T16:49:58	CC_BY_NC_4_0	D. Bray	D. Bray			2025-05-30T22:57:36.370Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994599677	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247417498	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Sesarma	Sesarma reticulatum		SPECIES	Sesarma reticulatum (Say, 1817)	Sesarma reticulatum		US		New Jersey	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	39.541539	-74.416026	214.0						2024-09-30T11:48:07	30	9	2024	2225752	2225752	HUMAN_OBSERVATION	iNaturalist	Observations	247417498		Christine Thompson	2024-10-15T03:02:59	CC_BY_NC_4_0	Christine Thompson	Christine Thompson			2025-05-31T00:12:19.184Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4954247422	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/246913835	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Sesarma	Sesarma reticulatum		SPECIES	Sesarma reticulatum (Say, 1817)	Sesarma reticulatum		US		Delaware	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.756631	-75.089666	172.0						2024-09-29T17:01	29	9	2024	2225752	2225752	HUMAN_OBSERVATION	iNaturalist	Observations	246913835		bev435	2024-10-12T12:10:36	CC_BY_NC_4_0	bev435	bev435			2025-05-31T01:26:32.778Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952696529	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244032074	Animalia	Arthropoda	Malacostraca	Decapoda	Sesarmidae	Sesarma	Sesarma reticulatum		SPECIES	Sesarma reticulatum (Say, 1817)	Sesarma reticulatum		US		Massachusetts	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.884805	-69.999989	206.0						2024-09-25T16:24:52	25	9	2024	2225752	2225752	HUMAN_OBSERVATION	iNaturalist	Observations	244032074		Stirling Cousins	2024-09-25T20:28:46	CC_BY_NC_4_0	Stirling Cousins	Stirling Cousins			2025-05-30T23:56:31.868Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
