"","species","sti","sti_2.5","sti_97.5","sti_range","northern_lat","n_kept"
"1","Alpheus heterochaelis",9.57272724671797,4.85250014066696,15.4949999809265,10.6424998402595,30.4941472,22
"2","Anchoa mitchilli",2.63311256596584,-5.64999997615814,13.3999996185303,19.0499995946884,41.5582345,151
"3","Armases cinereum",4.58432835801991,-3.90250001549721,15.0350001335144,18.9375001490116,39.2572899,134
"4","Bagre marinus",8.97678573269929,3.47750002145767,19.7949994087219,16.3174993872642,33.66892119,112
"5","Bathygobius soporator",13.114414440619,4.30000007152557,22.7000007629395,18.4000006914139,34.4422538,111
"6","Citharichthys spilopterus",7.80434784163599,2.0249999910593,20.8250007629395,18.8000007718801,34.71695985,46
"7","Clibanarius vittatus",7.57973857097376,-2.17999992370605,17.8399993896484,20.0199993133545,38.30566872,153
"8","Crassostrea virginica",-0.421568618685591,-14.3999996185303,16.2749996185303,30.6749992370605,52.91666825,306
"9","Ctenogobius shufeldti",6.19230775649731,-2.54999988079071,18.6500003814697,21.2000002622604,40.0803378,13
"10","Cynoscion nebulosus",5.9289308311242,-2.80499995946884,16.6850003242492,19.4900002837181,38.60622544,159
"11","Eucinostomus melanopterus",15.7146666733424,0.764999979734421,22.2000007629395,21.435000783205,43.6830056800001,75
"12","Evorthodus lyricus",9.03529411203721,1.61999998092651,22.4400001525879,20.8200001716614,35.62224396,17
"13","Fundulus grandis",6.44313724448576,-1.98999999761581,15.1849997997284,17.1749997973442,32.63131288,102
"14","Fundulus jenkinsi",3.81666658694545,-0.0250000013038516,6.86249989271164,6.88749989401549,33.09694315,6
"15","Fundulus similis",8.07333331902822,4.9475000500679,15.8524998903275,10.9049998402596,30.652479,60
"16","Gobionellus oceanicus",8.91000003814697,3.07249993085861,21.7375003814697,18.6650004506111,32.80237857,30
"17","Lagodon rhomboides",5.43953489113686,-5.3450000166893,17.0625007629395,22.4075007796288,41.49012382,172
"18","Littoraria irrorata",3.4692307632321,-3.71000003814697,9.91999969482422,13.6299997329712,39.53661584,117
"19","Micropogonias undulatus",3.35527949183254,-4.80000019073486,15.1999998092651,20,51.824,161
"20","Mugil cephalus",6.4458441615782,-5.5,19.8999996185303,25.3999996185303,48.7472480999999,770
"21","Negaprion brevirostris",11.5750000029802,3.23750001192093,22.8250000476837,19.5875000357628,33.35547465,56
"22","Neverita delessertiana",7.29999998441109,1.53749997615814,12.3900001049042,10.852500128746,33.88153192,52
"23","Pachygrapsus gracilis",14.2380952608018,6.90000009536743,22.2999992370605,15.3999991416931,29.7683088,21
"24","Pagurus armatus",-0.550000010606121,-5.90750011205673,2.89749995470047,8.8050000667572,58.23627868,34
"25","Pagurus longicarpus",-2.74947370102531,-13.8099999666214,11.6924999475479,25.5024999141693,54.14962078,190
"26","Panopeus spp.",9.4666666454739,5.21999988555908,14.4400001525879,9.22000026702881,30.971612,9
"28","Petrolisthes armatus",9.33291145442407,1.29999995231628,19.9099996566772,18.609999704361,34.67209378,79
"29","Phrontis vibex",7.47826087733974,-5.3600001335144,18.8500007629395,24.2100008964539,41.57821944,69
"30","Poecilia latipinna",7.06016261378924,1.11250002682209,16.525000333786,15.4125003069639,35.65422595,246
"31","Probopyrus pandalicola",-0.0299999952316284,-5.59499995708466,5.12749992609024,10.7224998831749,41.21798927,10
"32","Solenosteira cancellaria",7.36666668029059,5.04999995231628,12.7000002861023,7.65000033378601,30.379361,21
"33","Symphurus plagiusa",4.15967744588852,-4.54249995946884,16.9425001621246,21.4850001215935,40.64465666,62
"34","Syngnathus scovelli",8.73863632570614,4.52250001430512,15.5700003385544,11.0475003242493,30.84970743,44
"35","Trinectes maculatus",2.83902441679947,-7.01499991416931,15.1000003814697,22.115000295639,41.7624892,123
"36","Urosalpinx cinerea",-1.58173074859839,-11.5274996995926,8.02500010728836,19.5524998068809,52.94525962,104
