"","species","sti","sti_2.5","sti_97.5","sti_range","northern_lat","n_kept","n_years","r"
"1","Alpheus heterochaelis",9.64090902155096,4.85250014066696,15.8424998998642,10.9899997591972,30.4941472,22,3,0.985188317433124
"2","Bagre marinus",8.98571431264281,3.55499994754791,19.7949994087219,16.239999461174,33.66892119,112,3,0.810884854079383
"3","Bathygobius soporator",13.1162162449983,4.30000007152557,22.7000007629395,18.4000006914139,34.4422538,111,3,0.810884854079383
"4","Fundulus similis",8.09500000476837,4.9475000500679,15.8524998903275,10.9049998402596,30.6563022,60,3,0.810884854079383
"5","Gobionellus oceanicus",8.89333340326945,3.07249993085861,21.7650004863739,18.6925005555153,32.80237857,30,3,0.963081061508262
"6","Negaprion brevirostris",11.5660714145218,3.23750001192093,22.8250000476837,19.5875000357628,33.35547465,56,3,0.810884854079383
"7","Pachygrapsus gracilis",14.2380952608018,6.90000009536743,22.2999992370605,15.3999991416931,29.7683088,21,3,0.810884854079383
"8","Panopeus spp.",9.49999994701809,5.27999982833862,14.4400001525879,9.16000032424927,30.97332608,9,3,0.998114021117374
"9","Solenosteira cancellaria",7.39047618139358,5.04999995231628,12.7000002861023,7.65000033378601,30.379361,21,3,0.810884854079383
"10","Syngnathus scovelli",8.73863633654334,4.52250001430512,15.5925003528595,11.0700003385544,30.84695973,44,3,0.976656155386512
