"","Achirus lineatus","Alpheus heterochaelis","Anchoa mitchilli","Archosargus probatocephalus","Ariopsis felis","Armases americanum","Armases benedicti","Armases cinereum","Bagre marinus","Bairdiella chrysoura","Bathygobius soporator","Callinectes sapidus","Callinectes similis","Citharichthys spilopterus","Clibanarius vittatus","Crassostrea virginica","Ctenogobius boleosoma","Ctenogobius shufeldti","Cynoscion arenarius","Cynoscion nebulosus","Cyprinodon variegatus","Dormitator maculatus","Eleotris amblyopsis","Eucinostomus argenteus","Eucinostomus melanopterus","Eurytium limosum","Evorthodus lyricus","Fundulus grandis","Fundulus jenkinsi","Fundulus pulvereus","Fundulus similis","Fundulus xenicus","Gobionellus oceanicus","Gobiosoma bosc","Lagodon rhomboides","Leiostomus xanthurus","Littoraria irrorata","Lucania parva","Lutjanus griseus","Menidia beryllina","Micropogonias undulatus","Minuca spp.","Mugil cephalus","Mugil curema","Myrophis punctatus","Negaprion brevirostris","Neverita delessertiana","Opsanus beta","Pachygrapsus gracilis","Pagurus armatus","Pagurus longicarpus","Palaemon spp.","Panopeus spp.","Paralichthys lethostigma","Penaeus aztecus","Penaeus duorarum","Penaeus setiferus","Petrolisthes armatus","Phrontis vibex","Poecilia latipinna","Pogonias cromis","Probopyrus pandalicola","Rhithropanopeus harrisii","Sciaenops ocellatus","Sesarma reticulatum","Solenosteira cancellaria","Symphurus plagiusa","Syngnathus louisianae","Syngnathus scovelli","Trinectes maculatus","Urosalpinx cinerea","SampleID","mean_sti","mean_sti_2.5","Year","mean_sti_range"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,6,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",6.35247495103531,-5.71705268257544,"2016",19.7149472457484
"2",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,19,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",5.47897906145112,-6.83203860347089,"2016",20.3230962277376
"3",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,4,0,0,2,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"3",5.68889990124093,0.109702521111514,"2016",11.1427301680397
"4",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0,57,0,0,10,0,170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"4",4.77084352577431,-5.15106785658099,"2016",17.0884227763376
"5",0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,2,0,37,0,0,1,0,0,0,0,0,0,222,1,0,8,0,130,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"5",5.65192699525483,-8.04734768795327,"2016",21.7623364509756
"6",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,207,6,0,8,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"6",6.41121282066158,-10.1546865824997,"2016",25.145174246337
"7",0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,59,0,0,13,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7",4.62361175278654,-7.61903300652483,"2016",20.8873193949937
"8",0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,102,0,0,57,0,286,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"8",4.58851605006241,-6.47200191376442,"2016",19.0972365855998
"9",0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,60,2,0,0,0,0,0,0,0,0,104,1,0,15,0,167,0,0,1,0,0,0,0,3,0,0,0,0,0,0,"9",5.08535485111043,-5.71753501382602,"2016",18.1588399797324
"10",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,92,4,0,6,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"10",5.87912275415182,-9.19212435809618,"2016",23.5486275497449
