,Year,Taxon,Sites_Present,valid_name,taxonomic_rank,Unique_Sites_Sampled,Proportion_of_Sites
0,2006,Acetes americanus,1,Acetes americanus,Species,33,0.03
1,2006,Alpheus heterochaelis,1,Alpheus heterochaelis,Species,33,0.03
2,2006,Archosargus probatocephalus,2,Archosargus probatocephalus,Species,33,0.061
3,2006,Armases cinereum,2,Armases cinereum,Species,33,0.061
4,2006,Bairdiella chrysoura,1,Bairdiella chrysoura,Species,33,0.03
5,2006,Callinectes sapidus,31,Callinectes sapidus,Species,33,0.939
6,2006,Clibanarius vittatus,4,Clibanarius vittatus,Species,33,0.121
7,2006,Ctenogobius boleosoma,28,Ctenogobius boleosoma,Species,33,0.848
8,2006,Cynoscion arenarius,1,Cynoscion arenarius,Species,33,0.03
9,2006,Cyprinodon variegatus,1,Cyprinodon variegatus,Species,33,0.03
10,2006,Fundulus grandis,1,Fundulus grandis,Species,33,0.03
11,2006,Fundulus jenkinsi,1,Fundulus jenkinsi,Species,33,0.03
12,2006,Fundulus pulvereus,1,Fundulus pulvereus,Species,33,0.03
13,2006,Fundulus xenicus,1,Fundulus xenicus,Species,33,0.03
14,2006,Gobiosoma bosc,9,Gobiosoma bosc,Species,33,0.273
15,2006,Lucania parva,1,Lucania parva,Species,33,0.03
16,2006,Lutjanus griseus,1,Lutjanus griseus,Species,33,0.03
17,2006,Menidia beryllina,2,Menidia beryllina,Species,33,0.061
18,2006,Minuca spp.,25,,,33,0.758
19,2006,Myrophis punctatus,1,Myrophis punctatus,Species,33,0.03
20,2006,Palaemon spp.,29,,,33,0.879
21,2006,Panopeus spp.,4,,,33,0.121
22,2006,Penaeus aztecus,11,Penaeus aztecus,Species,33,0.333
23,2006,Penaeus setiferus,18,Penaeus setiferus,Species,33,0.545
24,2006,Rhithropanopeus harrisii,1,Rhithropanopeus harrisii,Species,33,0.03
25,2006,Sciaenops ocellatus,4,Sciaenops ocellatus,Species,33,0.121
26,2006,Sesarma reticulatum,17,Sesarma reticulatum,Species,33,0.515
27,2006,Symphurus plagiusa,2,Symphurus plagiusa,Species,33,0.061
28,2006,Syngnathus louisianae,1,Syngnathus louisianae,Species,33,0.03
29,2016,Achirus lineatus,3,Achirus lineatus,Species,80,0.038
30,2016,Alpheus heterochaelis,2,Alpheus heterochaelis,Species,80,0.025
31,2016,Anchoa mitchilli,14,Anchoa mitchilli,Species,80,0.175
32,2016,Ariopsis felis,1,Ariopsis felis,Species,80,0.012
33,2016,Armases americanum,2,Armases americanum,Species,80,0.025
34,2016,Armases benedicti,2,Armases benedicti,Species,80,0.025
35,2016,Armases cinereum,11,Armases cinereum,Species,80,0.138
36,2016,Callinectes sapidus,75,Callinectes sapidus,Species,80,0.938
37,2016,Callinectes similis,8,Callinectes similis,Species,80,0.1
38,2016,Citharichthys spilopterus,5,Citharichthys spilopterus,Species,80,0.062
39,2016,Clibanarius vittatus,11,Clibanarius vittatus,Species,80,0.138
40,2016,Ctenogobius boleosoma,60,Ctenogobius boleosoma,Species,80,0.75
41,2016,Cynoscion arenarius,1,Cynoscion arenarius,Species,80,0.012
42,2016,Cynoscion nebulosus,8,Cynoscion nebulosus,Species,80,0.1
43,2016,Cyprinodon variegatus,5,Cyprinodon variegatus,Species,80,0.062
44,2016,Dormitator maculatus,1,Dormitator maculatus,Species,80,0.012
45,2016,Eleotris amblyopsis,3,Eleotris amblyopsis,Species,80,0.038
46,2016,Eucinostomus argenteus,3,Eucinostomus argenteus,Species,80,0.038
47,2016,Eucinostomus melanopterus,1,Eucinostomus melanopterus,Species,80,0.012
48,2016,Eurytium limosum,1,Eurytium limosum,Species,80,0.012
49,2016,Evorthodus lyricus,9,Evorthodus lyricus,Species,80,0.112
50,2016,Fundulus grandis,39,Fundulus grandis,Species,80,0.488
51,2016,Fundulus jenkinsi,2,Fundulus jenkinsi,Species,80,0.025
52,2016,Fundulus xenicus,8,Fundulus xenicus,Species,80,0.1
53,2016,Gobionellus oceanicus,3,Gobionellus oceanicus,Species,80,0.038
54,2016,Gobiosoma bosc,18,Gobiosoma bosc,Species,80,0.225
55,2016,Lagodon rhomboides,11,Lagodon rhomboides,Species,80,0.138
56,2016,Leiostomus xanthurus,1,Leiostomus xanthurus,Species,80,0.012
57,2016,Lutjanus griseus,6,Lutjanus griseus,Species,80,0.075
58,2016,Menidia beryllina,22,Menidia beryllina,Species,80,0.275
59,2016,Micropogonias undulatus,1,Micropogonias undulatus,Species,80,0.012
60,2016,Minuca spp.,44,,,80,0.55
61,2016,Mugil cephalus,14,Mugil cephalus,Species,80,0.175
62,2016,Mugil curema,3,Mugil curema,Species,80,0.038
63,2016,Myrophis punctatus,4,Myrophis punctatus,Species,80,0.05
64,2016,Opsanus beta,1,Opsanus beta,Species,80,0.012
65,2016,Palaemon spp.,80,,,80,1.0
66,2016,Panopeus spp.,25,,,80,0.312
67,2016,Penaeus aztecus,78,Penaeus aztecus,Species,80,0.975
68,2016,Penaeus duorarum,2,Penaeus duorarum,Species,80,0.025
69,2016,Penaeus setiferus,80,Penaeus setiferus,Species,80,1.0
70,2016,Petrolisthes armatus,1,Petrolisthes armatus,Species,80,0.012
71,2016,Poecilia latipinna,20,Poecilia latipinna,Species,80,0.25
72,2016,Pogonias cromis,1,Pogonias cromis,Species,80,0.012
73,2016,Sesarma reticulatum,10,Sesarma reticulatum,Species,80,0.125
74,2016,Symphurus plagiusa,9,Symphurus plagiusa,Species,80,0.112
75,2016,Syngnathus scovelli,2,Syngnathus scovelli,Species,80,0.025
76,2022_2023,Alpheus heterochaelis,8,Alpheus heterochaelis,Species,112,0.071
77,2022_2023,Anchoa mitchilli,12,Anchoa mitchilli,Species,112,0.107
78,2022_2023,Archosargus probatocephalus,1,Archosargus probatocephalus,Species,112,0.009
79,2022_2023,Armases cinereum,32,Armases cinereum,Species,112,0.286
80,2022_2023,Bagre marinus,1,Bagre marinus,Species,112,0.009
81,2022_2023,Bathygobius soporator,2,Bathygobius soporator,Species,112,0.018
82,2022_2023,Callinectes sapidus,73,Callinectes sapidus,Species,112,0.652
83,2022_2023,Citharichthys spilopterus,3,Citharichthys spilopterus,Species,112,0.027
84,2022_2023,Clibanarius vittatus,22,Clibanarius vittatus,Species,112,0.196
85,2022_2023,Crassostrea virginica,2,Crassostrea virginica,Species,112,0.018
86,2022_2023,Ctenogobius boleosoma,88,Ctenogobius boleosoma,Species,112,0.786
87,2022_2023,Ctenogobius shufeldti,1,Ctenogobius shufeldti,Species,112,0.009
88,2022_2023,Cynoscion nebulosus,3,Cynoscion nebulosus,Species,112,0.027
89,2022_2023,Cyprinodon variegatus,1,Cyprinodon variegatus,Species,112,0.009
90,2022_2023,Eucinostomus melanopterus,2,Eucinostomus melanopterus,Species,112,0.018
91,2022_2023,Evorthodus lyricus,10,Evorthodus lyricus,Species,112,0.089
92,2022_2023,Fundulus grandis,37,Fundulus grandis,Species,112,0.33
93,2022_2023,Fundulus jenkinsi,4,Fundulus jenkinsi,Species,112,0.036
94,2022_2023,Fundulus similis,1,Fundulus similis,Species,112,0.009
95,2022_2023,Fundulus xenicus,4,Fundulus xenicus,Species,112,0.036
96,2022_2023,Gobionellus oceanicus,4,Gobionellus oceanicus,Species,112,0.036
97,2022_2023,Gobiosoma bosc,8,Gobiosoma bosc,Species,112,0.071
98,2022_2023,Lagodon rhomboides,3,Lagodon rhomboides,Species,112,0.027
99,2022_2023,Littoraria irrorata,20,Littoraria irrorata,Species,112,0.179
100,2022_2023,Menidia beryllina,24,Menidia beryllina,Species,112,0.214
