"","species","Min Latitude","Mean Latitude","Max Latitude","common_name","scientific_name","X2005","X2016","X2022","AphiaID"
"1","Achirus lineatus",4.8306,24.9894170714286,31.200488,"lined sole","Archirus lineatus",FALSE,TRUE,FALSE,279493
"2","Alpheus heterochaelis",25.08969,28.0283186363636,30.505,"bigclaw snapping shrimp","Alpheus heterochaelis",TRUE,TRUE,TRUE,158348
"3","Anchoa mitchilli",-9.665059,33.2106353774834,41.904347,"bay anchovie","Anchoa mitchilli",TRUE,TRUE,TRUE,158699
"4","Archosargus probatocephalus",-28.592222,28.350009779661,44.5563,"sheepshead","Archosargus probatocephalus",TRUE,TRUE,TRUE,159238
"5","Ariopsis felis",-28.15233,26.6382062463768,31.489063,"hardhead catfish","Ariopsis felis",TRUE,TRUE,TRUE,158709
"6","Armases cinereum",21.010453,31.7576198880597,39.277772,"squareback marsh crab","Armases cinereum",TRUE,TRUE,TRUE,158049
"7","Bagre marinus",-3.618554,27.4026773482143,35.241069,"gaftop catfish ","Bagre marinus",TRUE,TRUE,TRUE,158713
"8","Bairdiella chrysoura",19.41635,32.44990102,41.186203,"Silver Perch ","Bairdiella chrysoura",TRUE,TRUE,TRUE,159303
"9","Bathygobius soporator",-27.748337,14.0877561121495,35.770642,"Frillfin Goby","Bathygobius soporator",FALSE,FALSE,TRUE,277638
"10","Callinectes sapidus",-37.281911,22.779997044186,44.643378,"blue crab ","Callinectes sapidus",TRUE,TRUE,TRUE,107379
"11","Callinectes similis",21.136998,29.9015611785714,39.206859,"dwarf blue crab ","Callinectes similis",TRUE,TRUE,TRUE,158055
"12","Citharichthys spilopterus",-29.979692,25.7734574565217,35.362407,"bay whiff","Citharichthys spilopterus",TRUE,TRUE,FALSE,159166
"13","Clibanarius vittatus",11.91172,29.1112783202614,38.670488,"thinstripe hermit crab","Clibanarius vittatus",TRUE,TRUE,TRUE,367528
"14","Crassostrea virginica",18.788393,36.3220278833333,49.026838,"oyster","Crassostrea virginica",TRUE,TRUE,TRUE,140657
"15","Ctenogobius boleosoma",-20.271985,25.3492403703704,41.516573,"darter goby","Ctebogobius boleosoma",TRUE,TRUE,TRUE,159750
"16","Cynoscion arenarius",20.95212,28.7970671935484,35.923512,"sand seatrout","Cynoscion arenarius",TRUE,TRUE,TRUE,276077
