,Year,Taxon,Sites_Present,Unique_Sites_Sampled,Proportion_of_Sites
0,2006,Acetes americanus,1,33,0.03
1,2006,Adinia xenica,1,33,0.03
2,2006,Alpheus heterochaelis,1,33,0.03
3,2006,Archosargus probatocephalus,2,33,0.061
4,2006,Armases cinereum,2,33,0.061
5,2006,Bairdiella chrysoura,1,33,0.03
6,2006,Callinectes,20,33,0.606
7,2006,Callinectes sapidus,29,33,0.879
8,2006,Clibanarius vittatus,4,33,0.121
9,2006,Ctenogobius boleosoma,28,33,0.848
10,2006,Cynoscion arenarius,1,33,0.03
11,2006,Cyprinodon variegatus,1,33,0.03
12,2006,Farfantepenaeus aztecus,11,33,0.333
13,2006,Fundulus grandis,1,33,0.03
14,2006,Fundulus jenkinsi,1,33,0.03
15,2006,Fundulus pulvereus,1,33,0.03
16,2006,Gobiidae,1,33,0.03
17,2006,Gobiosoma,2,33,0.061
18,2006,Gobiosoma bosc,9,33,0.273
19,2006,Leander tenuicornis,1,33,0.03
20,2006,Lucania parva,1,33,0.03
21,2006,Lutjanus griseus,1,33,0.03
22,2006,Macrobrachium ohione,1,33,0.03
23,2006,Menidia beryllina,2,33,0.061
24,2006,Minuca,24,33,0.727
25,2006,Minuca longisignalis,1,33,0.03
26,2006,Minuca pugnax,1,33,0.03
27,2006,Minuca rapax,1,33,0.03
28,2006,Myrophis punctatus,1,33,0.03
29,2006,No species collected,1,33,0.03
30,2006,Palaemon intermedius,4,33,0.121
31,2006,Palaemon pugio,26,33,0.788
32,2006,Palaemon vulgaris,7,33,0.212
33,2006,Palaemonetes,25,33,0.758
34,2006,Panopeidae,1,33,0.03
35,2006,Panopeus herbstii,4,33,0.121
36,2006,Penaeus,8,33,0.242
37,2006,Penaeus setiferus,18,33,0.545
38,2006,Rhithropanopeus harrisii,1,33,0.03
39,2006,Sciaenidae,2,33,0.061
40,2006,Sciaenops ocellatus,4,33,0.121
41,2006,Sesarma reticulatum,17,33,0.515
42,2006,Symphurus plagiusa,2,33,0.061
43,2006,Syngnathus louisianae,1,33,0.03
44,2006,Unknown Fish ,1,33,0.03
45,2016,Achirus lineatus,3,80,0.038
46,2016,Alpheus,1,80,0.012
47,2016,Alpheus heterochaelis,1,80,0.012
48,2016,Anchoa mitchilli,14,80,0.175
49,2016,Ariopsis felis,1,80,0.012
50,2016,Armases americanum,2,80,0.025
51,2016,Armases benedicti,2,80,0.025
52,2016,Armases cinereum,11,80,0.138
53,2016,Brachyura,4,80,0.05
54,2016,Callinectes sapidus,75,80,0.938
55,2016,Callinectes similis,8,80,0.1
56,2016,Caridea,1,80,0.012
57,2016,Citharichthys spilopterus,5,80,0.062
58,2016,Clibanarius vittatus,11,80,0.138
59,2016,Ctenogobius boleosoma,60,80,0.75
60,2016,Cynoscion arenarius,1,80,0.012
61,2016,Cynoscion nebulosus,8,80,0.1
62,2016,Cyprinodon variegatus,5,80,0.062
63,2016,Cyprinodontiformes,2,80,0.025
64,2016,Dormitator maculatus,1,80,0.012
