ProjectName,SampleNumber,StudySite,Date,Time,GPSLatitude,GPSLongitude,GearType,AreaSampled,FieldSalinity_in_ppt,LaboratorySalinity_in_ppt,WaterTemperature_in_°C,Dissolved_Oxygen_in_ppm,Turbidity_in_NTU's,Distance_to_Marsh_Edge_in_m,Distance_to_Seagrass_Edge_in_m,Inside_Depth_One_in_cm,Inside_Depth_Two_in_cm,Inside_Depth_Three_in_cm,Inside_Depth_Four_in_cm,Inside_Depth_Five_in_cm,GeneralHabitat,PhysicalHabitat,DominantPlantSpecies,MarshSeagrassType,MiscDescriptor,GeneralHabitatComments,PlantBiomass_in_grams,PlantWetBiomass_in_grams,PlantDryBiomass_in_grams,StemCount,VegCover,PlantComments
Barataria Bay Fall 2006,BBF-2006-064,Port Fourchon side,10/3/2006,8:05 AM,29.20571,90.21339,1,1,24,24,27.29999924,3,39.16999817,0.600000024,-999,26,24,28,31,34,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,300,-999,
Barataria Bay Fall 2006,BBF-2006-065,Port Fourchon side,10/3/2006,8:43 AM,29.19619,90.21029,1,1,25,24,27.70000076,3.400000095,19.54000092,0.699999988,-999,56,60,57,55,50,Open Water,Non Vegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-066,Port Fourchon side,10/3/2006,9:08 AM,29.18917,90.21714,1,1,26,26,27.60000038,5.199999809,12.94999981,1.200000048,-999,61,62,65,63,68,Open Water,Non Vegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-067,Port Fourchon side,10/3/2006,9:30 AM,29.18547,90.21086,1,1,27,27,27.60000038,3.099999905,31.05999947,1.100000024,-999,21,19,21,22,20,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,144,-999,Avicennia seedlings & Salicornia
Barataria Bay Fall 2006,BBF-2006-068,Port Fourchon side,10/3/2006,10:07 AM,29.18314,90.2039,1,1,28,28,28.20000076,5.599999905,22.84000015,0.800000012,-999,52,51,50,51,52,Open Water,Non Vegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-069,Port Fourchon side,10/3/2006,10:30 AM,29.18537,90.20497,1,1,27,26,28,5.199999809,151.1999969,1.100000024,-999,72,62,65,64,65,Open Water,Non Vegetated,Nonvegetated,Natural,SNB1,,,,,0,0,
Barataria Bay Fall 2006,BBF-2006-070,Port Fourchon side,10/3/2006,10:56 AM,29.17685,90.21542,1,1,26,27,28,5,37.27999878,1,-999,17,17,16,15,16,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,274,-999,
Barataria Bay Fall 2006,BBF-2006-071,Port Fourchon side,10/3/2006,11:30 AM,29.16989,90.21246,1,1,28,27,28.20000076,5.199999809,43.59000015,0.899999976,-999,20,20,20,19,22,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,243,-999,
Barataria Bay Fall 2006,BBF-2006-072,Port Fourchon side,10/3/2006,12:30 PM,29.16666,90.20424,1,1,27,29,29.10000038,7.099999905,28.39999962,1,-999,62,62,65,65,64,Open Water,Non Vegetated,Nonvegetated,Natural,SNB1,,,,,0,-999,Coffee ground bottom-type of macerated vegetation
Barataria Bay Fall 2006,BBF-2006-073,Port Fourchon side,10/3/2006,1:02 PM,29.16396,90.19141,1,1,28,29,29.60000038,4.699999809,95.36000061,1.100000024,-999,13,12,10,15,15,Marsh,Vegetated,Spartina alterniflora,Natural,M1,,,,,226,-999,
