Station_id,month,year,avg_temperature (C DegC),std_deviation_water_temperature (C DegC),min_temperature (C DegC),max_temperature (C DegC)
CRMS0318-H01,8,2010,33.13775686,2.649715914,28.94,40.95
CRMS0319-H01,8,2007,32.97270303,2.192818348,27.26,36.67
CRMS0292-H01,8,2023,32.59239195,2.523056277,28.21,39.57
CRMS0292-H01,8,2011,32.35799729,2.162419219,27.63,39.29
CRMS0978-H01,8,2023,32.30020162,1.485401554,28.39,36.43
CRMS0310-H01,8,2023,32.27936743,1.692877839,28.36,36.94
CRMS0336-H01,8,2023,32.24523561,1.317616083,28.66,35.36
CRMS0292-H01,7,2023,32.24233289,2.403416612,28.12,39.56
CRMS0318-H01,8,2023,32.18443548,2.155207242,26.25,38.74
CRMS0319-H01,8,2023,32.1514382,1.272523183,28.93,35.22
CRMS0978-H01,8,2011,32.13514782,1.347763981,28.69,35.92
CRMS0318-H01,7,2015,32.10263815,2.440747938,27.22,39.17
CRMS0310-H01,7,2023,32.08951617,1.636671293,27.64,36.61
CRMS0336-H01,7,2023,32.05760432,1.356933436,28.89,35.74
CRMS0335-H01,8,2011,32.04603495,1.356943471,29.2,36.38
CRMS0175-H01,8,2011,32.04151877,1.574136008,28.6,36.56
CRMS0335-H01,8,2023,32.02299731,1.549153991,28.65,36.13
CRMS0337-H01,8,2023,32.02126345,1.257995476,28.82,34.92
CRMS0978-H01,7,2023,31.99811824,1.399365029,28.65,35.65
CRMS0318-H01,7,2023,31.98868281,2.11851522,27.3,38.69
CRMS0336-H01,8,2011,31.98130374,1.186040155,28.59,35.09
CRMS0292-H01,7,2015,31.92803756,2.492539883,25.94,39.65
CRMS0164-H01,8,2022,31.92424231,1.064753584,30.17,33.42
CRMS0178-H01,8,2023,31.922857,1.090202201,29.65,34.13
CRMS0164-H01,8,2023,31.91637096,1.663389641,28.3,36.43
CRMS0318-H01,8,2011,31.91452957,2.275104447,26.41,39.27
CRMS0175-H01,8,2023,31.91104841,1.679850897,28.45,36.52
CRMS0292-H01,8,2007,31.87178761,2.350015283,27.73,40.4
CRMS0335-H01,7,2023,31.86868279,1.557550487,28.74,36.7
CRMS0319-H01,7,2023,31.84002688,1.264260111,29.21,35.19
CRMS0310-H01,8,2007,31.8255981,1.466469119,29.17,35.8
CRMS0310-H01,8,2011,31.80865591,1.480701648,28.17,36.53
CRMS0978-H01,7,2015,31.79905913,1.567495254,27.23,35.28
CRMS0319-H01,8,2011,31.78475807,1.026940051,28.98,34.21
CRMS0310-H01,7,2015,31.77428762,1.872125572,26.17,36.7
CRMS0337-H01,7,2023,31.75799727,1.241164111,29.04,35.42
CRMS0178-H01,8,2011,31.67647847,1.087351841,28.82,35.2
CRMS0336-H01,7,2015,31.63045703,1.487510612,27.92,35.1
CRMS0175-H01,7,2015,31.59862905,1.996740943,26.15,36.94
CRMS0178-H01,7,2023,31.57950979,1.092858018,29.6,34.4
CRMS0292-H01,8,2006,31.55869624,2.268778755,26.32,39.41
CRMS0164-H01,8,2011,31.50209678,1.645725613,27.41,36.35
CRMS0310-H01,7,2022,31.5020161,1.669781784,27.16,36.48
CRMS0292-H01,7,2008,31.50137099,2.599232374,27.01,39.48
CRMS0319-H01,8,2021,31.4583051,1.005222885,29.45,33.46
CRMS0164-H01,7,2023,31.4346102,1.609788021,28.6,35.7
CRMS0292-H01,7,2016,31.43079304,2.231217494,26.14,38.39
CRMS0175-H01,8,2007,31.42872309,1.852945467,27.63,37.24
CRMS0318-H01,8,2007,31.4237097,2.27929776,26.62,39.89
CRMS0292-H01,7,2022,31.42333335,2.221936128,27.19,38.59
CRMS0336-H01,7,2022,31.42110364,1.340478406,28.63,34.84
CRMS0335-H01,7,2015,31.39127685,1.596791698,26.89,36.2
CRMS0292-H01,8,2010,31.37924637,2.797690296,25.06,40.74
CRMS0292-H01,6,2010,31.36718052,2.569281059,25.32,39.23
CRMS0335-H01,6,2010,31.35072224,2.146049796,25.75,37.38
CRMS0292-H01,7,2017,31.35030911,2.523105899,26.55,38.82
CRMS0335-H01,7,2022,31.34625,1.514482456,27.62,36.53
CRMS0310-H01,7,2016,31.33783602,1.548382447,26.9,35.25
CRMS0175-H01,8,2006,31.33514786,2.046658768,26.89,38.14
CRMS0336-H01,8,2007,31.30518818,1.480907831,28.29,35.72
CRMS0292-H01,8,2015,31.30176081,1.96667644,27.51,38.34
CRMS0175-H01,7,2023,31.28630376,1.450012014,28.25,36.6
CRMS0978-H01,7,2022,31.27731184,1.433791391,28.06,35.35
CRMS0318-H01,6,2018,31.27130436,2.152925397,26.94,36.92
CRMS0978-H01,8,2006,31.26657255,1.591047265,27.76,35.87
CRMS0335-H01,7,2016,31.25780913,1.516818993,26.84,35.4
CRMS0175-H01,7,2016,31.25590049,1.748035249,27.13,35.73
CRMS0336-H01,6,2010,31.25508331,2.065313358,26.26,35.85
CRMS0318-H01,6,2022,31.25195983,2.34418298,26.78,37.09
CRMS0978-H01,7,2016,31.23243278,1.373093633,27.11,34.67
CRMS0336-H01,7,2016,31.23077958,1.329114623,27.16,34.93
CRMS0310-H01,6,2010,31.22691661,2.101826007,25.9,37.46
CRMS0318-H01,7,2016,31.21118281,1.900024769,26.6,37.11
CRMS0175-H01,8,2020,31.21068315,1.616573939,27.54,36.83
