Record_ID_Number,ProjectName,SampleNumber,Taxon,Count
17647,Barataria Bay Fall 2006,BBF-2006-064,Archosargus probatocephalus,1
17648,Barataria Bay Fall 2006,BBF-2006-064,Ctenogobius boleosoma,1
17649,Barataria Bay Fall 2006,BBF-2006-064,Gobiosoma bosc,1
17695,Barataria Bay Fall 2006,BBF-2006-065,Ctenogobius boleosoma,4
17696,Barataria Bay Fall 2006,BBF-2006-065,Cynoscion nebulosus,1
17651,Barataria Bay Fall 2006,BBF-2006-065,Gobiosoma bosc,4
17650,Barataria Bay Fall 2006,BBF-2006-065,Sphoeroides parvus,1
17694,Barataria Bay Fall 2006,BBF-2006-065,Symphurus plagiusa,1
17697,Barataria Bay Fall 2006,BBF-2006-065,Syngnathus louisianae,1
17705,Barataria Bay Fall 2006,BBF-2006-066,No species collected,0
17699,Barataria Bay Fall 2006,BBF-2006-067,Ctenogobius boleosoma,1
17698,Barataria Bay Fall 2006,BBF-2006-067,Lucania parva,2
17702,Barataria Bay Fall 2006,BBF-2006-068,Ctenogobius boleosoma,3
17700,Barataria Bay Fall 2006,BBF-2006-068,Mugil cephalus,1
17701,Barataria Bay Fall 2006,BBF-2006-068,Paralichthys lethostigma,2
17653,Barataria Bay Fall 2006,BBF-2006-069,Anchoa mitchilli,4
17652,Barataria Bay Fall 2006,BBF-2006-069,Cynoscion nebulosus,1
17654,Barataria Bay Fall 2006,BBF-2006-070,Archosargus probatocephalus,1
17655,Barataria Bay Fall 2006,BBF-2006-070,Ctenogobius boleosoma,2
17656,Barataria Bay Fall 2006,BBF-2006-070,Gobiosoma sp.,1
17657,Barataria Bay Fall 2006,BBF-2006-071,Ctenogobius boleosoma,1
17658,Barataria Bay Fall 2006,BBF-2006-072,Ctenogobius boleosoma,2
17659,Barataria Bay Fall 2006,BBF-2006-072,Gobiosoma bosc,2
17660,Barataria Bay Fall 2006,BBF-2006-073,Ctenogobius boleosoma,11
17663,Barataria Bay Fall 2006,BBF-2006-074,Ctenogobius boleosoma,1
17661,Barataria Bay Fall 2006,BBF-2006-074,Fundulus jenkinsi,2
17662,Barataria Bay Fall 2006,BBF-2006-074,Gobiosoma bosc,1
17667,Barataria Bay Fall 2006,BBF-2006-075,Anchoa mitchilli,20
17664,Barataria Bay Fall 2006,BBF-2006-075,Bairdiella chrysoura,1
17665,Barataria Bay Fall 2006,BBF-2006-075,Ctenogobius boleosoma,1
17666,Barataria Bay Fall 2006,BBF-2006-075,Gobiosoma bosc,3
17669,Barataria Bay Fall 2006,BBF-2006-076,Ctenogobius boleosoma,10
17668,Barataria Bay Fall 2006,BBF-2006-076,Menidia beryllina,2
17672,Barataria Bay Fall 2006,BBF-2006-077,Anchoa mitchilli,3
17674,Barataria Bay Fall 2006,BBF-2006-077,Ctenogobius boleosoma,5
17673,Barataria Bay Fall 2006,BBF-2006-077,Gobiosoma bosc,11
17678,Barataria Bay Fall 2006,BBF-2006-077,Gobiosoma robustum,1
17675,Barataria Bay Fall 2006,BBF-2006-077,Microgobius gulosus,2
17670,Barataria Bay Fall 2006,BBF-2006-077,Mugil cephalus,1
17677,Barataria Bay Fall 2006,BBF-2006-077,Myrophis punctatus,1
17671,Barataria Bay Fall 2006,BBF-2006-077,Opsanus beta,1
17676,Barataria Bay Fall 2006,BBF-2006-077,Sciaenops ocellatus,1
17679,Barataria Bay Fall 2006,BBF-2006-078,Ctenogobius boleosoma,2
17706,Barataria Bay Fall 2006,BBF-2006-079,No species collected,0
17680,Barataria Bay Fall 2006,BBF-2006-080,Ctenogobius boleosoma,10
17682,Barataria Bay Fall 2006,BBF-2006-081,Ctenogobius boleosoma,11
17681,Barataria Bay Fall 2006,BBF-2006-081,Eucinostomus argenteus,1
17707,Barataria Bay Fall 2006,BBF-2006-082,No species collected,0
17684,Barataria Bay Fall 2006,BBF-2006-083,Adinia xenica,2
17683,Barataria Bay Fall 2006,BBF-2006-083,Cyprinodon variegatus,2
17685,Barataria Bay Fall 2006,BBF-2006-083,Fundulus grandis,1
17686,Barataria Bay Fall 2006,BBF-2006-083,Fundulus pulvereus,2
17688,Barataria Bay Fall 2006,BBF-2006-084,Anchoa mitchilli,3
17689,Barataria Bay Fall 2006,BBF-2006-084,Ctenogobius boleosoma,1
17687,Barataria Bay Fall 2006,BBF-2006-084,Myrophis punctatus,1
17691,Barataria Bay Fall 2006,BBF-2006-085,Gobiosoma robustum,1
17690,Barataria Bay Fall 2006,BBF-2006-085,Myrophis punctatus,1
17708,Barataria Bay Fall 2006,BBF-2006-086,Citharichthys spilopterus,1
17693,Barataria Bay Fall 2006,BBF-2006-086,Ctenogobius boleosoma,1
17692,Barataria Bay Fall 2006,BBF-2006-086,Cynoscion nebulosus,1
17710,Barataria Bay Fall 2006,BBF-2006-087,Ctenogobius boleosoma,2
17709,Barataria Bay Fall 2006,BBF-2006-087,Eucinostomus argenteus,1
17712,Barataria Bay Fall 2006,BBF-2006-088,Anchoa mitchilli,1
17769,Barataria Bay Fall 2006,BBF-2006-088,Ctenogobius boleosoma,2
17711,Barataria Bay Fall 2006,BBF-2006-088,Symphurus plagiusa,2
17715,Barataria Bay Fall 2006,BBF-2006-089,Ctenogobius boleosoma,13
17716,Barataria Bay Fall 2006,BBF-2006-089,Gobiidae,2
17713,Barataria Bay Fall 2006,BBF-2006-089,Gobionellus oceanicus,1
17714,Barataria Bay Fall 2006,BBF-2006-089,Symphurus plagiusa,1
17718,Barataria Bay Fall 2006,BBF-2006-090,Anchoa mitchilli,1
