Record_ID_Number,ProjectName,SampleNumber,Taxon
13598,Barataria Bay Fall 2006,BBF-2006-064,No species collected
13603,Barataria Bay Fall 2006,BBF-2006-065,Alpheus sp.
13550,Barataria Bay Fall 2006,BBF-2006-065,Callinectes sapidus
13599,Barataria Bay Fall 2006,BBF-2006-065,Callinectes sp.
13602,Barataria Bay Fall 2006,BBF-2006-065,Palaemonetes pugio
13600,Barataria Bay Fall 2006,BBF-2006-065,Panopeus herbstii
13601,Barataria Bay Fall 2006,BBF-2006-065,Pinnotheres maculatus
13549,Barataria Bay Fall 2006,BBF-2006-065,Sesarma reticulatum
13606,Barataria Bay Fall 2006,BBF-2006-066,Alpheus heterochaelis
13605,Barataria Bay Fall 2006,BBF-2006-066,Callinectes sapidus
13611,Barataria Bay Fall 2006,BBF-2006-066,Callinectes sp.
13604,Barataria Bay Fall 2006,BBF-2006-066,Clibanarius vittatus
13612,Barataria Bay Fall 2006,BBF-2006-066,Palaemonetes pugio
13609,Barataria Bay Fall 2006,BBF-2006-066,Palaemonetes sp.
13608,Barataria Bay Fall 2006,BBF-2006-066,Palaemonetes vulgaris
13610,Barataria Bay Fall 2006,BBF-2006-066,Panopeidae
13607,Barataria Bay Fall 2006,BBF-2006-066,Panopeus herbstii
13613,Barataria Bay Fall 2006,BBF-2006-066,Pinnotheres maculatus
13615,Barataria Bay Fall 2006,BBF-2006-067,Callinectes sapidus
13616,Barataria Bay Fall 2006,BBF-2006-067,Palaemonetes pugio
13617,Barataria Bay Fall 2006,BBF-2006-067,Palaemonetes sp.
13618,Barataria Bay Fall 2006,BBF-2006-067,Palaemonetes vulgaris
13614,Barataria Bay Fall 2006,BBF-2006-067,Sesarma reticulatum
13619,Barataria Bay Fall 2006,BBF-2006-068,Callinectes sapidus
13620,Barataria Bay Fall 2006,BBF-2006-069,Callinectes sapidus
13621,Barataria Bay Fall 2006,BBF-2006-069,Callinectes sp.
13553,Barataria Bay Fall 2006,BBF-2006-070,Callinectes sapidus
13554,Barataria Bay Fall 2006,BBF-2006-070,Callinectes sp.
13556,Barataria Bay Fall 2006,BBF-2006-070,Palaemonetes intermedius
13555,Barataria Bay Fall 2006,BBF-2006-070,Palaemonetes pugio
13557,Barataria Bay Fall 2006,BBF-2006-070,Palaemonetes sp.
13558,Barataria Bay Fall 2006,BBF-2006-070,Palaemonetes vulgaris
13551,Barataria Bay Fall 2006,BBF-2006-070,Sesarma reticulatum
13552,Barataria Bay Fall 2006,BBF-2006-070,Uca sp.
13562,Barataria Bay Fall 2006,BBF-2006-071,Callinectes sapidus
13567,Barataria Bay Fall 2006,BBF-2006-071,Callinectes sp.
13564,Barataria Bay Fall 2006,BBF-2006-071,Clibanarius vittatus
13559,Barataria Bay Fall 2006,BBF-2006-071,Palaemonetes intermedius
13560,Barataria Bay Fall 2006,BBF-2006-071,Palaemonetes pugio
13561,Barataria Bay Fall 2006,BBF-2006-071,Palaemonetes sp.
13563,Barataria Bay Fall 2006,BBF-2006-071,Panopeus herbstii
13565,Barataria Bay Fall 2006,BBF-2006-071,Uca rapax
13566,Barataria Bay Fall 2006,BBF-2006-071,Uca sp.
13568,Barataria Bay Fall 2006,BBF-2006-072,Callinectes sapidus
13569,Barataria Bay Fall 2006,BBF-2006-072,Callinectes sp.
13574,Barataria Bay Fall 2006,BBF-2006-072,Latreutes parvulus
13571,Barataria Bay Fall 2006,BBF-2006-072,Palaemonetes pugio
13572,Barataria Bay Fall 2006,BBF-2006-072,Palaemonetes sp.
13573,Barataria Bay Fall 2006,BBF-2006-072,Palaemonetes vulgaris
13570,Barataria Bay Fall 2006,BBF-2006-072,Sesarma reticulatum
13577,Barataria Bay Fall 2006,BBF-2006-073,Callinectes sapidus
13578,Barataria Bay Fall 2006,BBF-2006-073,Callinectes sp.
13575,Barataria Bay Fall 2006,BBF-2006-073,Palaemonetes pugio
13576,Barataria Bay Fall 2006,BBF-2006-073,Palaemonetes sp.
13579,Barataria Bay Fall 2006,BBF-2006-073,Panopeus herbstii
13580,Barataria Bay Fall 2006,BBF-2006-073,Sesarma reticulatum
13583,Barataria Bay Fall 2006,BBF-2006-074,Callinectes sapidus
13584,Barataria Bay Fall 2006,BBF-2006-074,Palaemonetes pugio
13581,Barataria Bay Fall 2006,BBF-2006-074,Sesarma reticulatum
13582,Barataria Bay Fall 2006,BBF-2006-074,Uca sp.
13705,Barataria Bay Fall 2006,BBF-2006-075,Callinectes sapidus
13587,Barataria Bay Fall 2006,BBF-2006-075,Pagurus longicarpus
13586,Barataria Bay Fall 2006,BBF-2006-075,Palaemonetes sp.
13585,Barataria Bay Fall 2006,BBF-2006-075,Palaemonetes vulgaris
13588,Barataria Bay Fall 2006,BBF-2006-075,Panopeus herbstii
13596,Barataria Bay Fall 2006,BBF-2006-076,Acetes americanus
13591,Barataria Bay Fall 2006,BBF-2006-076,Callinectes sapidus
13589,Barataria Bay Fall 2006,BBF-2006-076,Clibanarius vittatus
13597,Barataria Bay Fall 2006,BBF-2006-076,Leander tenuicornis
13595,Barataria Bay Fall 2006,BBF-2006-076,Palaemonetes intermedius
13593,Barataria Bay Fall 2006,BBF-2006-076,Palaemonetes pugio
13594,Barataria Bay Fall 2006,BBF-2006-076,Palaemonetes sp.
13590,Barataria Bay Fall 2006,BBF-2006-076,Sesarma reticulatum
