site_code,date,bay,A. felis,A. lineatus,A. mitchilli,A. xenica,C. boleosoma,C. arenarius,C. nebulosus,C. spilopterus,C. variegatus,Cyprinodontiformes,D. maculatus,Engraulidae,Eucinostomus sp.,E. lyricus,E. amblyopsis,E. argenteus,E. melanopterus,F. grandis,F. jenkinsi,Fundulidae,Gobiidae,G. oceanicus,G. bosc,Harengula sp.,L. rhomboides,L. griseus,L. xanthurus,M. beryllina,Menidia sp.,M. cephalus,M. curema,M. punctatus,M. undulatus,O. beta,P. cromis,P. latipinna,S. plagiusa,S. scovelli,Unid. Fish,F. aztecus,Farf sp. duorarum?,L. setiferus,Penaeidae,A. americanus,A. benedicti,A. cinereum,A. heterochaelis,Alpheus sp.,C. sapidus,C. similis,Caridean,C. vittatus,Crab,E. limosum,L. tenuicornis,Ocypodidae (megalopa),P. intermedius,P. pugio,P. vulgaris,Palaemonetes    sp.,Panopeidae (crab),P. herbstii,P. armatus,Portunidae (megalopae),S. reticulatum,Sesarmidae,Uca sp.
1,8/29/2016,Timbalier,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,2,,,,,,,,,,,,,,,,4,2,,0,,,13,,,4
2,8/29/2016,Timbalier,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,5,,6,,,,,,,7,,,,,,2,,,9,,8,0,,,12,,,7
3,8/29/2016,Timbalier,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,2,,10,,,,,,,9,,,,,,1,,,3,,,0,,,19,,,47
4,8/29/2016,Timbalier,,,,,7,,,,,,,,,,,,,1,,,,,2,,,,,,,,1,,,,,,,,,10,,170,,,,,,,17,,,,,,,,,26,1,30,1,,,12,1,,44
5,8/29/2016,Timbalier,,,,,,,,,,2,,,,7,1,,,2,,,,,,,,,,2,,,,1,,,,4,,,,8,,130,,,,,,,31,,,,,,,,2,190,,30,0,1,,24,,,37
6,8/29/2016,Timbalier,,,,2,6,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,1,,,,,,8,,25,1,,,,,,16,,,,,1,37,,11,50,28,81,0,6,,32,3,,9
7,8/29/2016,Timbalier,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,13,,95,,,,,,,40,,,,,,7,,,47,,5,0,,,47,,,
8,8/29/2016,Timbalier,,,,,19,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,57,,286,,,,,,,71,,,,,,30,,,37,1,34,0,,,36,1,,17
9,8/30/2016,Timbalier,,,,1,6,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,15,,167,5,,,,,,26,,,,,,10,,,59,,35,0,1,,21,3,,60
10,8/30/2016,Timbalier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,25,,,,,,,16,,,,,,,,,15,13,64,0,4,,67,1,,9
11,8/30/2016,Timbalier,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,8,,39,1,,2,,,,13,,,,4,,9,,,29,,8,0,1,,18,,,2
12,8/30/2016,Timbalier,,,1,,2,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,3,,2,,,,,,,6,,,,,,2,,,,,,0,,,6,,,
13,8/30/2016,Timbalier,,1,,,3,,,,,,,,,,,1,,,,,11,,,,,,,,,,,,,,,,,,,3,,3,2,,,,,,2,5,,,,,3,,,,,20,1,,,19,,,
14,8/30/2016,Timbalier,,,4,,6,,1,1,,,,,1,,,,,1,,,2,,,8,,,,,,,,,,,,,4,,,11,,45,,,,,,,10,1,,,,,2,,,20,,8,0,,,16,,,2
15,8/30/2016,Timbalier,,,7,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,96,,,,3,,,93,,,1,,,1,2,,91,10,10,1,,,31,,,12
16,8/30/2016,Timbalier,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,23,,55,,,,3,,,46,,,,,,1,,,8,2,6,0,,,35,,,38
