site_date_key,ARMCIN,CTEBOL,MINLON,PALSP,PANOBE,PENSET,SESRET,CALSAP,FUNGRA,CLIVIT,PROPAN,POELAT,LITIRR,MINRAP,PACGRA,ALPHET,CRAVIR,EVOLYR,PETARM,CITSPI,MUGCEP,FUNJEN,MENBER,PENAZT,CYNNEB,FUNXEN,PANSIM,SCIOCE,TRIMAC,UNKPOL,NEGBRE,GOBBOS,UCASP,SYNSCO,ARCPRO,EUCMEL,CTESHU
03d1161c,3,1,20,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0505ed01,3,4,9,7,2,42,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179b291,0,4,0,23,0,47,0,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121b1ba9,0,4,2,62,4,17,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276dccd,0,5,3,0,0,19,0,1,2,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ee4bcab,0,8,0,22,1,19,0,2,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1fb154c1,0,1,4,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2910dc8f,0,3,2,8,1,5,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ce5c7ea,2,4,9,92,3,196,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e2b516a,0,13,8,113,8,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329c5f18,1,3,11,13,1,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36c3a7a9,1,6,6,35,5,23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
