doerr_name,nelson_name,full_name ,common_name,species_code,functional_group
A. felis,A. felis,Ariopsis felis,hardhead catfish,ARIFEL,fish
A. lineatus,A. lineatus,Archirus lineatus,lined sole,ARCLIN,fish
A. mitchilli,A. mitchilli,Anchoa mitchilli,bay anchovie,ANCMIT,fish
A. xenica,A. xenica,Fundulus xenicus,diamond killifish,FUNXEN,fish
C. boleosoma,C. boleosoma,Ctebogobius boleosoma,darter goby,CTEBOL,fish
C. arenarius,C. arenarius,Cynoscion arenarius,sand seatrout,CYNARE,fish
C. nebulosus,C. nebulosus,Cynoscion nebulosus,spotted seatrout,CYNNEB,fish
C. spilopterus,C. spilopterus,Citharichthys spilopterus,bay whiff,CITSPI,fish
C. variegatus,Cyprinodontiformes,Cyprinodontiformes,cyprinodontiformes,CYPSPP,fish
Cyprinodontiformes,C. variegatus,Cyprinodon variegatus,sheepshead minnow,CYPVAR,fish
D. maculatus,D. maculatus,Dormitator maculatus,fat sleeper,DORMAC,fish
Engraulidae,Engraulidae,Engraulidae,engraulidae,ENGSPP,fish
Eucinostomus sp.,Eucinostomus sp.,Eucinostomus sp.,eucinostomus ,EUCSP,fish
E. lyricus,E. lyricus,Evorthodus lyricus,lyre goby,EVOLYR,fish
E. amblyopsis,E. amblyopsis,Eleotris amblyopsis ,large-scaled spinycheek sleeper,ELEAMB ,fish
E. argenteus,E. argenteus,Eucinostomus argenteus,spotfin mojarra ,EUCARG,fish
E. melanopterus,E. melanopterus,Eucinostomus melanopterus,flagfin mojarra ,EUCMEL,fish
F. grandis,F. grandis,Fundulus grandis ,gulf killifish,FUNGRA ,fish
Fundulidae,Fundulidae,Fundulidae,Fundulidae,FUNSPP,fish
F. jenkinsi,F. jenkinsi,Fundulus jenkinsi,saltmarsh topminnow,FUNJEN,fish
Gobiidae,Gobiidae,Gobiidae,Gobiidae,GOBSPP,fish
G. oceanicus,G. oceanicus,Gobionellus oceanicus,highfin goby ,GOBOCE ,fish
G. bosc,G. bosc,Gobiosoma bosc,naked goby,GOBBOS,fish
Harengula sp.,Harengula sp.,Harengula sp.,Herring,HARSP,fish
