Title,common_name,code,functional_group,photo,desc,AphiaID ,valid_name 
f2ba304a,Amphipod,AMPSPP,crustacean,,,1135,Amphipoda 
306782db,atlantic croaker,MICUND,fish,species_list_Images/306782db.photo.214111.jpg,,151158,Micropogonias undulatus
90765501,bay anchovy,ANCMIT,fish,species_list_Images/90765501.photo.184743.png,,158699,Anchoa mitchilli
24af46db,bigclaw snapping shrimp,ALPHET,crustacean,species_list_Images/24af46db.photo.185159.png,,158348,Alpheus heterochaelis
65ca2194,blackcheek tonguefish,SYMPLA,fish,species_list_Images/65ca2194.photo.160830.png,,159363,Symphurus plagiusa
6333b032,blue crab,CALSAP,crustacean,species_list_Images/6333b032.photo.185023.jpg,,107379,Callinectes sapidus
f8102cbb,brown shrimp large,PENAZTL,crustacean,species_list_Images/f8102cbb.photo.191404.png,,395176,Penaeus aztecus
158debd2,brown shrimp medium,PENAZTM,crustacean,species_list_Images/158debd2.photo.191314.png,,395176,Penaeus aztecus
c8704bae,brown shrimp small,PENAZTS,crustacean,species_list_Images/c8704bae.photo.191115.png,,395176,Penaeus aztecus
2616541c,bruised nassa,PHRVIB,other,species_list_Images/2616541c.photo.231048.png,,877061,Phrontis vibex
a13f2b4f,cancellate cantharus,SOLCAN,crustacean,species_list_Images/a13f2b4f.photo.163226.png,,419981,Solenosteira cancellaria
1d142976,dark shore crab,PACGRA,crustacean,species_list_Images/1d142976.photo.213539.jpg,,241200,Pachygrapsus gracilis
1d3cc7d1,darter goby,CTEBOL,fish,species_list_Images/1d3cc7d1.photo.160843.png,,159750,Ctenogobius boleosoma
d2dad773,diamond killifish,FUNXEN,fish,,,308885,Fundulus xenicus
df992005,false shark eye,NEVDEL,other,species_list_Images/df992005.photo.182453.png,,419761,Neverita delessertiana
bc7b65fe,fiddler crab,UCASP,crustacean,species_list_Images/bc7b65fe.photo.225204.jpg,,955330,Uca sp.
64f1ec91,fish eggs ,FSHEGG,other,,,0,
729c70df,flagfin mojarra,EUCMEL,fish,species_list_Images/729c70df.photo.192338.jpg,,276423,Eucinostomus melanopterus
8f09a7b9,frillfin goby,BATSOP,fish,species_list_Images/8f09a7b9.photo.210454.png,,277638,Bathygobius soporator
85b90b37,gaftopsail sea catfish,BAGMAR,fish,species_list_Images/85b90b37.photo.224652.jpg,,158713,Bagre marinus
03007a24,grass shrimp,PALSP,crustacean,species_list_Images/03007a24.photo.160815.png,,106788,Palaemonidae
cc265f0d,green porcelain crab,PETARM,crustacean,species_list_Images/cc265f0d.photo.214727.jpg,,396707,Petrolisthes armatus
c2d636b2,gulf kilifish,FUNGRA,fish,species_list_Images/c2d636b2.photo.185055.png,,276030,Fundulus grandis
da0e96cd,highfin goby,GOBOCE,fish,species_list_Images/da0e96cd.photo.230805.jpg,,159753,Gobionellus oceanicus
7a245da6,hogchocker,TRIMAC,fish,species_list_Images/7a245da6.photo.225008.jpg,,159271,Trinectes maculatus 
39396706,inland silverside,MENBER,fish,species_list_Images/39396706.photo.184815.png,,159227,Menidia beryllina
c6ff42f9,long wrist crab,PAGLON,crustacean,species_list_Images/c6ff42f9.photo.212025.jpg,,158403,Pagurus longicarpus
004efabb,longnose killifish,FUNSIM,fish,species_list_Images/004efabb.photo.200428.jpg,,276034,Fundulus similis
2f739268,lyre goby,EVOLYR,fish,species_list_Images/2f739268.photo.184752.png,species_list_Images/2f739268.desc.184752.png,159743,Evorthodus lyricus
ab6e53a8,mosquito fish,GAMAFF,fish,species_list_Images/ab6e53a8.photo.185813.png,,159325,Gambusia affinis 
39b6ca44,naked goby,GOBBOS,fish,species_list_Images/39b6ca44.photo.184734.png,species_list_Images/39b6ca44.desc.184734.png,159767,Gobiosoma bosc
0c057add,oyster,CRAVIR,other,,,140657,Crassostrea virginica
4719b791,oyster drill,UROCIN,other,species_list_Images/4719b791.photo.182143.png,,140429,Urosalpinx cinerea
99cf6631,oystershell mud crab,PANSIM,crustacean,species_list_Images/99cf6631.photo.190531.png,,422088,Panopeus simpsoni
f3fe3c9f,pinfish,LAGRHO,fish,species_list_Images/f3fe3c9f.photo.184747.png,species_list_Images/f3fe3c9f.desc.184747.png,159249,Lagodon rhomboides
0f84a0ed,red drum,SCIOCE,fish,species_list_Images/0f84a0ed.photo.211244.png,,159335,Sciaenops ocellatus
9b7e2925,red drum neonate,SCIOCEN,fish,species_list_Images/9b7e2925.photo.211226.png,,159335,Sciaenops ocellatus
a417b33c,sailfin molly,POELAT,fish,species_list_Images/a417b33c.photo.185933.png,,275348,Poecilia latipinna
7366c6db,salt marsh mud crab,PANOBE,crustacean,species_list_Images/7366c6db.photo.190501.png,,422085,Panopeus obesus
