Unnamed: 0,common_name_x,scientific_name,2005,2016,2022,AphiaID,valid_name,doerr_name,nelson_name,full_name ,common_name_y,species_code,functional_group,2005_name,true_name,taxonomic_rank
0,sergestid shrimp,Acetes americanus,TRUE,FALSE,FALSE,158344,Acetes americanus,,,Acetes americanus,,,,Acetes americanus,Acetes americanus,Species
1,lined sole,Archirus lineatus,FALSE,TRUE,FALSE,279493,Achirus lineatus,,,,,,,,Achirus lineatus,Species
2,,,,,,279509,Adinia xenica,,,Adinia xenica,,,,Adinia xenica,Fundulus xenicus,Species
3,bigclaw snapping shrimp,Alpheus heterochaelis,TRUE,TRUE,TRUE,158348,Alpheus heterochaelis,A. heterochaelis,A. heterochaelis,Alpheus heterochaelis,bigclaw snapping shrimp,ALPHET,crab,Alpheus heterochaelis,Alpheus heterochaelis,Species
4,,,,,,106978,Alpheus,Alpheus sp.,Alpheus sp.,Alpheus sp.,,ALPSP,crab,Alpheus sp.,Alpheus,Genus
5,broad stripped anchovie,Anchoa hepsetus,TRUE,FALSE,FALSE,158698,Anchoa hepsetus,,,Anchoa hepsetus,,,,Anchoa hepsetus,Anchoa hepsetus,Species
6,bay anchovie,Anchoa mitchilli,TRUE,TRUE,TRUE,158699,Anchoa mitchilli,A. mitchilli,A. mitchilli,Anchoa mitchilli,bay anchovie,ANCMIT,fish,Anchoa mitchilli,Anchoa mitchilli,Species
7,,,,,,158697,Anchoa,,,Anchoa spp.,,,,Anchoa spp.,Anchoa,Genus
8,,,,,,,Archirus lineatus,A. lineatus,A. lineatus,Archirus lineatus,lined sole,ARCLIN,fish,,API request failed,Unknown
9,sheepshead,Archosargus probatocephalus,TRUE,TRUE,TRUE,159238,Archosargus probatocephalus,,,Archosargus probatocephalus,,,,Archosargus probatocephalus,Archosargus probatocephalus,Species
10,hardhead catfish,Ariopsis felis,TRUE,TRUE,TRUE,158709,Ariopsis felis,A. felis,A. felis,Ariopsis felis,hardhead catfish,ARIFEL,fish,Ariopsis felis,Ariopsis felis,Species
11,american marsh crab,Armases americanum ,FALSE,TRUE,FALSE,,Armases americanum ,A. americanus,A. americanus,Armases americanum ,,ARMAME,crab,,API request failed,Unknown
12,fatfinger marsh crab,Armases benedicti,FALSE,TRUE,FALSE,422192,Armases benedicti,A. benedicti,A. benedicti,Armases benedicti,fatfinger marsh crab,ARMBEN,crab,,Armases benedicti,Species
13,squareback marsh crab,Armases cinereum,TRUE,TRUE,TRUE,158049,Armases cinereum,A. cinereum,A. cinereum,Armases cinereum,squareback marsh crab,ARMCIN,crab,Armases cinereum,Armases cinereum,Species
14,gaftop catfish ,Bagre marinus,TRUE,TRUE,TRUE,158713,Bagre marinus,,,,,,,,Bagre marinus,Species
15,Silver Perch ,Bairdiella chrysoura,TRUE,TRUE,TRUE,159303,Bairdiella chrysoura,,,Bairdiella chrysoura,,,,Bairdiella chrysoura,Bairdiella chrysoura,Species
16,Frillfin Goby,Bathygobius soporator,FALSE,FALSE,TRUE,277638,Bathygobius soporator,,,,,,,,Bathygobius soporator,Species
17,lucifer shrimp,Lucifer faxoni,TRUE,FALSE,FALSE,883867,Belzebub faxoni,,,,,,,,Belzebub faxoni,Species
18,,,,,,125576,Bothidae,,,Bothidae,,,,Bothidae,Bothidae,Family
19,Gulf Menhaden,Brevoortia patronus,TRUE,TRUE,TRUE,275500,Brevoortia patronus,,,Brevoortia patronus,,,,Brevoortia patronus,Brevoortia patronus,Species
20,,,,,,158688,Brevoortia,,,Brevoortia spp.,,,,Brevoortia spp.,Brevoortia,Genus
21,blue crab ,Callinectes sapidus,TRUE,TRUE,TRUE,107379,Callinectes sapidus,C. sapidus,C. sapidus,Callinectes sapidus,blue crab ,CALSAP,crab,Callinectes sapidus,Callinectes sapidus,Species
22,dwarf blue crab ,Callinectes similis,TRUE,TRUE,TRUE,158055,Callinectes similis,C. similis,C. similis,Callinectes similis,dwarf blue crab ,CALSIM,crab,Callinectes similis,Callinectes similis,Species
23,,,,,,106921,Callinectes,,,Callinectes sp.,,,,Callinectes sp.,Callinectes,Genus
24,,,,,,,Caridean,Caridean,Caridean,Caridean,Caridean,CAR,crab,,API request failed,Unknown
25,bay whiff,Citharichthys spilopterus,TRUE,TRUE,FALSE,159166,Citharichthys spilopterus,C. spilopterus,C. spilopterus,Citharichthys spilopterus,bay whiff,CITSPI,fish,Citharichthys spilopterus,Citharichthys spilopterus,Species
