common_name,2005,2016,2022,AphiaID,valid_name,doerr_name,species_code,2005_name,true_name,taxonomic_rank
sergestid shrimp,TRUE,FALSE,FALSE,158344,Acetes americanus,,,Acetes americanus,Acetes americanus,Species
lined sole,FALSE,TRUE,FALSE,279493,Achirus lineatus,A. lineatus,ACHLIN,,Achirus lineatus,Species
,,,,279509,Adinia xenica,,,Adinia xenica,Fundulus xenicus,Species
bigclaw snapping shrimp,TRUE,TRUE,TRUE,158348,Alpheus heterochaelis,A. heterochaelis,ALPHET,Alpheus heterochaelis,Alpheus heterochaelis,Species
,,,,106978,Alpheus,Alpheus sp.,ALPSP,Alpheus sp.,Alpheus,Genus
broad stripped anchovie,TRUE,FALSE,FALSE,158698,Anchoa hepsetus,,,Anchoa hepsetus,Anchoa hepsetus,Species
bay anchovie,TRUE,TRUE,TRUE,158699,Anchoa mitchilli,A. mitchilli,ANCMIT,Anchoa mitchilli,Anchoa mitchilli,Species
,,,,158697,Anchoa,,,Anchoa spp.,Anchoa,Genus
sheepshead,TRUE,TRUE,TRUE,159238,Archosargus probatocephalus,,,Archosargus probatocephalus,Archosargus probatocephalus,Species
hardhead catfish,TRUE,TRUE,TRUE,158709,Ariopsis felis,A. felis,ARIFEL,Ariopsis felis,Ariopsis felis,Species
american marsh crab,FALSE,TRUE,FALSE,422191,Armases americanum,A. americanus,ARMAME,,Armases americanum,Species
fatfinger marsh crab,FALSE,TRUE,FALSE,422192,Armases benedicti,A. benedicti,ARMBEN,,Armases benedicti,Species
squareback marsh crab,TRUE,TRUE,TRUE,158049,Armases cinereum,A. cinereum,ARMCIN,Armases cinereum,Armases cinereum,Species
gaftop catfish ,TRUE,TRUE,TRUE,158713,Bagre marinus,,,,Bagre marinus,Species
Silver Perch ,TRUE,TRUE,TRUE,159303,Bairdiella chrysoura,,,Bairdiella chrysoura,Bairdiella chrysoura,Species
Frillfin Goby,FALSE,FALSE,TRUE,277638,Bathygobius soporator,,,,Bathygobius soporator,Species
lucifer shrimp,TRUE,FALSE,FALSE,883867,Belzebub faxoni,,,,Belzebub faxoni,Species
,,,,125576,Bothidae,,,Bothidae,Bothidae,Family
Gulf Menhaden,TRUE,TRUE,TRUE,275500,Brevoortia patronus,,,Brevoortia patronus,Brevoortia patronus,Species
,,,,158688,Brevoortia,,,Brevoortia spp.,Brevoortia,Genus
blue crab ,TRUE,TRUE,TRUE,107379,Callinectes sapidus,C. sapidus,CALSAP,Callinectes sapidus,Callinectes sapidus,Species
dwarf blue crab ,TRUE,TRUE,TRUE,158055,Callinectes similis,C. similis,CALSIM,Callinectes similis,Callinectes similis,Species
,,,,106921,Callinectes,,,Callinectes sp.,Callinectes,Genus
,,,,106674,Caridea,Caridean,CAR,,Caridea,Infraorder
bay whiff,TRUE,TRUE,FALSE,159166,Citharichthys spilopterus,C. spilopterus,CITSPI,Citharichthys spilopterus,Citharichthys spilopterus,Species
thinstripe hermit crab,TRUE,TRUE,TRUE,367528,Clibanarius vittatus,C. vittatus,CLIVIT,Clibanarius vittatus,Clibanarius vittatus,Species
,,,,106673,Brachyura,Crab,CRA,,Brachyura,Infraorder
oyster,TRUE,TRUE,TRUE,140657,Crassostrea virginica,,,,Crassostrea virginica,Species
