,common_name_x,scientific_name,2005,2016,2022,AphiaID,valid_name,doerr_name,nelson_name,full_name ,common_name_y,species_code,functional_group,2005_name
0,sergestid shrimp,Acetes americanus,TRUE,FALSE,FALSE,158344,Acetes americanus,,,Acetes americanus,,,,Acetes americanus
1,lined sole,Archirus lineatus,FALSE,TRUE,FALSE,279493,Achirus lineatus,,,,,,,
2,,,,,,,Adinia xenica,,,Adinia xenica,,,,Adinia xenica
3,bigclaw snapping shrimp,Alpheus heterochaelis,TRUE,TRUE,TRUE,158348,Alpheus heterochaelis,A. heterochaelis,A. heterochaelis,Alpheus heterochaelis,bigclaw snapping shrimp,ALPHET,crab,Alpheus heterochaelis
4,,,,,,,Alpheus,Alpheus sp.,Alpheus sp.,Alpheus sp.,,ALPSP,crab,Alpheus sp.
5,broad stripped anchovie,Anchoa hepsetus,TRUE,FALSE,FALSE,158698,Anchoa hepsetus,,,Anchoa hepsetus,,,,Anchoa hepsetus
6,bay anchovie,Anchoa mitchilli,TRUE,TRUE,TRUE,158699,Anchoa mitchilli,A. mitchilli,A. mitchilli,Anchoa mitchilli,bay anchovie,ANCMIT,fish,Anchoa mitchilli
7,,,,,,,Anchoa,,,Anchoa spp.,,,,Anchoa spp.
8,,,,,,,Archirus lineatus,A. lineatus,A. lineatus,Archirus lineatus,lined sole,ARCLIN,fish,
9,sheepshead,Archosargus probatocephalus,TRUE,TRUE,TRUE,159238,Archosargus probatocephalus,,,Archosargus probatocephalus,,,,Archosargus probatocephalus
10,hardhead catfish,Ariopsis felis,TRUE,TRUE,TRUE,158709,Ariopsis felis,A. felis,A. felis,Ariopsis felis,hardhead catfish,ARIFEL,fish,Ariopsis felis
11,american marsh crab,Armases americanum ,FALSE,TRUE,FALSE,422191,Armases americanum ,A. americanus,A. americanus,Armases americanum ,,ARMAME,crab,
12,fatfinger marsh crab,Armases benedicti,FALSE,TRUE,FALSE,422192,Armases benedicti,A. benedicti,A. benedicti,Armases benedicti,fatfinger marsh crab,ARMBEN,crab,
13,squareback marsh crab,Armases cinereum,TRUE,TRUE,TRUE,158049,Armases cinereum,A. cinereum,A. cinereum,Armases cinereum,squareback marsh crab,ARMCIN,crab,Armases cinereum
14,gaftop catfish ,Bagre marinus,TRUE,TRUE,TRUE,158713,Bagre marinus,,,,,,,
