doerr_name,nelson_name,full_name ,common_name,species_code,functional_group,Taxon
,,Acetes americanus,,,,Acetes americanus
,,Adinia xenica,,,,Adinia xenica
A. heterochaelis,A. heterochaelis,Alpheus heterochaelis,bigclaw snapping shrimp,ALPHET,crab,Alpheus heterochaelis
Alpheus sp.,Alpheus sp.,Alpheus sp.,,ALPSP,crab,Alpheus sp.
,,Anchoa hepsetus,,,,Anchoa hepsetus
A. mitchilli,A. mitchilli,Anchoa mitchilli,bay anchovie,ANCMIT,fish,Anchoa mitchilli
,,Anchoa spp.,,,,Anchoa spp.
A. lineatus,A. lineatus,Archirus lineatus,lined sole,ARCLIN,fish,
,,Archosargus probatocephalus,,,,Archosargus probatocephalus
A. felis,A. felis,Ariopsis felis,hardhead catfish,ARIFEL,fish,Ariopsis felis
A. americanus,A. americanus,Armases americanum ,,ARMAME,crab,
A. benedicti,A. benedicti,Armases benedicti,fatfinger marsh crab,ARMBEN,crab,
A. cinereum,A. cinereum,Armases cinereum,squareback marsh crab,ARMCIN,crab,Armases cinereum
,,Bairdiella chrysoura,,,,Bairdiella chrysoura
,,Bothidae,,,,Bothidae
,,Brevoortia patronus,,,,Brevoortia patronus
,,Brevoortia spp.,,,,Brevoortia spp.
C. sapidus,C. sapidus,Callinectes sapidus,blue crab ,CALSAP,crab,Callinectes sapidus
C. similis,C. similis,Callinectes similis,dwarf blue crab ,CALSIM,crab,Callinectes similis
,,Callinectes sp.,,,,Callinectes sp.
Caridean,Caridean,Caridean,Caridean,CAR,crab,
C. spilopterus,C. spilopterus,Citharichthys spilopterus,bay whiff,CITSPI,fish,Citharichthys spilopterus
C. vittatus,C. vittatus,Clibanarius vittatus,thinstripe hermit crab,CLIVIT,crab,Clibanarius vittatus
Crab,Crab,Crab,Crab,CRA,crab,
C. boleosoma,C. boleosoma,Ctebogobius boleosoma,darter goby,CTEBOL,fish,Ctenogobius boleosoma
C. arenarius,C. arenarius,Cynoscion arenarius,sand seatrout,CYNARE,fish,Cynoscion arenarius
C. nebulosus,C. nebulosus,Cynoscion nebulosus,spotted seatrout,CYNNEB,fish,Cynoscion nebulosus
C. variegatus,C. variegatus,Cyprinodon variegatus,sheepshead minnow,CYPVAR,fish,Cyprinodon variegatus
Cyprinodontiformes,Cyprinodontiformes,Cyprinodontiformes,cyprinodontiformes,CYPSPP,fish,
,,Diogenidae,,,,Diogenidae
D. maculatus,D. maculatus,Dormitator maculatus,fat sleeper,DORMAC,fish,Dormitator maculatus
,,Dyspanopeus texana,,,,Dyspanopeus texana
E. amblyopsis,E. amblyopsis,Eleotris amblyopsis ,large-scaled spinycheek sleeper,ELEAMB ,fish,
,,Elops saurus,,,,Elops saurus
Engraulidae,Engraulidae,Engraulidae,engraulidae,ENGSPP,fish,Engraulidae
,,Erotelis smaragdus,,,,Erotelis smaragdus
E. argenteus,E. argenteus,Eucinostomus argenteus,spotfin mojarra ,EUCARG,fish,Eucinostomus argenteus
Eucinostomus sp.,Eucinostomus sp.,Eucinostomus sp.,eucinostomus ,EUCSP,fish,
E. melanopterus,E. melanopterus,Eucinostomus melanopterus,flagfin mojarra ,EUCMEL,fish,
E. limosum,E. limosum,Eurytium limosum,broadback mud crab,EURLIM,crab,
E. lyricus,E. lyricus,Evorthodus lyricus,lyre goby,EVOLYR,fish,
,,Farfantepenaeus aztecus,,,,Farfantepenaeus aztecus
F. aztecus,F. aztecus,Farfantepenaeus aztecus ,brown shrimp,PENAZT,shrimp,
Farf sp. duorarum?,Farf sp. duorarum?,Farfantepenaeus duorarum,,FARDUO,shrimp,Farfantepenaeus duorarum
,,Farfantepenaeus sp.,,,,Farfantepenaeus sp.
Fundulidae,Fundulidae,Fundulidae,Fundulidae,FUNSPP,fish,Fundulidae
F. grandis,F. grandis,Fundulus grandis,gulf killifish,FUNGRA ,fish,Fundulus grandis
F. jenkinsi,F. jenkinsi,Fundulus jenkinsi,saltmarsh topminnow,FUNJEN,fish,Fundulus jenkinsi
,,Fundulus pulvereus,,,,Fundulus pulvereus
,,Fundulus sp.,,,,Fundulus sp.
A. xenica,A. xenica,Fundulus xenicus,diamond killifish,FUNXEN,fish,
,,Gerreidae,,,,Gerreidae
,,Gobiesox strumosus,,,,Gobiesox strumosus
Gobiidae,Gobiidae,Gobiidae,Gobiidae,GOBSPP,fish,Gobiidae
G. oceanicus,G. oceanicus,Gobionellus oceanicus,highfin goby ,GOBOCE ,fish,Gobionellus oceanicus
G. bosc,G. bosc,Gobiosoma bosc,naked goby,GOBBOS,fish,Gobiosoma bosc
,,Gobiosoma robustum,,,,Gobiosoma robustum
,,Gobiosoma sp.,,,,Gobiosoma sp.
,,Gunterichthys longipenis,,,,Gunterichthys longipenis
Harengula sp.,Harengula sp.,Harengula sp.,Herring,HARSP,fish,
,,Hypsoblennius ionthas,,,,Hypsoblennius ionthas
L. rhomboides,L. rhomboides,Lagodon rhomboides,pinfish ,LAGRHO,fish,Lagodon rhomboides
,,Latreutes parvulus,,,,Latreutes parvulus
L. tenuicornis,L. tenuicornis,Leander tenuicornis,brown grass shrimp,LEATEN,shrimp,Leander tenuicornis
L. xanthurus,L. xanthurus,Leiostomus xanthurus,spot,LEIXAN,fish,Leiostomus xanthurus
L. setiferus,L. setiferus,Litopenaeus setiferus,white shrimp,PENSET,shrimp,Litopenaeus setiferus
,,Lucania parva,,,,Lucania parva
,,Lucifer faxoni,,,,Lucifer faxoni
L. griseus,L. griseus,Lutjanus griseus,mangrove snapper,LUTGRI,fish,Lutjanus griseus
,,Macrobrachium ohione,,,,Macrobrachium ohione
M. beryllina,M. beryllina,Menidia beryllina,inland silverside,MENBER,fish,Menidia beryllina
Menidia sp.,Menidia sp.,Menidia sp.,silversides,MENSP,fish,
,,Menippe mercenaria/adinia,,,,Menippe mercenaria/adinia
,,Microgobius gulosus,,,,Microgobius gulosus
,,Microgobius thalassinus,,,,Microgobius thalassinus
,,Micropanope sculptipes,,,,Micropanope sculptipes
M. undulatus,M. undulatus,Micropogonias undulatus,atlantic croaker,MICUND,fish,Micropogonias undulatus
M. cephalus,M. cephalus,Mugil cephalus,flathead gray mullet,MUGCEP,fish,Mugil cephalus
M. curema,M. curema,Mugil curema,white mullet,MUGCUR,fish,
M. punctatus,M. punctatus,Myrophis punctatus,speckled worm-eel,MYRPUN,fish,Myrophis punctatus
,,Neoconger mucronatus,,,,Neoconger mucronatus
,,No species collected,,,,No species collected
Ocypodidae (megalopa),Ocypodidae (megalopa),Ocypodidae (megalopa),Ocypodidae (megalopa),OCYSPP,crab,
,,Ogyrides alphaerostris,,,,Ogyrides alphaerostris
,,Ogyrides sp.,,,,Ogyrides sp.
,,Ophichthus gomesi,,,,Ophichthus gomesi
O. beta,O. beta,Opsanus beta,gulf toadfish,OPSBET,fish,Opsanus beta
,,Paguridae,,,,Paguridae
P. armatus,P. armatus,Pagurus armatus ,green porcelain crab,PETARM,crab,
,,Pagurus longicarpus,,,,Pagurus longicarpus
P. intermedius,P. intermedius,Palaemon intermedius,,PALINT,shrimp,Palaemonetes intermedius
P. pugio,P. pugio,Palaemon pugio,daggerblade grass shrimp,PALPUG,shrimp,Palaemonetes pugio
P. vulgaris,P. vulgaris,Palaemon vulgaris ,marsh grass shrimp,PALVUL,shrimp,Palaemonetes vulgaris
Palaemonetes    sp.,Palaemonetes  sp.,Palaemonetes sp.,grass shrimp,PALSP,shrimp,Palaemonetes sp.
Panopeidae (crab),Panopeidae,Panopeidae,Panopeidae,PANSPP,crab,Panopeidae
P. herbstii,P. herbstii,Panopeus herbstii,atlantic mud crab,PANHER,crab,Panopeus herbstii
,,Paralichthys lethostigma,,,,Paralichthys lethostigma
Penaeidae,Penaeidae,Penaeidae,Penaeidae,PENSPP,shrimp,Penaeidae
,,Pinnotheres maculatus,,,,Pinnotheres maculatus
P. latipinna,P. latipinna,Poecilia latipinna,sailfin molly,POELAT,fish,
P. cromis,P. cromis,Pogonias cromis,black drum,POGCRO,fish,
Portunidae (megalopae),Portunidae,Portunidae,Portunidae,PORSPP,crab,Portunidae
,,Prionotus tribulus,,,,Prionotus tribulus
,,Rhithropanopeus harrisii,,,,Rhithropanopeus harrisii
,,Rimapenaeus similis,,,,Rimapenaeus similis
,,Rimapenaeus sp.,,,,Rimapenaeus sp.
,,Sciaenidae,,,,Sciaenidae
,,Sciaenops ocellatus,,,,Sciaenops ocellatus
S. reticulatum,S. reticulatum,Sesarma reticulatum,purple marsh crab,SESRET,crab,Sesarma reticulatum
Sesarmidae,Sesarmidae,Sesarmidae,Sesarmid,SESSPP,crab,
,,Sparidae,,,,Sparidae
,,Sphoeroides parvus,,,,Sphoeroides parvus
,,Squilla sp.,,,,Squilla sp.
,,Stellifer lanceolatus,,,,Stellifer lanceolatus
S. plagiusa,S. plagiusa,Symphurus plagiusa,blackcheek tonguefish,SYMPLA,fish,Symphurus plagiusa
,,Syngnathus louisianae,,,,Syngnathus louisianae
S. scovelli,S. scovelli,Syngnathus scovelli,gulf pipefish,SYNSCO,fish,Syngnathus scovelli
,,Tetraodontidae,,,,Tetraodontidae
,,Uca longisignalis,,,,Uca longisignalis
,,Uca pugnax,,,,Uca pugnax
,,Uca rapax,,,,Uca rapax
Uca sp.,Uca sp.,Uca sp,fiddler crab,UCASP,crab,
,,Uca sp.,,,,Uca sp.
Unid. Fish,Unid. Fish,Unid. Fish,Unid. Fish,UNKFSH,fish,Unidentified fish (juvenile/adult)
,,,,,,
TCRUST,,,,,,
GTOTAL,,,,,,
