common_name,scientific_name,2005,2016,2022,AphiaID,valid_name
Frillfin Goby,Bathygobius soporator,FALSE,FALSE,TRUE,277638,Bathygobius soporator
longnose killifish,Fundulus similis,FALSE,FALSE,TRUE,276034,Fundulus similis
Mosquitofish,Gambusia affinis ,FALSE,FALSE,TRUE,159325,Gambusia affinis
marsh perriwinkle,Littoraria irrorata ,FALSE,FALSE,TRUE,419566,Littoraria irrorata
False shark eye ,Neverita delessertiana,FALSE,FALSE,TRUE,419761,Neverita delessertiana
dark shorecrab,Pachygrapsus gracilis,FALSE,FALSE,TRUE,241200,Pachygrapsus gracilis
salt marsh mud crab,Panopeus obesus,FALSE,FALSE,TRUE,422085,Panopeus obesus
oystershell mud crab,Panopeus simpsoni,FALSE,FALSE,TRUE,422088,Panopeus simpsoni
Green porcelain crab,Petrolisthes armatus,FALSE,FALSE,TRUE,396707,Petrolisthes armatus
bruissed nassa,Phrontis vibex,FALSE,FALSE,TRUE,877061,Phrontis vibex
parasite,Probopyrus pandalicola,FALSE,FALSE,TRUE,157905,Probopyrus pandalicola
sea snail,Solenosteira cancellaria,FALSE,FALSE,TRUE,419981,Solenosteira cancellaria
hogchoker,Trinectes maculatus ,FALSE,FALSE,TRUE,159271,Trinectes maculatus
oyster drill ,Urosalpinx cinerea,FALSE,FALSE,TRUE,140429,Urosalpinx cinerea
lined sole,Archirus lineatus,FALSE,TRUE,FALSE,279493,Achirus lineatus
american marsh crab,Armases americanum ,FALSE,TRUE,FALSE,422191,Armases americanum 
fatfinger marsh crab,Armases benedicti,FALSE,TRUE,FALSE,422192,Armases benedicti
large-scaled spinycheek sleeper,Eleotris amblyopsis ,FALSE,TRUE,FALSE,277793,Eleotris amblyopsis
broadback mud crab,Eurytium limosum,FALSE,TRUE,FALSE,422077,Eurytium limosum
white mullet,Mugil curema,FALSE,TRUE,FALSE,159416,Mugil curema
armed hermit crab,Pagurus armatus,FALSE,TRUE,FALSE,366655,Pagurus armatus
